MESS_DATUM,TT_TU_mean,RF_TU_mean,QN_9_mean,STATION_COUNT,STATIONS_CONTRIBUTING
2024-01-01 00:00:00,7.8,77.0,3.0,2,"691,701"
2024-01-01 01:00:00,8.0,77.0,3.0,2,"691,701"
2024-01-01 02:00:00,8.05,78.0,3.0,2,"691,701"
2024-01-01 03:00:00,8.15,77.0,3.0,2,"691,701"
2024-01-01 04:00:00,8.1,76.5,3.0,2,"691,701"
2024-01-01 05:00:00,8.25,74.5,3.0,2,"691,701"
2024-01-01 06:00:00,7.3,82.0,3.0,2,"691,701"
2024-01-01 07:00:00,6.7,89.0,3.0,2,"691,701"
2024-01-01 08:00:00,6.65,90.5,3.0,2,"691,701"
2024-01-01 09:00:00,6.9,89.5,3.0,2,"691,701"
2024-01-01 10:00:00,7.3,86.0,3.0,2,"691,701"
2024-01-01 11:00:00,7.5,85.5,3.0,2,"691,701"
2024-01-01 12:00:00,7.55,87.0,3.0,2,"691,701"
2024-01-01 13:00:00,7.5,85.5,3.0,2,"691,701"
2024-01-01 14:00:00,7.6,84.0,3.0,2,"691,701"
2024-01-01 15:00:00,7.25,85.0,3.0,2,"691,701"
2024-01-01 16:00:00,7.2,84.5,3.0,2,"691,701"
2024-01-01 17:00:00,6.9,86.5,3.0,2,"691,701"
2024-01-01 18:00:00,6.6,86.0,3.0,2,"691,701"
2024-01-01 19:00:00,6.45,87.0,3.0,2,"691,701"
2024-01-01 20:00:00,6.1,88.5,3.0,2,"691,701"
2024-01-01 21:00:00,5.45,89.5,3.0,2,"691,701"
2024-01-01 22:00:00,5.15,89.0,3.0,2,"691,701"
2024-01-01 23:00:00,5.0,90.5,3.0,2,"691,701"
2024-01-02 00:00:00,4.15,92.5,3.0,2,"691,701"
2024-01-02 01:00:00,4.4,93.0,3.0,2,"691,701"
2024-01-02 02:00:00,4.65,90.0,3.0,2,"691,701"
2024-01-02 03:00:00,4.95,89.5,3.0,2,"691,701"
2024-01-02 04:00:00,5.0,90.0,3.0,2,"691,701"
2024-01-02 05:00:00,5.15,92.0,3.0,2,"691,701"
2024-01-02 06:00:00,5.2,94.0,3.0,2,"691,701"
2024-01-02 07:00:00,5.45,93.5,3.0,2,"691,701"
2024-01-02 08:00:00,5.7,93.5,3.0,2,"691,701"
2024-01-02 09:00:00,5.55,94.5,3.0,2,"691,701"
2024-01-02 10:00:00,5.6,95.5,3.0,2,"691,701"
2024-01-02 11:00:00,5.7,96.5,3.0,2,"691,701"
2024-01-02 12:00:00,6.15,97.5,3.0,2,"691,701"
2024-01-02 13:00:00,6.8,97.5,3.0,2,"691,701"
2024-01-02 14:00:00,7.3,97.5,3.0,2,"691,701"
2024-01-02 15:00:00,7.9,98.0,3.0,2,"691,701"
2024-01-02 16:00:00,8.05,98.5,3.0,2,"691,701"
2024-01-02 17:00:00,8.6,98.5,3.0,2,"691,701"
2024-01-02 18:00:00,8.75,97.0,3.0,2,"691,701"
2024-01-02 19:00:00,9.0,97.0,3.0,2,"691,701"
2024-01-02 20:00:00,9.05,96.5,3.0,2,"691,701"
2024-01-02 21:00:00,9.55,95.0,3.0,2,"691,701"
2024-01-02 22:00:00,10.3,92.0,3.0,2,"691,701"
2024-01-02 23:00:00,10.6,86.5,3.0,2,"691,701"
2024-01-03 00:00:00,10.2,82.5,3.0,2,"691,701"
2024-01-03 01:00:00,9.75,82.5,3.0,2,"691,701"
2024-01-03 02:00:00,8.9,86.5,3.0,2,"691,701"
2024-01-03 03:00:00,8.6,86.0,3.0,2,"691,701"
2024-01-03 04:00:00,8.4,89.0,3.0,2,"691,701"
2024-01-03 05:00:00,8.45,90.0,3.0,2,"691,701"
2024-01-03 06:00:00,9.25,79.5,3.0,2,"691,701"
2024-01-03 07:00:00,9.3,80.5,3.0,2,"691,701"
2024-01-03 08:00:00,8.55,90.5,3.0,2,"691,701"
2024-01-03 09:00:00,9.25,82.5,3.0,2,"691,701"
2024-01-03 10:00:00,9.4,81.0,3.0,2,"691,701"
2024-01-03 11:00:00,9.25,83.0,3.0,2,"691,701"
2024-01-03 12:00:00,9.2,83.0,3.0,2,"691,701"
2024-01-03 13:00:00,8.85,87.5,3.0,2,"691,701"
2024-01-03 14:00:00,8.4,90.0,3.0,2,"691,701"
2024-01-03 15:00:00,8.35,89.5,3.0,2,"691,701"
2024-01-03 16:00:00,8.15,92.5,3.0,2,"691,701"
2024-01-03 17:00:00,8.05,93.5,3.0,2,"691,701"
2024-01-03 18:00:00,7.75,92.0,3.0,2,"691,701"
2024-01-03 19:00:00,7.6,92.5,3.0,2,"691,701"
2024-01-03 20:00:00,7.45,91.5,3.0,2,"691,701"
2024-01-03 21:00:00,7.45,91.5,3.0,2,"691,701"
2024-01-03 22:00:00,6.9,93.0,3.0,2,"691,701"
2024-01-03 23:00:00,6.75,90.0,3.0,2,"691,701"
2024-01-04 00:00:00,6.35,87.0,3.0,2,"691,701"
2024-01-04 01:00:00,6.05,86.5,3.0,2,"691,701"
2024-01-04 02:00:00,5.0,90.5,3.0,2,"691,701"
2024-01-04 03:00:00,4.95,80.5,3.0,2,"691,701"
2024-01-04 04:00:00,4.3,84.0,3.0,2,"691,701"
2024-01-04 05:00:00,3.55,87.5,3.0,2,"691,701"
