MESS_DATUM,TT_TU_mean,RF_TU_mean,QN_9_mean,STATION_COUNT,STATIONS_CONTRIBUTING
2024-01-01 00:00:00,-23.83,50.62,3.0,34,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,1863,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 01:00:00,5.73,82.79,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 02:00:00,5.77,83.18,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 03:00:00,5.64,83.76,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 04:00:00,5.55,83.21,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 05:00:00,5.62,81.94,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 06:00:00,-24.04,50.29,3.0,34,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,1863,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 07:00:00,5.48,81.55,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 08:00:00,5.39,81.0,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 09:00:00,-23.92,48.35,3.0,34,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,1863,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 10:00:00,5.96,78.88,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 11:00:00,6.04,80.21,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 12:00:00,-23.35,49.21,3.0,34,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,1863,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 13:00:00,6.25,81.42,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 14:00:00,6.25,80.58,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 15:00:00,6.16,79.12,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 16:00:00,5.95,78.82,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 17:00:00,5.81,78.82,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 18:00:00,-23.86,47.82,3.0,34,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,1863,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 19:00:00,5.53,80.79,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 20:00:00,5.42,82.27,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 21:00:00,5.42,82.48,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 22:00:00,5.48,82.64,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-01 23:00:00,5.37,85.61,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 00:00:00,-24.26,56.41,3.0,34,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,1863,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 01:00:00,5.23,89.91,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 02:00:00,5.24,90.82,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 03:00:00,5.19,91.67,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 04:00:00,5.12,91.79,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 05:00:00,5.08,91.67,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 06:00:00,-24.38,60.38,3.0,34,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,1863,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 07:00:00,5.48,93.27,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 08:00:00,6.22,93.27,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 09:00:00,-22.56,59.62,3.0,34,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,1863,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 10:00:00,7.66,90.58,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 11:00:00,8.02,90.64,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 12:00:00,-21.47,58.41,3.0,34,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,1863,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 13:00:00,8.04,91.15,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 14:00:00,7.88,92.06,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 15:00:00,7.75,92.55,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 16:00:00,7.75,92.55,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 17:00:00,7.89,92.15,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 18:00:00,-21.63,60.21,3.0,34,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,1863,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 19:00:00,8.23,91.55,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 20:00:00,8.52,90.0,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 21:00:00,8.82,88.03,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 22:00:00,8.99,86.94,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-02 23:00:00,9.04,86.39,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-03 00:00:00,-20.62,52.24,3.0,34,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,1863,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
2024-01-03 01:00:00,8.91,82.03,3.0,33,"91,330,817,917,1297,1420,1424,1504,1526,1580,1639,1645,2171,2601,3042,3164,3284,3287,3442,3527,4411,4480,4978,5133,5279,5300,5371,5541,6344,7341,7396,7410,15207"
