MESS_DATUM,TT_TU_mean,RF_TU_mean,QN_9_mean,STATION_COUNT,STATIONS_CONTRIBUTING
2024-01-01 00:00:00,7.35,50.55,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 01:00:00,7.43,48.95,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 02:00:00,7.21,49.14,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 03:00:00,6.9,51.05,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 04:00:00,6.63,53.69,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 05:00:00,6.56,53.86,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 06:00:00,6.67,52.48,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 07:00:00,6.63,52.6,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 08:00:00,6.34,55.07,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 09:00:00,6.21,56.38,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 10:00:00,6.38,56.12,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 11:00:00,6.51,56.05,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 12:00:00,6.73,55.79,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 13:00:00,6.85,55.17,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 14:00:00,6.97,53.76,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
2024-01-01 15:00:00,6.85,53.14,3.0,42,"390,555,603,617,1078,1246,1300,1303,1327,1572,1590,1766,2483,2497,2629,2667,2947,3028,3031,3098,3321,3540,3591,3623,4063,4127,4371,5064,5347,5480,5717,6197,6264,6337,7106,7330,7374,13670,13696,13700,13713,15000"
