MESS_DATUM,TT_TU_mean,RF_TU_mean,QN_9_mean,STATION_COUNT,STATIONS_CONTRIBUTING
2024-01-01 00:00:00,5.86,83.87,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 01:00:00,5.92,82.09,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 02:00:00,5.94,80.57,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 03:00:00,5.66,81.74,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 04:00:00,5.53,81.91,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 05:00:00,5.45,81.74,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 06:00:00,5.38,82.0,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 07:00:00,5.3,82.0,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 08:00:00,5.18,82.61,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 09:00:00,5.36,83.22,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 10:00:00,5.47,83.83,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 11:00:00,5.74,82.3,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 12:00:00,6.07,80.61,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 13:00:00,6.38,77.52,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 14:00:00,6.41,76.52,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 15:00:00,6.31,76.39,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 16:00:00,6.15,77.3,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 17:00:00,6.0,78.57,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 18:00:00,5.87,79.3,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 19:00:00,5.74,81.48,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 20:00:00,5.7,83.04,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
2024-01-01 21:00:00,5.59,85.43,3.0,23,"161,377,535,766,953,1072,2211,2362,2385,2486,3155,3167,3490,3660,3939,4301,4323,4508,4709,5099,5100,5426,5871"
