MESS_DATUM,TT_TU_mean,RF_TU_mean,QN_9_mean,STATION_COUNT,STATIONS_CONTRIBUTING
2024-01-01 00:00:00,5.96,76.04,3.0,24,"445,722,1052,1544,1605,2044,2704,2878,3126,3226,3821,4032,4036,4445,4642,4878,5158,5490,5629,5750,6266,6273,7364,7420"
2024-01-01 01:00:00,5.75,76.62,3.0,24,"445,722,1052,1544,1605,2044,2704,2878,3126,3226,3821,4032,4036,4445,4642,4878,5158,5490,5629,5750,6266,6273,7364,7420"
2024-01-01 02:00:00,5.67,76.62,3.0,24,"445,722,1052,1544,1605,2044,2704,2878,3126,3226,3821,4032,4036,4445,4642,4878,5158,5490,5629,5750,6266,6273,7364,7420"
2024-01-01 03:00:00,5.67,76.96,3.0,24,"445,722,1052,1544,1605,2044,2704,2878,3126,3226,3821,4032,4036,4445,4642,4878,5158,5490,5629,5750,6266,6273,7364,7420"
2024-01-01 04:00:00,5.76,77.46,3.0,24,"445,722,1052,1544,1605,2044,2704,2878,3126,3226,3821,4032,4036,4445,4642,4878,5158,5490,5629,5750,6266,6273,7364,7420"
2024-01-01 05:00:00,5.81,77.88,3.0,24,"445,722,1052,1544,1605,2044,2704,2878,3126,3226,3821,4032,4036,4445,4642,4878,5158,5490,5629,5750,6266,6273,7364,7420"
2024-01-01 06:00:00,5.51,79.08,3.0,24,"445,722,1052,1544,1605,2044,2704,2878,3126,3226,3821,4032,4036,4445,4642,4878,5158,5490,5629,5750,6266,6273,7364,7420"
2024-01-01 07:00:00,5.38,79.92,3.0,24,"445,722,1052,1544,1605,2044,2704,2878,3126,3226,3821,4032,4036,4445,4642,4878,5158,5490,5629,5750,6266,6273,7364,7420"
2024-01-01 08:00:00,5.45,79.75,3.0,24,"445,722,1052,1544,1605,2044,2704,2878,3126,3226,3821,4032,4036,4445,4642,4878,5158,5490,5629,5750,6266,6273,7364,7420"
2024-01-01 09:00:00,5.98,77.83,3.0,24,"445,722,1052,1544,1605,2044,2704,2878,3126,3226,3821,4032,4036,4445,4642,4878,5158,5490,5629,5750,6266,6273,7364,7420"
2024-01-01 10:00:00,6.55,75.42,3.0,24,"445,722,1052,1544,1605,2044,2704,2878,3126,3226,3821,4032,4036,4445,4642,4878,5158,5490,5629,5750,6266,6273,7364,7420"
