STATIONS_ID,MESS_DATUM,QN_8,V_N_I, V_N
3254,2024-01-02 06:00:00,3,   P,8
3254,2024-01-02 07:00:00,3,   P,8
3254,2024-01-02 08:00:00,3,   P,8
3254,2024-01-02 09:00:00,3,   P,8
3254,2024-01-02 10:00:00,3,   P,8
3254,2024-01-02 11:00:00,3,   P,7
3254,2024-01-02 12:00:00,3,   P,7
3254,2024-01-02 13:00:00,3,   P,7
3254,2024-01-03 05:00:00,3,   P,7
3254,2024-01-03 06:00:00,3,   P,7
3254,2024-01-03 07:00:00,3,   P,7
3254,2024-01-03 08:00:00,3,   P,7
3254,2024-01-03 09:00:00,3,   P,7
3254,2024-01-03 10:00:00,3,   P,7
3254,2024-01-03 11:00:00,3,   P,7
3254,2024-01-03 12:00:00,3,   P,7
3254,2024-01-03 13:00:00,3,   P,8
3254,2024-01-03 14:00:00,3,   P,7
3254,2024-01-03 15:00:00,3,   P,6
3254,2024-01-04 08:00:00,3,   P,7
3254,2024-01-04 09:00:00,3,   P,6
3254,2024-01-04 10:00:00,3,   P,7
3254,2024-01-04 11:00:00,3,   P,7
3254,2024-01-04 12:00:00,3,   P,7
3254,2024-01-04 13:00:00,3,   P,7
3254,2024-01-04 14:00:00,3,   P,7
3254,2024-01-04 15:00:00,3,   P,7
3254,2024-01-05 05:00:00,3,   P,8
3254,2024-01-05 06:00:00,3,   P,8
3254,2024-01-05 07:00:00,3,   P,8
3254,2024-01-05 08:00:00,3,   P,8
3254,2024-01-05 09:00:00,3,   P,7
3254,2024-01-05 10:00:00,3,   P,8
3254,2024-01-05 11:00:00,3,   P,7
3254,2024-01-05 12:00:00,3,   P,7
3254,2024-01-08 05:00:00,3,   P,8
3254,2024-01-08 06:00:00,3,   P,8
3254,2024-01-08 07:00:00,3,   P,8
3254,2024-01-08 08:00:00,3,   P,8
3254,2024-01-08 09:00:00,3,   P,7
3254,2024-01-08 10:00:00,3,   P,7
3254,2024-01-08 11:00:00,3,   P,3
3254,2024-01-08 12:00:00,3,   P,2
3254,2024-01-09 05:00:00,3,   P,1
3254,2024-01-09 06:00:00,3,   P,1
3254,2024-01-09 07:00:00,3,   P,0
3254,2024-01-09 08:00:00,3,   P,0
3254,2024-01-09 09:00:00,3,   P,0
3254,2024-01-09 10:00:00,3,   P,0
3254,2024-01-09 11:00:00,3,   P,0
3254,2024-01-09 12:00:00,3,   P,0
3254,2024-01-09 13:00:00,3,   P,0
3254,2024-01-09 14:00:00,3,   P,0
3254,2024-01-09 15:00:00,3,   P,0
3254,2024-01-10 05:00:00,3,   P,0
3254,2024-01-10 06:00:00,3,   P,0
3254,2024-01-10 07:00:00,3,   P,1
3254,2024-01-10 08:00:00,3,   P,1
3254,2024-01-10 09:00:00,3,   P,1
3254,2024-01-10 10:00:00,3,   P,1
3254,2024-01-10 11:00:00,3,   P,1
3254,2024-01-10 12:00:00,3,   P,1
3254,2024-01-10 13:00:00,3,   P,1
3254,2024-01-10 14:00:00,3,   P,1
3254,2024-01-10 15:00:00,3,   P,1
3254,2024-01-11 06:00:00,3,   P,1
3254,2024-01-11 07:00:00,3,   P,8
3254,2024-01-11 08:00:00,3,   P,8
3254,2024-01-11 09:00:00,3,   P,8
3254,2024-01-11 10:00:00,3,   P,8
3254,2024-01-11 11:00:00,3,   P,8
3254,2024-01-11 12:00:00,3,   P,8
3254,2024-01-11 13:00:00,3,   P,8
3254,2024-01-12 05:00:00,3,   P,8
3254,2024-01-12 06:00:00,3,   P,8
3254,2024-01-12 07:00:00,3,   P,8
3254,2024-01-12 08:00:00,3,   P,7
3254,2024-01-12 09:00:00,3,   P,7
3254,2024-01-12 10:00:00,3,   P,8
3254,2024-01-12 11:00:00,3,   P,8
3254,2024-01-12 12:00:00,3,   P,7
3254,2024-01-15 05:00:00,3,   P,7
3254,2024-01-15 06:00:00,3,   P,7
3254,2024-01-15 07:00:00,3,   P,7
3254,2024-01-15 08:00:00,3,   P,7
3254,2024-01-15 09:00:00,3,   P,7
3254,2024-01-15 10:00:00,3,   P,7
3254,2024-01-15 11:00:00,3,   P,7
3254,2024-01-15 12:00:00,3,   P,7
3254,2024-01-15 13:00:00,3,   P,7
3254,2024-01-15 14:00:00,3,   P,7
3254,2024-01-15 15:00:00,3,   P,5
3254,2024-01-16 05:00:00,3,   P,7
3254,2024-01-16 06:00:00,3,   P,7
3254,2024-01-16 07:00:00,3,   P,7
3254,2024-01-16 08:00:00,3,   P,7
3254,2024-01-16 09:00:00,3,   P,7
3254,2024-01-16 10:00:00,3,   P,7
3254,2024-01-16 11:00:00,3,   P,7
3254,2024-01-16 12:00:00,3,   P,7
3254,2024-01-16 13:00:00,3,   P,7
3254,2024-01-16 14:00:00,3,   P,7
3254,2024-01-16 15:00:00,3,   P,6
3254,2024-01-17 06:00:00,3,   P,8
3254,2024-01-17 07:00:00,3,   P,7
3254,2024-01-17 08:00:00,3,   P,7
3254,2024-01-17 09:00:00,3,   P,7
3254,2024-01-17 10:00:00,3,   P,7
3254,2024-01-17 11:00:00,3,   P,7
3254,2024-01-17 12:00:00,3,   P,7
3254,2024-01-17 13:00:00,3,   P,7
3254,2024-01-18 05:00:00,3,   P,1
3254,2024-01-18 06:00:00,3,   P,3
3254,2024-01-18 07:00:00,3,   P,2
3254,2024-01-18 08:00:00,3,   P,1
3254,2024-01-18 09:00:00,3,   P,1
3254,2024-01-18 10:00:00,3,   P,2
