datetime,pressure_station,dew_point,avg_temperature,precipitation,extreme_wind_speed,cloudiness,visibility
2019-01-01 00:00:00,1029.01,5.02,6.03,0.02,7.59,7.66,8114.9
2019-01-01 01:00:00,1028.42,4.85,5.99,0.01,8.11,7.73,8669.4
2019-01-01 02:00:00,1027.84,4.7,5.95,0.01,8.59,7.73,9331.9
2019-01-01 03:00:00,1026.85,4.57,5.88,0.01,9.27,7.64,8817.4
2019-01-01 04:00:00,1025.84,4.46,5.79,0.02,9.92,7.68,9525.9
2019-01-01 05:00:00,1024.98,4.36,5.7,0.03,10.45,7.54,9813.5
2019-01-01 06:00:00,1024.42,4.25,5.62,0.04,10.72,7.51,10274.0
2019-01-01 07:00:00,1024.06,4.1,5.57,0.05,10.98,7.3,10636.3
2019-01-01 08:00:00,1023.84,3.91,5.55,0.06,11.3,7.15,11818.1
2019-01-01 09:00:00,1023.43,3.87,5.58,0.07,11.56,7.18,11851.7
2019-01-01 10:00:00,1023.1,3.85,5.73,0.07,11.99,7.24,13576.5
2019-01-01 11:00:00,1022.61,3.78,5.82,0.08,12.49,7.28,13759.2
2019-01-01 12:00:00,1022.01,3.61,5.84,0.1,13.2,7.14,15617.7
2019-01-01 13:00:00,1021.54,3.35,5.75,0.1,13.62,6.97,17886.9
2019-01-01 14:00:00,1021.29,3.04,5.56,0.12,14.06,6.82,20324.2
2019-01-01 15:00:00,1021.12,2.71,5.25,0.15,14.34,6.51,19954.8
2019-01-01 16:00:00,1021.09,2.31,4.94,0.16,14.66,6.5,22157.6
2019-01-01 17:00:00,1021.31,1.99,4.66,0.17,14.99,6.69,21121.2
2019-01-01 18:00:00,1021.53,1.6,4.37,0.17,15.24,6.46,23346.0
2019-01-01 19:00:00,1021.72,1.25,4.05,0.2,15.53,6.6,23576.1
2019-01-01 20:00:00,1021.95,0.84,3.79,0.21,15.23,6.47,23898.9
2019-01-01 21:00:00,1022.17,0.51,3.54,0.18,15.33,6.87,24137.8
2019-01-01 22:00:00,1022.38,0.15,3.32,0.19,15.01,6.8,26218.5
2019-01-01 23:00:00,1022.78,-0.14,3.02,0.17,14.73,6.51,25934.2
2019-01-02 00:00:00,1023.3,-0.43,2.76,0.17,14.43,6.03,25425.8
2019-01-02 01:00:00,1023.76,-0.76,2.63,0.16,14.17,5.89,26307.8
2019-01-02 02:00:00,1024.45,-1.02,2.48,0.15,13.75,5.64,27219.0
2019-01-02 03:00:00,1024.9,-1.21,2.31,0.11,13.39,5.57,26484.9
2019-01-02 04:00:00,1025.36,-1.41,2.18,0.09,13.2,5.41,26092.7
2019-01-02 05:00:00,1025.85,-1.58,2.03,0.07,13.05,5.2,28035.3
2019-01-02 06:00:00,1026.54,-1.78,1.91,0.04,12.65,5.33,27671.3
2019-01-02 07:00:00,1027.3,-1.96,1.79,0.04,12.38,5.66,28103.9
2019-01-02 08:00:00,1028.29,-2.07,1.7,0.05,12.11,5.53,29012.0
2019-01-02 09:00:00,1029.05,-2.17,1.82,0.06,12.04,5.02,26848.7
2019-01-02 10:00:00,1029.79,-2.3,2.1,0.07,12.39,4.84,26466.5
2019-01-02 11:00:00,1030.07,-2.66,2.35,0.06,12.75,4.83,28025.6
2019-01-02 12:00:00,1030.26,-3.15,2.46,0.06,13.18,4.89,30981.8
2019-01-02 13:00:00,1030.55,-3.72,2.45,0.08,13.03,4.53,33801.5
2019-01-02 14:00:00,1031.15,-4.27,2.24,0.09,12.71,4.25,36785.2
2019-01-02 15:00:00,1031.8,-4.64,1.75,0.09,12.33,3.77,43012.8
2019-01-02 16:00:00,1032.62,-4.81,1.16,0.05,11.02,3.64,47024.0
2019-01-02 17:00:00,1033.36,-4.96,0.64,0.03,9.74,3.47,45858.7
2019-01-02 18:00:00,1033.9,-5.11,0.23,0.03,8.85,3.44,45530.0
2019-01-02 19:00:00,1034.43,-5.25,-0.12,0.02,8.16,3.4,46622.7
2019-01-02 20:00:00,1034.87,-5.29,-0.51,0.01,7.62,3.43,45624.6
2019-01-02 21:00:00,1034.92,-5.3,-0.87,0.01,7.16,3.48,45959.9
2019-01-02 22:00:00,1034.91,-5.26,-1.2,0.01,6.63,3.16,46073.4
2019-01-02 23:00:00,1035.1,-5.19,-1.56,0.01,6.17,3.15,44691.0
2019-01-03 00:00:00,1035.48,-5.13,-1.83,0.01,5.93,2.99,44576.3
2019-01-03 01:00:00,1035.74,-5.05,-2.01,0.0,5.75,3.35,43624.3
2019-01-03 02:00:00,1036.08,-4.97,-2.18,0.01,5.6,3.26,42528.2
2019-01-03 03:00:00,1036.04,-4.9,-2.32,0.01,5.54,3.38,41914.4
2019-01-03 04:00:00,1035.78,-4.86,-2.46,0.01,5.58,4.01,40425.7
2019-01-03 05:00:00,1035.66,-4.82,-2.54,0.01,5.57,4.61,39357.0
2019-01-03 06:00:00,1035.73,-4.73,-2.56,0.01,5.63,5.41,37725.1
2019-01-03 07:00:00,1035.96,-4.67,-2.53,0.02,5.65,5.73,37326.4
2019-01-03 08:00:00,1036.44,-4.41,-2.3,0.03,5.71,6.02,34903.1
2019-01-03 09:00:00,1036.6,-3.97,-1.52,0.03,5.84,5.91,33044.5
2019-01-03 10:00:00,1036.63,-3.48,-0.53,0.02,6.13,5.88,31828.0
2019-01-03 11:00:00,1036.28,-3.16,0.2,0.02,6.41,6.28,30895.0
2019-01-03 12:00:00,1035.86,-2.91,0.63,0.03,6.77,6.67,31799.8
2019-01-03 13:00:00,1035.65,-2.74,0.87,0.03,6.77,6.9,31356.8
2019-01-03 14:00:00,1035.76,-2.59,0.82,0.03,6.64,6.9,33381.9
2019-01-03 15:00:00,1036.0,-2.48,0.46,0.02,6.38,6.52,33117.4
2019-01-03 16:00:00,1036.24,-2.41,0.05,0.02,5.86,6.71,31406.9
2019-01-03 17:00:00,1036.42,-2.36,-0.21,0.02,5.62,6.12,29015.1
2019-01-03 18:00:00,1036.48,-2.36,-0.43,0.02,5.6,6.02,26709.0
2019-01-03 19:00:00,1036.65,-2.37,-0.57,0.02,5.52,6.16,25624.8
2019-01-03 20:00:00,1036.8,-2.36,-0.68,0.03,5.44,6.5,23799.4
2019-01-03 21:00:00,1036.75,-2.35,-0.8,0.04,5.25,6.91,23113.0
2019-01-03 22:00:00,1036.65,-2.32,-0.9,0.03,5.12,7.1,21483.0
2019-01-03 23:00:00,1036.49,-2.26,-0.9,0.03,5.08,7.33,20225.6
2019-01-04 00:00:00,1036.42,-2.26,-0.96,0.02,5.04,7.53,19084.1
2019-01-04 01:00:00,1036.31,-2.23,-1.0,0.02,4.94,7.61,17933.7
2019-01-04 02:00:00,1036.24,-2.17,-0.94,0.01,4.99,7.59,18212.9
2019-01-04 03:00:00,1035.96,-2.08,-0.88,0.01,5.14,7.61,15612.6
2019-01-04 04:00:00,1035.42,-1.96,-0.79,0.02,5.31,7.58,14675.4
2019-01-04 05:00:00,1035.05,-1.74,-0.63,0.02,5.67,7.62,13134.2
2019-01-04 06:00:00,1034.69,-1.57,-0.48,0.02,6.01,7.7,12129.4
2019-01-04 07:00:00,1034.5,-1.44,-0.35,0.02,6.38,7.61,11105.9
2019-01-04 08:00:00,1034.44,-1.28,-0.16,0.03,6.75,7.61,10985.8
2019-01-04 09:00:00,1034.2,-0.99,0.24,0.05,7.17,7.52,10524.5
2019-01-04 10:00:00,1033.62,-0.63,0.79,0.06,7.54,7.58,10590.7
2019-01-04 11:00:00,1032.59,-0.39,1.24,0.07,8.16,7.53,11789.8
2019-01-04 12:00:00,1031.68,-0.23,1.58,0.06,8.67,7.51,13589.8
2019-01-04 13:00:00,1031.01,-0.07,1.78,0.06,8.84,7.47,15308.2
2019-01-04 14:00:00,1030.61,0.08,1.87,0.06,8.85,7.42,16023.5
2019-01-04 15:00:00,1030.25,0.19,1.84,0.06,8.73,7.52,16220.1
2019-01-04 16:00:00,1029.91,0.3,1.78,0.06,8.81,7.44,15331.4
2019-01-04 17:00:00,1029.68,0.45,1.81,0.06,8.85,7.46,14577.1
2019-01-04 18:00:00,1029.49,0.63,1.91,0.07,9.03,7.53,14007.4
2019-01-04 19:00:00,1029.27,0.8,2.05,0.07,8.99,7.68,12866.9
2019-01-04 20:00:00,1028.98,1.0,2.19,0.07,9.19,7.68,11754.3
2019-01-04 21:00:00,1028.57,1.19,2.32,0.06,9.21,7.74,10833.0
2019-01-04 22:00:00,1028.23,1.42,2.46,0.06,9.31,7.73,9954.6
2019-01-04 23:00:00,1027.74,1.6,2.57,0.06,9.54,7.72,9985.6
2019-01-05 00:00:00,1027.15,1.79,2.72,0.08,9.7,7.74,9754.7
2019-01-05 01:00:00,1026.63,1.95,2.85,0.11,9.84,7.7,9074.3
2019-01-05 02:00:00,1026.14,2.08,2.97,0.17,10.08,7.67,9053.7
2019-01-05 03:00:00,1025.45,2.18,3.04,0.29,10.2,7.66,8145.5
2019-01-05 04:00:00,1024.62,2.25,3.06,0.44,10.5,7.62,8532.8
2019-01-05 05:00:00,1024.1,2.28,3.07,0.6,10.53,7.59,8692.1
2019-01-05 06:00:00,1023.84,2.4,3.14,0.59,10.58,7.63,8910.2
2019-01-05 07:00:00,1023.92,2.58,3.25,0.54,10.52,7.51,8668.8
2019-01-05 08:00:00,1024.2,2.74,3.41,0.49,10.42,7.52,9194.4
2019-01-05 09:00:00,1024.38,2.95,3.64,0.48,10.24,7.45,11040.9
2019-01-05 10:00:00,1024.53,3.15,3.94,0.45,10.0,7.5,13041.3
2019-01-05 11:00:00,1024.41,3.32,4.23,0.38,10.04,7.44,15251.8
2019-01-05 12:00:00,1024.31,3.41,4.45,0.33,9.97,7.48,17766.5
2019-01-05 13:00:00,1024.37,3.46,4.55,0.29,9.82,7.41,17389.4
2019-01-05 14:00:00,1024.79,3.48,4.59,0.25,9.61,7.38,18555.2
2019-01-05 15:00:00,1025.16,3.48,4.51,0.25,9.3,7.36,18573.3
2019-01-05 16:00:00,1025.53,3.42,4.38,0.25,8.87,7.41,16478.6
2019-01-05 17:00:00,1025.84,3.37,4.29,0.28,8.67,7.25,17096.5
2019-01-05 18:00:00,1026.05,3.29,4.18,0.29,8.48,7.33,18141.5
2019-01-05 19:00:00,1026.3,3.18,4.07,0.26,8.29,7.12,18640.1
2019-01-05 20:00:00,1026.48,3.06,3.98,0.27,8.16,7.17,17961.9
2019-01-05 21:00:00,1026.68,2.91,3.82,0.29,7.88,6.83,18255.9
2019-01-05 22:00:00,1026.88,2.73,3.64,0.31,7.74,6.86,19791.5
2019-01-05 23:00:00,1027.03,2.59,3.48,0.3,7.61,6.88,19492.4
2019-01-06 00:00:00,1027.18,2.42,3.33,0.32,7.38,6.75,18904.6
2019-01-06 01:00:00,1027.37,2.27,3.15,0.3,7.22,6.89,19259.4
2019-01-06 02:00:00,1027.74,2.18,3.05,0.28,7.12,6.9,19043.9
2019-01-06 03:00:00,1027.91,2.08,2.92,0.26,6.88,7.18,18361.5
2019-01-06 04:00:00,1027.82,2.02,2.85,0.25,6.68,7.12,18053.0
2019-01-06 05:00:00,1027.8,1.96,2.79,0.24,6.57,7.25,17552.2
2019-01-06 06:00:00,1028.12,1.92,2.74,0.24,6.44,7.4,15987.3
2019-01-06 07:00:00,1028.57,1.88,2.67,0.23,6.13,7.51,14603.8
2019-01-06 08:00:00,1029.2,1.82,2.62,0.22,5.95,7.51,15471.5
2019-01-06 09:00:00,1029.64,1.88,2.8,0.2,5.8,7.42,17427.9
2019-01-06 10:00:00,1029.88,1.95,3.12,0.17,5.72,7.48,19256.9
2019-01-06 11:00:00,1029.89,2.0,3.4,0.15,5.86,7.46,21029.9
2019-01-06 12:00:00,1029.8,2.07,3.61,0.13,6.03,7.55,21252.9
2019-01-06 13:00:00,1029.8,2.14,3.74,0.13,6.16,7.37,22802.7
2019-01-06 14:00:00,1030.12,2.18,3.73,0.12,6.07,7.4,22740.3
2019-01-06 15:00:00,1030.43,2.22,3.57,0.11,5.91,7.46,22740.5
2019-01-06 16:00:00,1030.65,2.24,3.35,0.1,5.59,7.44,20653.1
2019-01-06 17:00:00,1030.84,2.26,3.26,0.1,5.41,7.53,17961.9
2019-01-06 18:00:00,1030.95,2.28,3.21,0.12,5.43,7.59,16667.0
2019-01-06 19:00:00,1031.11,2.3,3.18,0.14,5.52,7.64,15738.0
2019-01-06 20:00:00,1031.22,2.29,3.15,0.14,5.53,7.61,14378.2
