datetime,avg_temperature,avg_humidity
2019-01-01 00:00:00,6.03,93.49
2019-01-01 01:00:00,5.99,92.8
2019-01-01 02:00:00,5.95,92.02
2019-01-01 03:00:00,5.88,91.65
2019-01-01 04:00:00,5.79,91.57
2019-01-01 05:00:00,5.7,91.52
2019-01-01 06:00:00,5.62,91.28
2019-01-01 07:00:00,5.57,90.57
2019-01-01 08:00:00,5.55,89.45
2019-01-01 09:00:00,5.58,88.98
2019-01-01 10:00:00,5.73,87.93
2019-01-01 11:00:00,5.82,87.0
2019-01-01 12:00:00,5.84,86.11
2019-01-01 13:00:00,5.75,85.19
2019-01-01 14:00:00,5.56,84.63
2019-01-01 15:00:00,5.25,84.23
2019-01-01 16:00:00,4.94,83.66
2019-01-01 17:00:00,4.66,83.44
2019-01-01 18:00:00,4.37,82.98
2019-01-01 19:00:00,4.05,82.5
2019-01-01 20:00:00,3.79,81.82
2019-01-01 21:00:00,3.54,81.19
2019-01-01 22:00:00,3.32,80.43
2019-01-01 23:00:00,3.02,80.35
2019-01-02 00:00:00,2.76,80.15
2019-01-02 01:00:00,2.63,79.07
2019-01-02 02:00:00,2.48,78.35
2019-01-02 03:00:00,2.31,78.2
2019-01-02 04:00:00,2.18,77.69
2019-01-02 05:00:00,2.03,77.68
2019-01-02 06:00:00,1.91,77.33
2019-01-02 07:00:00,1.79,76.93
2019-01-02 08:00:00,1.7,76.82
2019-01-02 09:00:00,1.82,75.77
2019-01-02 10:00:00,2.1,73.89
2019-01-02 11:00:00,2.35,70.81
2019-01-02 12:00:00,2.46,68.07
2019-01-02 13:00:00,2.45,65.38
2019-01-02 14:00:00,2.24,63.61
2019-01-02 15:00:00,1.75,64.14
2019-01-02 16:00:00,1.16,65.61
2019-01-02 17:00:00,0.64,67.32
2019-01-02 18:00:00,0.23,68.48
2019-01-02 19:00:00,-0.12,69.41
2019-01-02 20:00:00,-0.51,71.03
2019-01-02 21:00:00,-0.87,72.94
2019-01-02 22:00:00,-1.2,74.76
2019-01-02 23:00:00,-1.56,77.05
2019-01-03 00:00:00,-1.83,78.81
2019-01-03 01:00:00,-2.01,80.24
2019-01-03 02:00:00,-2.18,81.76
2019-01-03 03:00:00,-2.32,83.04
2019-01-03 04:00:00,-2.46,84.01
2019-01-03 05:00:00,-2.54,84.69
2019-01-03 06:00:00,-2.56,85.32
2019-01-03 07:00:00,-2.53,85.53
2019-01-03 08:00:00,-2.3,85.8
2019-01-03 09:00:00,-1.52,83.9
2019-01-03 10:00:00,-0.53,80.85
2019-01-03 11:00:00,0.2,78.62
2019-01-03 12:00:00,0.63,77.64
2019-01-03 13:00:00,0.87,77.34
2019-01-03 14:00:00,0.82,78.42
2019-01-03 15:00:00,0.46,80.94
2019-01-03 16:00:00,0.05,83.89
2019-01-03 17:00:00,-0.21,85.9
2019-01-03 18:00:00,-0.43,87.22
2019-01-03 19:00:00,-0.57,88.05
2019-01-03 20:00:00,-0.68,88.78
2019-01-03 21:00:00,-0.8,89.55
2019-01-03 22:00:00,-0.9,90.36
2019-01-03 23:00:00,-0.9,90.82
2019-01-04 00:00:00,-0.96,91.21
2019-01-04 01:00:00,-1.0,91.61
2019-01-04 02:00:00,-0.94,91.86
2019-01-04 03:00:00,-0.88,92.04
2019-01-04 04:00:00,-0.79,92.21
2019-01-04 05:00:00,-0.63,92.46
2019-01-04 06:00:00,-0.48,92.56
2019-01-04 07:00:00,-0.35,92.44
2019-01-04 08:00:00,-0.16,92.37
2019-01-04 09:00:00,0.24,91.74
2019-01-04 10:00:00,0.79,90.65
2019-01-04 11:00:00,1.24,89.29
2019-01-04 12:00:00,1.58,88.22
2019-01-04 13:00:00,1.78,87.92
2019-01-04 14:00:00,1.87,88.29
2019-01-04 15:00:00,1.84,89.03
2019-01-04 16:00:00,1.78,90.16
2019-01-04 17:00:00,1.81,90.9
2019-01-04 18:00:00,1.91,91.4
2019-01-04 19:00:00,2.05,91.73
2019-01-04 20:00:00,2.19,92.06
2019-01-04 21:00:00,2.32,92.53
2019-01-04 22:00:00,2.46,92.94
2019-01-04 23:00:00,2.57,93.36
2019-01-05 00:00:00,2.72,93.66
2019-01-05 01:00:00,2.85,93.79
2019-01-05 02:00:00,2.97,93.82
2019-01-05 03:00:00,3.04,94.06
2019-01-05 04:00:00,3.06,94.32
2019-01-05 05:00:00,3.07,94.48
2019-01-05 06:00:00,3.14,94.84
2019-01-05 07:00:00,3.25,95.35
2019-01-05 08:00:00,3.41,95.41
2019-01-05 09:00:00,3.64,95.33
2019-01-05 10:00:00,3.94,94.59
2019-01-05 11:00:00,4.23,93.96
2019-01-05 12:00:00,4.45,93.26
2019-01-05 13:00:00,4.55,92.88
2019-01-05 14:00:00,4.59,92.71
2019-01-05 15:00:00,4.51,93.16
2019-01-05 16:00:00,4.38,93.68
2019-01-05 17:00:00,4.29,93.9
2019-01-05 18:00:00,4.18,94.06
2019-01-05 19:00:00,4.07,94.07
2019-01-05 20:00:00,3.98,93.94
2019-01-05 21:00:00,3.82,93.95
2019-01-05 22:00:00,3.64,93.97
2019-01-05 23:00:00,3.48,93.91
2019-01-06 00:00:00,3.33,93.82
2019-01-06 01:00:00,3.15,93.99
2019-01-06 02:00:00,3.05,94.21
2019-01-06 03:00:00,2.92,94.29
2019-01-06 04:00:00,2.85,94.54
2019-01-06 05:00:00,2.79,94.49
2019-01-06 06:00:00,2.74,94.55
2019-01-06 07:00:00,2.67,94.63
2019-01-06 08:00:00,2.62,94.61
2019-01-06 09:00:00,2.8,93.86
2019-01-06 10:00:00,3.12,92.26
2019-01-06 11:00:00,3.4,90.75
2019-01-06 12:00:00,3.61,90.01
2019-01-06 13:00:00,3.74,89.59
2019-01-06 14:00:00,3.73,89.82
2019-01-06 15:00:00,3.57,91.06
2019-01-06 16:00:00,3.35,92.59
2019-01-06 17:00:00,3.26,93.24
2019-01-06 18:00:00,3.21,93.73
2019-01-06 19:00:00,3.18,94.03
2019-01-06 20:00:00,3.15,94.25
2019-01-06 21:00:00,3.09,94.54
2019-01-06 22:00:00,3.07,94.52
2019-01-06 23:00:00,3.03,94.76
2019-01-07 00:00:00,3.01,94.77
2019-01-07 01:00:00,2.99,94.88
2019-01-07 02:00:00,2.96,95.16
2019-01-07 03:00:00,2.92,95.3
2019-01-07 04:00:00,2.88,95.4
2019-01-07 05:00:00,2.86,95.41
2019-01-07 06:00:00,2.86,95.18
2019-01-07 07:00:00,2.86,95.06
2019-01-07 08:00:00,2.87,94.94
2019-01-07 09:00:00,3.09,94.18
2019-01-07 10:00:00,3.4,92.76
2019-01-07 11:00:00,3.69,91.47
2019-01-07 12:00:00,3.9,90.51
2019-01-07 13:00:00,4.0,89.99
2019-01-07 14:00:00,3.99,90.09
2019-01-07 15:00:00,3.87,90.95
2019-01-07 16:00:00,3.73,91.79
2019-01-07 17:00:00,3.67,92.13
2019-01-07 18:00:00,3.67,92.15
2019-01-07 19:00:00,3.66,92.35
2019-01-07 20:00:00,3.67,92.54
2019-01-07 21:00:00,3.69,92.4
2019-01-07 22:00:00,3.72,92.07
2019-01-07 23:00:00,3.74,91.56
2019-01-08 00:00:00,3.76,91.5
2019-01-08 01:00:00,3.8,91.21
2019-01-08 02:00:00,3.79,91.2
2019-01-08 03:00:00,3.76,91.09
2019-01-08 04:00:00,3.77,90.8
2019-01-08 05:00:00,3.81,90.39
2019-01-08 06:00:00,3.84,89.96
2019-01-08 07:00:00,3.9,89.47
2019-01-08 08:00:00,3.97,89.09
2019-01-08 09:00:00,4.11,88.75
2019-01-08 10:00:00,4.28,88.08
2019-01-08 11:00:00,4.44,87.09
2019-01-08 12:00:00,4.52,86.41
2019-01-08 13:00:00,4.48,85.95
2019-01-08 14:00:00,4.35,85.26
2019-01-08 15:00:00,4.15,84.75
2019-01-08 16:00:00,3.86,85.41
2019-01-08 17:00:00,3.65,85.16
2019-01-08 18:00:00,3.38,85.88
2019-01-08 19:00:00,3.13,86.23
2019-01-08 20:00:00,2.93,86.59
2019-01-08 21:00:00,2.72,86.78
2019-01-08 22:00:00,2.53,86.99
2019-01-08 23:00:00,2.29,87.3
2019-01-09 00:00:00,2.07,87.38
2019-01-09 01:00:00,1.88,87.51
2019-01-09 02:00:00,1.72,87.62
2019-01-09 03:00:00,1.55,87.59
2019-01-09 04:00:00,1.38,87.61
2019-01-09 05:00:00,1.22,87.47
2019-01-09 06:00:00,1.06,87.47
2019-01-09 07:00:00,0.92,87.32
2019-01-09 08:00:00,0.81,87.09
2019-01-09 09:00:00,0.88,86.35
2019-01-09 10:00:00,1.06,85.33
2019-01-09 11:00:00,1.21,83.98
2019-01-09 12:00:00,1.24,83.2
2019-01-09 13:00:00,1.26,82.31
2019-01-09 14:00:00,1.17,82.64
2019-01-09 15:00:00,0.99,83.49
2019-01-09 16:00:00,0.75,84.45
2019-01-09 17:00:00,0.57,85.59
2019-01-09 18:00:00,0.46,86.11
2019-01-09 19:00:00,0.38,86.32
2019-01-09 20:00:00,0.32,86.47
2019-01-09 21:00:00,0.25,86.53
2019-01-09 22:00:00,0.17,86.97
2019-01-09 23:00:00,0.08,87.41
2019-01-10 00:00:00,-0.02,87.68
2019-01-10 01:00:00,-0.1,88.01
2019-01-10 02:00:00,-0.17,88.25
2019-01-10 03:00:00,-0.24,88.62
2019-01-10 04:00:00,-0.33,88.85
2019-01-10 05:00:00,-0.4,89.0
2019-01-10 06:00:00,-0.48,89.14
2019-01-10 07:00:00,-0.54,89.1
2019-01-10 08:00:00,-0.57,88.96
2019-01-10 09:00:00,-0.39,87.87
2019-01-10 10:00:00,-0.11,85.89
2019-01-10 11:00:00,0.1,83.97
2019-01-10 12:00:00,0.24,82.41
2019-01-10 13:00:00,0.27,81.25
2019-01-10 14:00:00,0.19,81.07
2019-01-10 15:00:00,-0.03,81.77
2019-01-10 16:00:00,-0.34,83.21
2019-01-10 17:00:00,-0.57,84.36
2019-01-10 18:00:00,-0.76,85.15
2019-01-10 19:00:00,-0.95,86.19
2019-01-10 20:00:00,-1.1,87.09
2019-01-10 21:00:00,-1.24,87.9
2019-01-10 22:00:00,-1.33,88.58
2019-01-10 23:00:00,-1.42,89.21
2019-01-11 00:00:00,-1.43,89.61
2019-01-11 01:00:00,-1.46,90.16
2019-01-11 02:00:00,-1.43,90.59
2019-01-11 03:00:00,-1.4,91.16
2019-01-11 04:00:00,-1.34,91.75
2019-01-11 05:00:00,-1.25,92.23
2019-01-11 06:00:00,-1.12,92.92
2019-01-11 07:00:00,-0.97,93.48
2019-01-11 08:00:00,-0.73,93.56
2019-01-11 09:00:00,-0.33,93.07
2019-01-11 10:00:00,0.16,92.51
2019-01-11 11:00:00,0.59,91.94
2019-01-11 12:00:00,0.94,91.66
