datetime,solar
2018-12-31 23:00:00,0.49
2019-01-01 00:00:00,0.54
2019-01-01 01:00:00,0.49
2019-01-01 02:00:00,0.5
2019-01-01 03:00:00,0.52
2019-01-01 04:00:00,0.51
2019-01-01 05:00:00,0.49
2019-01-01 06:00:00,0.67
2019-01-01 07:00:00,335.7
2019-01-01 08:00:00,2311.91
2019-01-01 09:00:00,5341.18
2019-01-01 10:00:00,7968.64
2019-01-01 11:00:00,8700.64
2019-01-01 12:00:00,7703.16
2019-01-01 13:00:00,4826.26
2019-01-01 14:00:00,1589.1
2019-01-01 15:00:00,74.33
2019-01-01 16:00:00,0.73
2019-01-01 17:00:00,0.54
2019-01-01 18:00:00,0.48
2019-01-01 19:00:00,0.44
2019-01-01 20:00:00,0.46
2019-01-01 21:00:00,0.48
2019-01-01 22:00:00,0.46
2019-01-01 23:00:00,0.51
2019-01-02 00:00:00,0.52
2019-01-02 01:00:00,0.5
2019-01-02 02:00:00,0.5
2019-01-02 03:00:00,0.53
2019-01-02 04:00:00,0.65
2019-01-02 05:00:00,0.72
2019-01-02 06:00:00,1.05
2019-01-02 07:00:00,432.66
2019-01-02 08:00:00,5695.8
2019-01-02 09:00:00,16066.84
2019-01-02 10:00:00,24498.01
2019-01-02 11:00:00,26890.06
2019-01-02 12:00:00,24121.14
2019-01-02 13:00:00,16387.36
2019-01-02 14:00:00,5642.88
2019-01-02 15:00:00,295.03
2019-01-02 16:00:00,1.16
2019-01-02 17:00:00,0.7
2019-01-02 18:00:00,0.57
2019-01-02 19:00:00,0.58
2019-01-02 20:00:00,0.57
2019-01-02 21:00:00,0.54
2019-01-02 22:00:00,0.6
2019-01-02 23:00:00,0.64
2019-01-03 00:00:00,0.64
2019-01-03 01:00:00,0.62
2019-01-03 02:00:00,0.64
2019-01-03 03:00:00,0.62
2019-01-03 04:00:00,0.6
2019-01-03 05:00:00,0.57
2019-01-03 06:00:00,0.79
2019-01-03 07:00:00,716.65
2019-01-03 08:00:00,6286.81
2019-01-03 09:00:00,13706.53
2019-01-03 10:00:00,18644.65
2019-01-03 11:00:00,18787.76
2019-01-03 12:00:00,16203.85
2019-01-03 13:00:00,10384.64
2019-01-03 14:00:00,3128.58
2019-01-03 15:00:00,151.4
2019-01-03 16:00:00,0.98
2019-01-03 17:00:00,0.74
2019-01-03 18:00:00,0.68
2019-01-03 19:00:00,0.63
2019-01-03 20:00:00,0.56
2019-01-03 21:00:00,0.58
2019-01-03 22:00:00,0.56
2019-01-03 23:00:00,0.64
2019-01-04 00:00:00,0.71
2019-01-04 01:00:00,0.67
2019-01-04 02:00:00,0.67
2019-01-04 03:00:00,0.66
2019-01-04 04:00:00,0.65
2019-01-04 05:00:00,0.56
2019-01-04 06:00:00,0.49
2019-01-04 07:00:00,354.6
2019-01-04 08:00:00,2636.68
2019-01-04 09:00:00,5893.47
2019-01-04 10:00:00,8425.56
2019-01-04 11:00:00,8389.05
2019-01-04 12:00:00,6602.32
2019-01-04 13:00:00,3816.94
2019-01-04 14:00:00,1218.2
2019-01-04 15:00:00,79.34
2019-01-04 16:00:00,0.6
2019-01-04 17:00:00,0.6
2019-01-04 18:00:00,0.6
2019-01-04 19:00:00,0.62
2019-01-04 20:00:00,0.63
2019-01-04 21:00:00,0.66
2019-01-04 22:00:00,0.69
2019-01-04 23:00:00,0.75
2019-01-05 00:00:00,0.78
2019-01-05 01:00:00,0.75
