datetime,pressure_station,pressure_sea_level
2019-01-01 00:00:00,1029.01,994.3
2019-01-01 01:00:00,1028.42,993.75
2019-01-01 02:00:00,1027.84,993.02
2019-01-01 03:00:00,1026.85,992.06
2019-01-01 04:00:00,1025.84,991.07
2019-01-01 05:00:00,1024.98,990.23
2019-01-01 06:00:00,1024.42,989.7
2019-01-01 07:00:00,1024.06,989.35
2019-01-01 08:00:00,1023.84,989.13
2019-01-01 09:00:00,1023.43,988.73
2019-01-01 10:00:00,1023.1,988.43
2019-01-01 11:00:00,1022.61,987.96
2019-01-01 12:00:00,1022.01,987.37
2019-01-01 13:00:00,1021.54,986.92
2019-01-01 14:00:00,1021.29,986.67
2019-01-01 15:00:00,1021.12,986.47
2019-01-01 16:00:00,1021.09,986.41
2019-01-01 17:00:00,1021.31,986.42
2019-01-01 18:00:00,1021.53,986.76
2019-01-01 19:00:00,1021.72,986.89
2019-01-01 20:00:00,1021.95,987.05
2019-01-01 21:00:00,1022.17,987.21
2019-01-01 22:00:00,1022.38,987.35
2019-01-01 23:00:00,1022.78,987.65
2019-01-02 00:00:00,1023.3,988.1
2019-01-02 01:00:00,1023.76,988.51
2019-01-02 02:00:00,1024.45,989.13
2019-01-02 03:00:00,1024.9,989.54
2019-01-02 04:00:00,1025.36,989.96
2019-01-02 05:00:00,1025.85,990.41
2019-01-02 06:00:00,1026.54,991.2
2019-01-02 07:00:00,1027.3,991.89
2019-01-02 08:00:00,1028.29,992.81
2019-01-02 09:00:00,1029.05,993.53
2019-01-02 10:00:00,1029.79,994.25
2019-01-02 11:00:00,1030.07,994.52
2019-01-02 12:00:00,1030.26,994.68
2019-01-02 13:00:00,1030.55,994.95
2019-01-02 14:00:00,1031.15,995.49
2019-01-02 15:00:00,1031.8,996.08
2019-01-02 16:00:00,1032.62,996.82
2019-01-02 17:00:00,1033.36,997.48
2019-01-02 18:00:00,1033.9,997.97
2019-01-02 19:00:00,1034.43,998.47
2019-01-02 20:00:00,1034.87,998.86
2019-01-02 21:00:00,1034.92,998.89
2019-01-02 22:00:00,1034.91,998.86
2019-01-02 23:00:00,1035.1,999.01
2019-01-03 00:00:00,1035.48,999.35
2019-01-03 01:00:00,1035.74,999.59
2019-01-03 02:00:00,1036.08,999.91
2019-01-03 03:00:00,1036.04,999.67
2019-01-03 04:00:00,1035.78,999.59
2019-01-03 05:00:00,1035.66,999.47
2019-01-03 06:00:00,1035.73,999.53
2019-01-03 07:00:00,1035.96,999.59
2019-01-03 08:00:00,1036.44,1000.23
2019-01-03 09:00:00,1036.6,1000.44
2019-01-03 10:00:00,1036.63,1000.56
2019-01-03 11:00:00,1036.28,1000.27
2019-01-03 12:00:00,1035.86,999.91
2019-01-03 13:00:00,1035.65,999.72
2019-01-03 14:00:00,1035.76,999.83
2019-01-03 15:00:00,1036.0,1000.04
2019-01-03 16:00:00,1036.24,1000.24
2019-01-03 17:00:00,1036.42,1000.4
2019-01-03 18:00:00,1036.48,1000.45
2019-01-03 19:00:00,1036.65,1000.59
2019-01-03 20:00:00,1036.8,1000.73
2019-01-03 21:00:00,1036.75,1000.68
2019-01-03 22:00:00,1036.65,1000.57
2019-01-03 23:00:00,1036.49,1000.43
2019-01-04 00:00:00,1036.42,1000.37
2019-01-04 01:00:00,1036.31,1000.26
2019-01-04 02:00:00,1036.24,1000.21
2019-01-04 03:00:00,1035.96,999.94
2019-01-04 04:00:00,1035.42,999.43
2019-01-04 05:00:00,1035.05,999.1
2019-01-04 06:00:00,1034.69,998.78
2019-01-04 07:00:00,1034.5,998.62
2019-01-04 08:00:00,1034.44,998.6
2019-01-04 09:00:00,1034.2,998.41
2019-01-04 10:00:00,1033.62,997.93
2019-01-04 11:00:00,1032.59,996.97
2019-01-04 12:00:00,1031.68,996.12
2019-01-04 13:00:00,1031.01,995.49
2019-01-04 14:00:00,1030.61,995.12
2019-01-04 15:00:00,1030.25,994.78
2019-01-04 16:00:00,1029.91,994.44
2019-01-04 17:00:00,1029.68,994.21
2019-01-04 18:00:00,1029.49,994.06
2019-01-04 19:00:00,1029.27,993.87
2019-01-04 20:00:00,1028.98,993.48
2019-01-04 21:00:00,1028.57,993.12
2019-01-04 22:00:00,1028.23,992.82
2019-01-04 23:00:00,1027.74,992.2
2019-01-05 00:00:00,1027.15,991.82
2019-01-05 01:00:00,1026.63,991.34
2019-01-05 02:00:00,1026.14,990.89
2019-01-05 03:00:00,1025.45,990.22
2019-01-05 04:00:00,1024.62,989.4
2019-01-05 05:00:00,1024.1,988.89
2019-01-05 06:00:00,1023.84,988.62
2019-01-05 07:00:00,1023.92,988.71
2019-01-05 08:00:00,1024.2,988.99
2019-01-05 09:00:00,1024.38,989.18
2019-01-05 10:00:00,1024.53,989.37
2019-01-05 11:00:00,1024.41,989.28
2019-01-05 12:00:00,1024.31,989.19
2019-01-05 13:00:00,1024.37,989.27
2019-01-05 14:00:00,1024.79,989.68
2019-01-05 15:00:00,1025.16,990.04
2019-01-05 16:00:00,1025.53,990.39
2019-01-05 17:00:00,1025.84,990.68
2019-01-05 18:00:00,1026.05,990.88
2019-01-05 19:00:00,1026.3,991.11
2019-01-05 20:00:00,1026.48,991.27
2019-01-05 21:00:00,1026.68,991.46
2019-01-05 22:00:00,1026.88,991.64
2019-01-05 23:00:00,1027.03,991.76
2019-01-06 00:00:00,1027.18,991.89
2019-01-06 01:00:00,1027.37,992.06
2019-01-06 02:00:00,1027.74,992.4
2019-01-06 03:00:00,1027.91,992.55
2019-01-06 04:00:00,1027.82,992.44
2019-01-06 05:00:00,1027.8,992.65
2019-01-06 06:00:00,1028.12,992.72
2019-01-06 07:00:00,1028.57,993.13
2019-01-06 08:00:00,1029.2,993.74
2019-01-06 09:00:00,1029.64,994.18
2019-01-06 10:00:00,1029.88,994.44
2019-01-06 11:00:00,1029.89,994.47
2019-01-06 12:00:00,1029.8,994.4
2019-01-06 13:00:00,1029.8,994.41
2019-01-06 14:00:00,1030.12,994.73
2019-01-06 15:00:00,1030.43,995.03
2019-01-06 16:00:00,1030.65,995.22
2019-01-06 17:00:00,1030.84,995.4
2019-01-06 18:00:00,1030.95,995.64
2019-01-06 19:00:00,1031.11,995.78
2019-01-06 20:00:00,1031.22,995.89
2019-01-06 21:00:00,1031.25,995.92
2019-01-06 22:00:00,1031.34,996.0
2019-01-06 23:00:00,1031.22,995.89
2019-01-07 00:00:00,1031.25,995.91
2019-01-07 01:00:00,1031.29,995.96
2019-01-07 02:00:00,1031.39,996.05
2019-01-07 03:00:00,1031.22,995.89
2019-01-07 04:00:00,1030.87,995.54
2019-01-07 05:00:00,1030.66,995.34
2019-01-07 06:00:00,1030.58,995.27
2019-01-07 07:00:00,1030.7,995.39
2019-01-07 08:00:00,1030.78,995.48
2019-01-07 09:00:00,1030.81,995.53
2019-01-07 10:00:00,1030.59,995.36
2019-01-07 11:00:00,1030.01,994.83
2019-01-07 12:00:00,1029.26,994.01
2019-01-07 13:00:00,1028.53,993.33
2019-01-07 14:00:00,1028.03,992.87
2019-01-07 15:00:00,1027.51,992.38
2019-01-07 16:00:00,1026.79,991.69
2019-01-07 17:00:00,1025.81,990.76
2019-01-07 18:00:00,1024.78,989.8
2019-01-07 19:00:00,1023.67,988.75
2019-01-07 20:00:00,1022.36,987.51
2019-01-07 21:00:00,1021.05,986.26
2019-01-07 22:00:00,1019.77,985.02
2019-01-07 23:00:00,1018.35,983.66
2019-01-08 00:00:00,1017.04,982.39
2019-01-08 01:00:00,1015.78,981.18
2019-01-08 02:00:00,1014.6,980.05
2019-01-08 03:00:00,1013.45,978.94
2019-01-08 04:00:00,1012.02,977.86
2019-01-08 05:00:00,1010.82,976.71
2019-01-08 06:00:00,1009.81,975.74
2019-01-08 07:00:00,1009.15,975.11
2019-01-08 08:00:00,1008.61,974.6
2019-01-08 09:00:00,1008.16,974.19
2019-01-08 10:00:00,1008.06,973.82
2019-01-08 11:00:00,1007.5,973.43
2019-01-08 12:00:00,1006.97,972.91
2019-01-08 13:00:00,1006.62,972.25
2019-01-08 14:00:00,1006.72,972.33
2019-01-08 15:00:00,1007.0,972.57
2019-01-08 16:00:00,1007.28,972.78
2019-01-08 17:00:00,1007.5,972.95
2019-01-08 18:00:00,1007.61,973.14
2019-01-08 19:00:00,1007.87,973.35
2019-01-08 20:00:00,1008.1,973.53
2019-01-08 21:00:00,1008.18,973.56
2019-01-08 22:00:00,1008.3,973.63
2019-01-08 23:00:00,1008.33,973.62
2019-01-09 00:00:00,1008.41,973.66
2019-01-09 01:00:00,1008.64,973.85
2019-01-09 02:00:00,1009.05,974.2
