datetime,wind_speed,wind_direction
2019-01-01 00:00:00,4.48,251.0
2019-01-01 01:00:00,4.79,251.2
2019-01-01 02:00:00,5.06,247.7
2019-01-01 03:00:00,5.48,247.4
2019-01-01 04:00:00,5.88,251.4
2019-01-01 05:00:00,6.13,253.6
2019-01-01 06:00:00,6.32,255.2
2019-01-01 07:00:00,6.41,258.5
2019-01-01 08:00:00,6.56,261.8
2019-01-01 09:00:00,6.71,265.2
2019-01-01 10:00:00,6.98,267.8
2019-01-01 11:00:00,7.29,270.1
2019-01-01 12:00:00,7.54,272.8
2019-01-01 13:00:00,7.83,275.1
2019-01-01 14:00:00,8.03,276.4
2019-01-01 15:00:00,8.14,279.1
2019-01-01 16:00:00,8.31,280.1
2019-01-01 17:00:00,8.43,282.1
2019-01-01 18:00:00,8.61,286.1
2019-01-01 19:00:00,8.65,288.2
2019-01-01 20:00:00,8.61,291.8
2019-01-01 21:00:00,8.53,293.9
2019-01-01 22:00:00,8.37,296.3
2019-01-01 23:00:00,8.25,299.3
2019-01-02 00:00:00,8.08,302.5
2019-01-02 01:00:00,7.85,304.9
2019-01-02 02:00:00,7.59,307.0
2019-01-02 03:00:00,7.45,309.5
2019-01-02 04:00:00,7.42,311.2
2019-01-02 05:00:00,7.31,312.7
2019-01-02 06:00:00,7.08,313.4
2019-01-02 07:00:00,6.97,313.8
2019-01-02 08:00:00,6.79,314.1
2019-01-02 09:00:00,6.8,316.0
2019-01-02 10:00:00,6.88,319.1
2019-01-02 11:00:00,7.06,323.6
2019-01-02 12:00:00,7.21,327.9
2019-01-02 13:00:00,7.18,332.6
2019-01-02 14:00:00,6.87,334.8
2019-01-02 15:00:00,6.42,335.4
2019-01-02 16:00:00,5.71,333.4
2019-01-02 17:00:00,5.13,330.9
2019-01-02 18:00:00,4.76,328.4
2019-01-02 19:00:00,4.43,325.8
2019-01-02 20:00:00,4.21,322.8
2019-01-02 21:00:00,3.95,319.8
2019-01-02 22:00:00,3.75,315.3
2019-01-02 23:00:00,3.55,310.1
2019-01-03 00:00:00,3.42,305.3
