datetime,wind_speed_synop,wind_direction_synop
2019-01-01 00:00:00,4.68,249.8
2019-01-01 01:00:00,4.89,250.0
2019-01-01 02:00:00,5.26,247.6
2019-01-01 03:00:00,5.71,248.5
2019-01-01 04:00:00,6.09,252.4
2019-01-01 05:00:00,6.28,253.7
2019-01-01 06:00:00,6.38,256.0
2019-01-01 07:00:00,6.52,259.6
2019-01-01 08:00:00,6.64,262.8
2019-01-01 09:00:00,6.83,266.2
2019-01-01 10:00:00,7.16,268.7
2019-01-01 11:00:00,7.38,271.4
2019-01-01 12:00:00,7.67,274.0
2019-01-01 13:00:00,7.94,276.3
2019-01-01 14:00:00,8.08,277.3
2019-01-01 15:00:00,8.2,278.4
2019-01-01 16:00:00,8.39,280.6
2019-01-01 17:00:00,8.49,283.3
2019-01-01 18:00:00,8.66,286.7
2019-01-01 19:00:00,8.67,290.0
2019-01-01 20:00:00,8.55,292.1
2019-01-01 21:00:00,8.42,294.5
2019-01-01 22:00:00,8.34,297.4
2019-01-01 23:00:00,8.15,300.4
2019-01-02 00:00:00,7.99,303.4
2019-01-02 01:00:00,7.67,305.7
2019-01-02 02:00:00,7.44,308.1
2019-01-02 03:00:00,7.36,310.2
2019-01-02 04:00:00,7.3,310.8
2019-01-02 05:00:00,7.2,312.8
2019-01-02 06:00:00,6.98,311.7
2019-01-02 07:00:00,6.79,312.7
2019-01-02 08:00:00,6.72,314.4
2019-01-02 09:00:00,6.77,317.1
2019-01-02 10:00:00,6.92,321.5
2019-01-02 11:00:00,7.14,324.6
2019-01-02 12:00:00,7.1,329.8
2019-01-02 13:00:00,7.07,333.0
2019-01-02 14:00:00,6.7,334.8
2019-01-02 15:00:00,6.12,334.0
2019-01-02 16:00:00,5.35,331.7
2019-01-02 17:00:00,4.93,328.2
2019-01-02 18:00:00,4.63,326.3
2019-01-02 19:00:00,4.26,323.5
2019-01-02 20:00:00,4.05,320.4
2019-01-02 21:00:00,3.84,316.8
2019-01-02 22:00:00,3.6,312.5
2019-01-02 23:00:00,3.47,308.5
2019-01-03 00:00:00,3.34,302.6
2019-01-03 01:00:00,3.32,301.3
2019-01-03 02:00:00,3.28,297.7
2019-01-03 03:00:00,3.25,292.0
2019-01-03 04:00:00,3.26,292.6
2019-01-03 05:00:00,3.26,290.9
2019-01-03 06:00:00,3.33,291.0
2019-01-03 07:00:00,3.3,288.7
2019-01-03 08:00:00,3.28,290.3
2019-01-03 09:00:00,3.43,295.1
2019-01-03 10:00:00,3.57,295.3
2019-01-03 11:00:00,3.71,300.9
2019-01-03 12:00:00,3.87,306.2
2019-01-03 13:00:00,3.86,310.8
2019-01-03 14:00:00,3.67,311.2
2019-01-03 15:00:00,3.48,310.2
2019-01-03 16:00:00,3.25,308.3
2019-01-03 17:00:00,3.21,307.3
2019-01-03 18:00:00,3.26,307.6
2019-01-03 19:00:00,3.16,306.9
2019-01-03 20:00:00,3.02,308.1
2019-01-03 21:00:00,2.94,303.6
2019-01-03 22:00:00,2.93,299.4
2019-01-03 23:00:00,2.96,298.5
2019-01-04 00:00:00,2.93,291.9
2019-01-04 01:00:00,2.94,287.6
2019-01-04 02:00:00,2.92,281.4
2019-01-04 03:00:00,3.08,277.3
2019-01-04 04:00:00,3.25,278.1
2019-01-04 05:00:00,3.48,276.3
2019-01-04 06:00:00,3.77,277.4
2019-01-04 07:00:00,4.0,276.1
2019-01-04 08:00:00,4.19,272.6
2019-01-04 09:00:00,4.45,271.6
2019-01-04 10:00:00,4.64,271.9
2019-01-04 11:00:00,4.99,274.9
2019-01-04 12:00:00,5.25,276.5
2019-01-04 13:00:00,5.24,280.1
2019-01-04 14:00:00,5.25,280.3
2019-01-04 15:00:00,5.21,279.4
2019-01-04 16:00:00,5.22,278.7
2019-01-04 17:00:00,5.31,280.0
2019-01-04 18:00:00,5.35,282.9
2019-01-04 19:00:00,5.47,281.7
2019-01-04 20:00:00,5.61,280.2
2019-01-04 21:00:00,5.56,279.4
2019-01-04 22:00:00,5.75,277.7
2019-01-04 23:00:00,5.86,277.7
2019-01-05 00:00:00,5.96,274.9
2019-01-05 01:00:00,6.1,275.5
2019-01-05 02:00:00,6.19,276.1
2019-01-05 03:00:00,6.32,279.0
2019-01-05 04:00:00,6.35,281.7
2019-01-05 05:00:00,6.4,283.2
2019-01-05 06:00:00,6.35,287.2
2019-01-05 07:00:00,6.33,290.4
2019-01-05 08:00:00,6.2,292.4
2019-01-05 09:00:00,6.0,294.7
2019-01-05 10:00:00,5.95,296.0
2019-01-05 11:00:00,5.93,299.4
2019-01-05 12:00:00,5.87,301.9
2019-01-05 13:00:00,5.71,305.2
2019-01-05 14:00:00,5.52,307.9
2019-01-05 15:00:00,5.32,308.2
2019-01-05 16:00:00,5.07,307.5
2019-01-05 17:00:00,4.87,308.1
2019-01-05 18:00:00,4.81,308.6
2019-01-05 19:00:00,4.74,308.5
2019-01-05 20:00:00,4.6,308.8
2019-01-05 21:00:00,4.54,306.7
2019-01-05 22:00:00,4.47,307.1
2019-01-05 23:00:00,4.36,305.9
2019-01-06 00:00:00,4.28,305.6
2019-01-06 01:00:00,4.12,305.0
2019-01-06 02:00:00,4.06,307.4
