Bundesland,Code,Mean_Temp,Min_Temp,Max_Temp,Std_Temp,Temp_Range,Data_Points
Berlin,BE,11.715869763205829,-498.65,33.85,15.397999687309246,532.5,8784
Brandenburg,BB,10.580323315118397,-40.63,33.59,9.653596519029795,74.22,8784
Hamburg,HH,9.474295309653916,-661.0,28.13,27.49105099946142,689.13,8784
Rheinland-Pfalz,RP,8.960492941712202,-70.5,32.27,10.610362172068914,102.77000000000001,8784
Baden-Württemberg,BW,8.879568533697633,-33.48,31.5,8.902398345785318,64.97999999999999,8784
Niedersachsen,NI,8.818032786885247,-36.4,32.17,9.246075997351815,68.57,8784
Thüringen,TH,8.74897427140255,-63.24,32.08,10.31319492027229,95.32,8784
Sachsen,SN,8.562292805100181,-61.13,31.59,11.391573478144736,92.72,8784
Hessen,HE,8.561434426229509,-45.19,31.93,10.158553847524438,77.12,8784
Schleswig-Holstein,SH,8.4815220856102,-61.37,28.81,10.991385553573615,90.17999999999999,8784
Saarland,SL,7.841689435336976,-171.98,32.78,24.660015321030752,204.76,8784
Nordrhein-Westfalen,NW,7.666483378870674,-40.68,32.44,10.990124060058092,73.12,8784
Mecklenburg-Vorpommern,MV,7.577371357012751,-59.07,31.47,11.59427883078122,90.53999999999999,8784
Sachsen-Anhalt,ST,6.858787568306011,-38.28,32.47,12.772948017933754,70.75,8784
Bayern,BY,6.200255009107469,-29.86,30.75,9.72478045710791,60.61,8784
Bremen,HB,0.4633822859744992,-499.75,32.7,73.66734930849672,532.45,8784
