Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,5.399244444444445,4.589395701429236,-6.7,17.3,18000
April,BE,Bundesland,5.317268518518518,4.466470520318492,-5.5,14.7,2160
April,BW,Bundesland,4.080170250896057,3.8153498914158166,-7.4,16.3,44640
April,BY,Bundesland,3.969723805465296,3.934615318901915,-13.1,15.0,75092
April,HB,Bundesland,6.4376388888888885,4.008536753251705,-5.2,14.6,1440
April,HE,Bundesland,4.639595238095238,4.170111346102352,-8.1,15.8,25200
April,HH,Bundesland,6.023619846261355,3.826715966082747,-5.6,14.6,2862
April,MV,Bundesland,5.466570512820513,4.269582519535435,-6.7,17.9,18720
April,NI,Bundesland,5.964305648582273,4.150376346219553,-8.1,17.4,35832
April,NW,Bundesland,5.766013257575757,4.070586652951074,-8.2,15.4,31680
April,RP,Bundesland,4.688775221839146,4.026717736456061,-7.3,14.5,17693
April,SH,Bundesland,5.747587448559671,3.857914946511932,-6.8,14.4,19440
April,SL,Bundesland,4.943253968253968,4.005565948793885,-6.3,14.7,5040
April,SN,Bundesland,4.11266865079365,4.415252575072121,-9.6,14.4,20160
April,ST,Bundesland,5.036857638888889,4.464481916516588,-8.7,16.1,17280
April,TH,Bundesland,4.1847569444444455,4.153833093895858,-7.8,15.3,20160
August,BB,Bundesland,13.500887096774193,2.877594163057372,3.3,21.4,18600
August,BE,Bundesland,13.725,2.8569106728351503,7.3,20.5,2232
August,BW,Bundesland,14.69586801942421,2.845989764074125,-4.6,24.2,46128
August,BY,Bundesland,14.837649769585253,2.800923631745708,-9.9,24.2,78120
August,HB,Bundesland,13.640322580645163,3.0609632573179475,7.9,20.4,1488
August,HE,Bundesland,14.160399385560675,3.2507918891936227,2.7,24.0,26040
August,HH,Bundesland,14.37486541049798,2.55402695121005,8.1,20.7,2972
August,MV,Bundesland,13.632056451612904,2.6830046155313374,4.0,21.6,19344
August,NI,Bundesland,14.094552917983203,2.8053599762985177,4.4,23.8,37029
August,NW,Bundesland,14.679768450635386,2.909453737771622,4.1,24.1,32736
August,RP,Bundesland,14.203803265631223,3.239455395824675,3.5,22.6,20088
August,SH,Bundesland,13.792666898989395,2.550328515486265,4.5,21.9,20087
August,SL,Bundesland,14.696447772657448,3.210227806014007,4.8,23.0,5208
August,SN,Bundesland,13.757560483870968,2.9125340929308097,4.0,21.5,20832
August,ST,Bundesland,13.382448476702509,3.0844971419114224,1.0,20.7,17856
August,TH,Bundesland,13.538560867895544,3.145931214370454,3.2,22.3,20832
December,BB,Bundesland,1.9120483870967742,2.840497820827333,-7.8,10.2,18600
December,BE,Bundesland,2.3202508960573476,2.79414004362163,-4.0,9.9,2232
December,BW,Bundesland,-0.2488432046536224,3.2103485854306064,-11.7,10.1,45384
December,BY,Bundesland,-0.7732761025589003,3.0992482788683753,-13.1,9.7,78862
December,HB,Bundesland,3.697043010752689,2.706763427233148,-3.6,10.8,1488
December,HE,Bundesland,0.6975614439324117,3.0304066998303973,-10.5,10.0,26040
December,HH,Bundesland,4.311297071129707,2.8573196949025466,-3.5,10.7,2390
December,MV,Bundesland,3.2360680314309347,2.664060022962875,-3.5,10.5,19344
December,NI,Bundesland,3.045739135206321,2.9076001856551477,-8.8,11.2,36448
December,NW,Bundesland,2.390557047838322,3.122735213964473,-8.8,11.4,31272
December,RP,Bundesland,0.9053367849853139,3.034130488164587,-8.6,10.5,20087
December,SH,Bundesland,3.857767377016531,2.7913571010223226,-4.9,10.9,20084
December,SL,Bundesland,1.1945660522273425,3.142757783743782,-8.5,10.5,5208
December,SN,Bundesland,-0.20073444700460832,3.186492472745127,-12.6,8.9,20832
December,ST,Bundesland,1.2261648745519713,3.129700862135629,-10.9,10.3,17856
December,TH,Bundesland,0.09349558371735794,3.088922857089702,-11.7,9.6,20832
February,BB,Bundesland,4.056166666666667,3.231042125307324,-6.2,11.7,17400
February,BE,Bundesland,4.245785440613027,3.2708044016079674,-4.4,11.7,2088
February,BW,Bundesland,3.5211878939562475,2.9070321383440296,-11.4,12.0,43152
February,BY,Bundesland,3.0969524679061533,2.9407976035476038,-13.1,11.5,72288
February,HB,Bundesland,5.124712643678161,3.0515991358902967,-2.8,11.9,1392
February,HE,Bundesland,4.119515599343186,3.0806394788538407,-6.0,12.0,24360
February,HH,Bundesland,4.914606741573034,2.94960675104167,-3.3,12.1,2136
February,MV,Bundesland,3.549428018789721,3.0277887616231256,-5.2,11.7,18095
February,NI,Bundesland,4.7005999423132385,3.202479225074167,-6.3,12.2,34670
February,NW,Bundesland,4.960323939522581,3.1660285805686588,-8.3,12.6,30623
February,RP,Bundesland,4.519236556143773,2.794014480278586,-4.8,12.0,17945
February,SH,Bundesland,4.18440983519121,2.8895629394336972,-4.8,12.1,18749
February,SL,Bundesland,4.941605090311987,2.6541413992229455,-3.4,11.4,4872
February,SN,Bundesland,3.24167906809668,2.946088588084866,-6.2,11.4,19487
February,ST,Bundesland,3.674676724137931,3.346678820914019,-10.8,11.8,16704
February,TH,Bundesland,3.364655172413793,3.0862582053685466,-6.8,11.1,19488
January,BB,Bundesland,-0.1025483870967742,4.3927405618675115,-10.8,10.0,18600
January,BE,Bundesland,0.20824372759856635,4.27667353123768,-10.4,8.9,2232
January,BW,Bundesland,-1.0757717655220258,5.321974439935135,-11.7,11.9,46128
January,BY,Bundesland,-2.013149249870667,5.058839836277887,-13.1,10.3,77320
January,HB,Bundesland,0.8478494623655913,4.085807370444549,-7.9,11.0,1488
January,HE,Bundesland,-0.12977675134719013,4.9132113000641064,-10.6,10.9,25980
January,HH,Bundesland,1.440800719748088,3.93142554670776,-6.8,10.9,2223
January,MV,Bundesland,-0.42990591397849465,3.872297105000841,-9.5,10.2,19344
January,NI,Bundesland,0.9229015015176342,4.255447132071978,-9.0,11.8,37229
January,NW,Bundesland,1.4442492744768596,4.759423304243423,-9.0,11.7,32735
January,RP,Bundesland,0.5809346567411083,5.08531518979999,-9.3,10.3,19344
January,SH,Bundesland,0.4482179557872575,3.8471583133326877,-8.3,10.7,19949
January,SL,Bundesland,0.7781682027649769,5.3259539994587595,-8.9,10.9,5208
January,SN,Bundesland,-1.8540706605222734,4.901278465279233,-12.6,8.6,20832
January,ST,Bundesland,-0.2752632168458781,4.577029957855808,-10.9,9.5,17856
January,TH,Bundesland,-0.9557219662058372,4.7983235092009,-11.7,9.1,20832
July,BB,Bundesland,13.294166666666667,2.995774548888451,2.3,22.2,18600
July,BE,Bundesland,13.324148745519713,3.197814722140531,2.5,20.9,2232
July,BW,Bundesland,13.999473204994796,2.803342719116872,-3.8,23.6,46128
July,BY,Bundesland,13.92479224555735,2.9758081705280968,-12.7,22.9,77375
July,HB,Bundesland,13.460551075268818,2.4157511523762785,6.2,20.3,1488
July,HE,Bundesland,13.079550691244238,3.0874291285342297,0.4,22.5,26040
July,HH,Bundesland,13.546299544019643,2.4684499334097643,6.3,20.9,2851
July,MV,Bundesland,13.351087126544659,2.651010594361283,5.3,21.4,19179
