Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,0.0,0.0,0.0,0.0,17280
April,BE,Bundesland,0.0,0.0,0.0,0.0,2160
April,BW,Bundesland,0.0,0.0,0.0,0.0,43920
April,BY,Bundesland,0.0,0.0,0.0,0.0,70772
April,HB,Bundesland,0.0,0.0,0.0,0.0,1440
April,HE,Bundesland,0.0,0.0,0.0,0.0,24480
April,HH,Bundesland,0.0,0.0,0.0,0.0,1440
April,MV,Bundesland,0.0,0.0,0.0,0.0,18000
April,NI,Bundesland,0.0,0.0,0.0,0.0,29358
April,NW,Bundesland,0.0,0.0,0.0,0.0,30968
April,RP,Bundesland,0.0,0.0,0.0,0.0,16251
April,SH,Bundesland,0.0,0.0,0.0,0.0,18000
April,SL,Bundesland,0.0,0.0,0.0,0.0,5040
April,SN,Bundesland,0.0,0.0,0.0,0.0,20880
April,ST,Bundesland,0.0,0.0,0.0,0.0,16560
April,TH,Bundesland,0.0,0.0,0.0,0.0,20160
August,BB,Bundesland,0.0,0.0,0.0,0.0,17856
August,BE,Bundesland,0.0,0.0,0.0,0.0,2232
August,BW,Bundesland,0.0,0.0,0.0,0.0,45384
August,BY,Bundesland,0.0,0.0,0.0,0.0,73656
August,HB,Bundesland,0.0,0.0,0.0,0.0,1488
August,HE,Bundesland,0.0,0.0,0.0,0.0,25296
August,HH,Bundesland,0.0,0.0,0.0,0.0,1488
August,MV,Bundesland,0.0,0.0,0.0,0.0,18600
August,NI,Bundesland,0.0,0.0,0.0,0.0,30504
August,NW,Bundesland,0.0,0.0,0.0,0.0,31992
August,RP,Bundesland,0.0,0.0,0.0,0.0,18600
August,SH,Bundesland,0.0,0.0,0.0,0.0,18600
August,SL,Bundesland,0.0,0.0,0.0,0.0,5208
August,SN,Bundesland,0.0,0.0,0.0,0.0,20832
August,ST,Bundesland,0.0,0.0,0.0,0.0,17112
August,TH,Bundesland,0.0,0.0,0.0,0.0,20832
December,BB,Bundesland,0.0,0.0,0.0,0.0,17856
December,BE,Bundesland,0.0,0.0,0.0,0.0,2232
December,BW,Bundesland,0.0,0.0,0.0,0.0,44640
December,BY,Bundesland,0.0,0.0,0.0,0.0,74400
December,HB,Bundesland,0.0,0.0,0.0,0.0,1488
December,HE,Bundesland,0.0,0.0,0.0,0.0,25296
December,HH,Bundesland,0.0,0.0,0.0,0.0,1488
December,MV,Bundesland,0.0,0.0,0.0,0.0,18600
December,NI,Bundesland,0.0,0.0,0.0,0.0,30504
December,NW,Bundesland,0.0,0.0,0.0,0.0,30528
December,RP,Bundesland,0.0,0.0,0.0,0.0,18600
December,SH,Bundesland,0.0,0.0,0.0,0.0,18600
December,SL,Bundesland,0.0,0.0,0.0,0.0,5208
December,SN,Bundesland,0.0,0.0,0.0,0.0,20832
December,ST,Bundesland,0.0,0.0,0.0,0.0,17112
December,TH,Bundesland,0.0,0.0,0.0,0.0,20832
February,BB,Bundesland,0.0,0.0,0.0,0.0,16704
February,BE,Bundesland,0.0,0.0,0.0,0.0,2088
February,BW,Bundesland,0.0,0.0,0.0,0.0,42456
February,BY,Bundesland,0.0,0.0,0.0,0.0,68111
February,HB,Bundesland,0.0,0.0,0.0,0.0,1392
February,HE,Bundesland,0.0,0.0,0.0,0.0,23664
February,HH,Bundesland,0.0,0.0,0.0,0.0,1392
February,MV,Bundesland,0.0,0.0,0.0,0.0,17399
February,NI,Bundesland,0.0,0.0,0.0,0.0,28409
February,NW,Bundesland,0.0,0.0,0.0,0.0,29929
February,RP,Bundesland,0.0,0.0,0.0,0.0,16553
February,SH,Bundesland,0.0,0.0,0.0,0.0,17400
February,SL,Bundesland,0.0,0.0,0.0,0.0,4872
February,SN,Bundesland,0.0,0.0,0.0,0.0,20183
February,ST,Bundesland,0.0,0.0,0.0,0.0,16008
February,TH,Bundesland,0.0,0.0,0.0,0.0,19488
