Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,1013.276517094017,8.84266978327006,991.1,1033.5,9360
April,BE,Bundesland,1013.2625694444445,8.861481815553033,991.4,1032.4,1440
April,BW,Bundesland,1016.1632916666667,6.872111321862507,993.2,1037.0,14400
April,BY,Bundesland,1015.8372115173272,7.124812520895883,992.7,1036.6,27298
April,Germany,Germany,1014.0160849965218,8.309680041888802,990.5,1037.0,149512
April,HB,Bundesland,1012.2324305555555,9.135591057515475,993.6,1031.9,1440
April,HE,Bundesland,1014.7645023148149,7.535991373085777,991.9,1034.8,8640
April,HH,Bundesland,1011.595751633987,9.249433408297518,992.5,1030.8,2142
April,MV,Bundesland,1012.4219531250001,8.973658232052877,991.3,1031.5,11520
April,NI,Bundesland,1012.6148492286115,9.07402661562972,992.0,1033.9,17112
April,NW,Bundesland,1013.9622135416666,8.490554551149652,993.2,1033.8,11520
April,RP,Bundesland,1015.1035956790123,8.391651734507223,993.2,1035.2,6480
April,SH,Bundesland,1011.6017978395063,9.086254916398032,992.2,1030.7,12960
April,SL,Bundesland,1015.7885648148149,8.096438399236357,993.6,1034.9,2160
April,SN,Bundesland,1014.5008974358975,7.529840997337897,990.7,1035.3,9360
April,ST,Bundesland,1013.5802222222221,8.441836031864957,991.2,1033.9,7200
April,TH,Bundesland,1014.5208024691358,7.590878595362896,990.6,1035.1,6480
August,BB,Bundesland,1015.0761993382961,4.461543545496637,1005.0,1026.9,9672
August,BE,Bundesland,1015.1378360215054,4.451378199642633,1006.6,1026.3,1488
August,BW,Bundesland,1015.6560282258064,3.2810623181151057,1005.6,1024.8,14880
August,BY,Bundesland,1015.540573712507,3.5132569435796444,1005.2,1025.4,28272
August,Germany,Germany,1015.0563419834624,4.1780443025755725,996.4,1028.4,153832
August,HB,Bundesland,1014.125806451613,4.339461647743658,1001.8,1027.3,1488
August,HE,Bundesland,1015.4452284946236,3.6797240792198274,1004.8,1025.2,8928
