Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,10.944194444444443,6.0839846000004645,-1.86,27.46,720
April,BE,Bundesland,11.655555555555555,6.025720575424854,-1.55,28.1,720
April,BW,Bundesland,8.650333333333332,6.626451977765329,-11.7,25.53,720
April,BY,Bundesland,5.098249999999999,7.9296180759428685,-18.05,25.17,720
April,Germany,Germany,7.144527777777778,4.861147754980327,-4.17,23.65,720
April,HB,Bundesland,10.528958333333332,4.484304837216982,0.45,23.85,720
April,HE,Bundesland,9.098375,5.81794337276196,-11.8,25.16,720
April,HH,Bundesland,9.961722222222223,3.98459324526891,-1.05,19.7,720
April,MV,Bundesland,9.333,4.438281552949803,-0.74,21.22,720
April,NI,Bundesland,10.228097222222223,5.2603937373052645,-9.86,23.43,720
April,NW,Bundesland,10.129597222222223,4.963257682154309,-1.41,24.38,720
April,RP,Bundesland,9.846458333333333,5.519316574565927,-1.07,24.21,720
April,SH,Bundesland,8.961125,3.9005088268245593,0.05,19.1,720
April,SL,Bundesland,10.193152777777778,5.484381305821267,-1.28,24.92,720
April,SN,Bundesland,9.328402777777777,6.28679153408463,-13.97,25.42,720
April,ST,Bundesland,9.947625,5.435145971985224,-2.98,25.19,720
April,TH,Bundesland,9.918861111111111,6.144778787771071,-3.77,25.04,720
August,BB,Bundesland,20.551626344086017,4.7848929399730125,9.82,33.59,744
August,BE,Bundesland,21.30329301075269,4.365774361639394,11.4,33.8,744
August,BW,Bundesland,16.129287634408602,8.643205090871191,-11.81,31.07,744
August,BY,Bundesland,16.453978494623655,6.482728064196031,-2.19,30.01,744
August,Germany,Germany,15.60834677419355,4.9788053703599395,-0.14,26.16,744
August,HB,Bundesland,17.508467741935483,4.2876393837199185,10.95,30.1,744
August,HE,Bundesland,14.823911290322583,10.930900125240127,-11.81,30.77,744
August,HH,Bundesland,18.97424059139785,2.862552213711325,11.085,28.13,744
August,MV,Bundesland,17.40994623655914,5.432759808396906,-12.17,31.35,744
August,NI,Bundesland,17.216357526881723,7.297704042500062,-10.39,31.1,744
August,NW,Bundesland,17.131249999999998,8.06109592300027,-12.04,31.1,744
August,RP,Bundesland,18.603884408602152,4.8969652032625115,9.07,30.27,744
August,SH,Bundesland,17.81228494623656,3.740841290497137,9.64,28.02,744
August,SL,Bundesland,19.77244623655914,4.620097029833173,8.27,30.58,744
August,SN,Bundesland,19.61763440860215,5.49198018459585,-10.43,31.59,744
August,ST,Bundesland,19.369852150537636,5.374492305515111,9.04,32.25,744
August,TH,Bundesland,16.533158602150536,8.51440066460163,-13.09,32.08,744
December,BB,Bundesland,3.7079301075268813,3.1336830296372233,-3.46,12.7,744
December,BE,Bundesland,4.061290322580645,3.1801252676196246,-3.45,13.4,744
December,BW,Bundesland,2.7054973118279575,4.69125557723892,-12.66,11.07,744
December,BY,Bundesland,-0.4167741935483871,4.2600086974529585,-16.29,9.16,744
December,Germany,Germany,1.2511827956989245,3.2738828982848607,-6.05,10.0,744
December,HB,Bundesland,5.230510752688172,2.6528705106070336,-0.65,12.0,744
December,HE,Bundesland,2.5336290322580646,2.999521317039891,-3.51,10.89,744
December,HH,Bundesland,6.048481182795698,2.3594363487702874,-1.9,11.2,744
December,MV,Bundesland,4.679166666666667,2.5590726584531964,-1.0,12.27,744
December,NI,Bundesland,6.098346774193549,3.157266068339564,-0.46,12.09,744
December,NW,Bundesland,4.511881720430107,3.1656577810195263,-1.92,12.38,744
December,RP,Bundesland,2.6496370967741933,3.129754053180522,-3.11,11.19,744
December,SH,Bundesland,5.3257661290322575,2.3967724942881237,0.14,10.93,744
December,SL,Bundesland,2.993131720430108,3.226141623574288,-3.8,11.2,744
December,SN,Bundesland,2.212715053763441,2.8704251718193237,-2.52,10.63,744
December,ST,Bundesland,3.300470430107527,2.962302843465829,-2.45,11.99,744
December,TH,Bundesland,2.0219086021505372,2.951554439055667,-3.43,10.84,744
February,BB,Bundesland,6.565402298850575,3.201596563801758,-1.84,14.75,696
February,BE,Bundesland,7.096264367816092,3.2772093513974347,-1.55,15.8,696
February,BW,Bundesland,6.640258620689656,2.910004364368721,-9.06,14.89,696
February,BY,Bundesland,2.835574712643678,6.249336513860871,-18.0,14.04,696
