Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,100.0,0.0,100.0,100.0,8640
April,BE,Bundesland,100.0,0.0,100.0,100.0,1436
April,BW,Bundesland,70.00972222222222,2.383454538649187,30.0,100.0,14400
April,BY,Bundesland,69.92544196771713,2.5535154428307454,0.0,100.0,26020
April,Germany,Germany,69.97677662368926,1.9120021621372103,0.0,100.0,141237
April,HB,Bundesland,74.54545454545453,1.421579161120475e-14,74.54545454545455,74.54545454545455,1440
April,HE,Bundesland,70.04820693709583,2.377779978078764,30.0,100.0,8505
April,HH,Bundesland,100.0,0.0,100.0,100.0,2136
April,MV,Bundesland,90.00651890482399,0.4824906352080373,70.0,100.0,10738
April,NI,Bundesland,99.97416354476165,1.6072164912296523,0.0,100.0,15482
April,NW,Bundesland,80.01754693805931,0.6350646143104077,70.0,100.0,11398
April,RP,Bundesland,90.00188821752266,0.1374124274823282,90.0,100.0,5296
April,SH,Bundesland,90.00177493787717,0.13322088210825794,90.0,100.0,11268
April,SL,Bundesland,90.0,0.0,90.0,90.0,2160
April,SN,Bundesland,79.99145299145299,0.852349865192259,50.0,100.0,9360
April,ST,Bundesland,50.19135802469136,3.751065415341997,20.0,100.0,6480
April,TH,Bundesland,80.02161160852116,1.1654126153281015,50.0,100.0,6478
August,BB,Bundesland,100.0,0.0,100.0,100.0,8928
August,BE,Bundesland,100.0,0.0,100.0,100.0,1488
August,BW,Bundesland,69.96880086814976,1.6386113121926846,20.0,100.0,14744
August,BY,Bundesland,69.72916744065088,3.8032181596419137,0.0,100.0,26917
August,Germany,Germany,69.9407897001618,2.0343278139959122,0.0,100.0,145245
August,HB,Bundesland,74.52731304172546,0.6673016223331818,50.0,74.54545454545455,1353
August,HE,Bundesland,70.0536897418323,1.7587491082685953,0.0,100.0,8754
August,HH,Bundesland,100.0,0.0,100.0,100.0,2200
August,MV,Bundesland,89.98354210478193,1.2169942999392234,0.0,90.0,10937
August,NI,Bundesland,99.97107645875252,1.61320977424027,0.0,100.0,15904
August,NW,Bundesland,79.98551712387119,0.9897462679719888,40.0,100.0,11738
August,RP,Bundesland,90.0,0.33149677206589795,70.0,100.0,5461
August,SH,Bundesland,90.0,0.13126683246115634,80.0,100.0,11608
August,SL,Bundesland,89.99550157444894,0.47434402843374274,80.0,100.0,2223
August,SN,Bundesland,79.98763628189278,1.0113252572578462,40.0,100.0,8897
August,ST,Bundesland,50.00405569825605,2.1218900294453373,20.0,100.0,7397
August,TH,Bundesland,80.00149342891278,0.5861209128903262,50.0,100.0,6696
December,BB,Bundesland,100.0,0.0,100.0,100.0,8926
December,BE,Bundesland,100.0,0.0,100.0,100.0,1468
December,BW,Bundesland,69.95251983992404,3.9872164118543205,0.0,100.0,14743
December,BY,Bundesland,70.15950226244344,3.0778901783760624,0.0,100.0,26520
December,Germany,Germany,70.04615480141017,3.1144989412434314,0.0,100.0,144947
December,HB,Bundesland,74.56256109481915,0.659878351192089,74.54545454545455,100.0,1488
December,HE,Bundesland,70.00672193591754,5.552899126048686,30.0,100.0,8926
December,HH,Bundesland,100.0,0.0,100.0,100.0,1627
December,MV,Bundesland,90.00716974368166,0.2676797586925828,90.0,100.0,11158
December,NI,Bundesland,99.9853278897678,1.1379106014180373,0.0,100.0,15676
December,NW,Bundesland,80.05119890775663,1.6413666167727172,40.0,100.0,11719
December,RP,Bundesland,89.94927672365208,2.0917648121136683,50.0,100.0,5323
December,SH,Bundesland,90.0,0.0,90.0,90.0,12082
December,SL,Bundesland,90.03592276605299,1.160352476639327,70.0,100.0,2227
December,SN,Bundesland,79.82974910394265,2.939615172574644,30.0,100.0,8928
December,ST,Bundesland,50.18413978494624,4.681662443361648,20.0,100.0,7440
December,TH,Bundesland,80.14038231780167,2.0908435330748234,50.0,100.0,6696
February,BB,Bundesland,99.98323554065381,1.1265788907523553,0.0,100.0,8351
February,BE,Bundesland,100.0,0.0,100.0,100.0,1392
February,BW,Bundesland,69.9899389148401,3.2789723365307912,0.0,100.0,13915
February,BY,Bundesland,69.89206499822085,3.289051669204336,0.0,100.0,25293
February,Germany,Germany,69.97451184320389,2.793836385848431,0.0,100.0,136534
February,HB,Bundesland,74.54545454545455,0.0,74.54545454545455,74.54545454545455,1371
February,HE,Bundesland,70.09349154980222,4.5477181290346165,0.0,100.0,8343
February,HH,Bundesland,100.0,0.0,100.0,100.0,1440
February,MV,Bundesland,90.0,0.1384356558708946,80.0,100.0,10437
February,NI,Bundesland,99.98876775685497,0.6027387012867998,60.0,100.0,15135
February,NW,Bundesland,80.03099927060539,0.9733131055243446,60.0,100.0,10968
February,RP,Bundesland,89.98434748581491,0.9277993868945783,60.0,100.0,5111
February,SH,Bundesland,89.9991009619707,0.16423385023606285,80.0,100.0,11123
February,SL,Bundesland,89.88942307692308,1.7647294379790885,60.0,100.0,2080
February,SN,Bundesland,79.8927821377252,3.0070298406735216,30.0,100.0,9047
February,ST,Bundesland,50.30172413793103,5.269819252231634,20.0,100.0,6264
February,TH,Bundesland,80.08141762452107,1.8851960313346292,50.0,100.0,6264
January,BB,Bundesland,99.97535290163567,1.5042266367160724,0.0,100.0,8926
January,BE,Bundesland,100.0,0.0,100.0,100.0,1428
January,BW,Bundesland,70.00537706681006,3.5129999868133535,0.0,100.0,14878
January,BY,Bundesland,69.98433946083001,2.684002864463214,0.0,100.0,26819
January,Germany,Germany,69.97923742214033,2.5993058118713956,0.0,100.0,145454
January,HB,Bundesland,74.54545454545453,1.421563227617584e-14,74.54545454545455,74.54545454545455,1488
January,HE,Bundesland,69.99549650979509,4.153346766898533,0.0,100.0,8882
January,HH,Bundesland,100.0,0.0,100.0,100.0,1477
January,MV,Bundesland,89.99283089882606,0.8572323645037272,0.0,100.0,11159
January,NI,Bundesland,99.96032484036948,1.9378855398717243,0.0,100.0,16131
January,NW,Bundesland,80.00171939477303,1.291492689505193,40.0,100.0,11632
January,RP,Bundesland,90.01833180568286,0.6902015802536382,60.0,100.0,5455
January,SH,Bundesland,89.97097122003815,1.749249529268129,0.0,100.0,12057
January,SL,Bundesland,89.90888382687928,1.4763058378226919,60.0,100.0,2195
January,SN,Bundesland,79.99475616151022,1.5498072248648502,40.0,100.0,9535
January,ST,Bundesland,50.45997610513739,5.495374843862759,20.0,100.0,6696
January,TH,Bundesland,80.05675029868578,1.3597453352095963,50.0,100.0,6696
July,BB,Bundesland,100.0,0.0,100.0,100.0,8881
July,BE,Bundesland,100.0,0.0,100.0,100.0,1488
July,BW,Bundesland,69.97710437710438,1.653380358463394,20.0,100.0,14850
July,BY,Bundesland,69.66190582459272,4.154478119906715,0.0,100.0,26886
July,Germany,Germany,69.92367723232073,2.2271823258478056,0.0,100.0,145566
July,HB,Bundesland,74.54545454545453,1.4215638709518703e-14,74.54545454545455,74.54545454545455,1486
July,HE,Bundesland,70.03051881993896,2.277686191789322,0.0,100.0,8847
July,HH,Bundesland,100.0,0.0,100.0,100.0,2098
July,MV,Bundesland,89.99721655223604,0.2889696055278286,60.0,90.0,10778
July,NI,Bundesland,99.98755290017426,1.1156309930284487,0.0,100.0,16068
July,NW,Bundesland,80.000847888757,0.5896296714211393,60.0,100.0,11794
July,RP,Bundesland,89.99816883354697,0.30260822492189315,70.0,100.0,5461
July,SH,Bundesland,90.00085601780518,0.09252123027556147,90.0,100.0,11682
July,SL,Bundesland,90.0,0.0,90.0,90.0,2232
July,SN,Bundesland,80.01687478906514,1.0867765852598927,50.0,100.0,8889
July,ST,Bundesland,50.014792899408285,2.7809122852051122,20.0,100.0,7436
July,TH,Bundesland,79.98056801195814,1.2880462780757247,40.0,100.0,6690
June,BB,Bundesland,99.99768438115086,0.21520310635013756,80.0,100.0,8637
June,BE,Bundesland,100.0,0.0,100.0,100.0,1440
June,BW,Bundesland,69.94506640706487,2.751363329547898,20.0,100.0,14381
June,BY,Bundesland,69.72950094270654,3.7884978970919443,10.0,100.0,25989
June,Germany,Germany,69.93242042878563,2.431034976615949,0.0,100.0,140723
June,HB,Bundesland,74.50757575757575,1.4373989364401722,20.0,74.54545454545455,1440
June,HE,Bundesland,70.08227114716107,2.7997977569940704,0.0,100.0,8630
June,HH,Bundesland,100.0,0.0,100.0,100.0,2155
June,MV,Bundesland,89.9971658006613,0.1683348976207148,80.0,90.0,10585
June,NI,Bundesland,99.95882390786849,1.9904166114882502,0.0,100.0,15543
June,NW,Bundesland,79.9834509189095,1.0265150133825232,40.0,100.0,11481
June,RP,Bundesland,89.99621068586586,0.6156207110752048,70.0,100.0,5278
June,SH,Bundesland,89.99735845733909,0.3112203640198407,60.0,100.0,11357
June,SL,Bundesland,90.00487092060399,0.2207016221959901,90.0,100.0,2053
June,SN,Bundesland,79.91301239275501,2.145813745533877,40.0,100.0,8392
June,ST,Bundesland,49.93205146739916,3.364068294938876,0.0,100.0,6917
June,TH,Bundesland,80.0,1.4203452076874203,30.0,100.0,6445
March,BB,Bundesland,99.9435092079991,2.0930812742917815,0.0,100.0,8851
March,BE,Bundesland,100.0,0.0,100.0,100.0,1486
March,BW,Bundesland,69.9932768589485,3.13311357997582,20.0,100.0,14874
March,BY,Bundesland,69.96613827491255,3.2167577545971486,0.0,100.0,26874
March,Germany,Germany,69.99409984975199,2.704594156654259,0.0,100.0,145759
March,HB,Bundesland,74.54545454545453,1.4215635490682986e-14,74.54545454545455,74.54545454545455,1487
March,HE,Bundesland,70.08305274971941,3.467834671833324,0.0,100.0,8910
March,HH,Bundesland,100.0,0.0,100.0,100.0,2178
March,MV,Bundesland,90.00273473108477,0.6113699167738476,60.0,100.0,10970
March,NI,Bundesland,99.94664155681104,2.1356861801443587,0.0,100.0,15930
March,NW,Bundesland,80.00253850059232,1.2307560346270674,50.0,100.0,11818
March,RP,Bundesland,90.04046349089572,1.0321450505843264,50.0,100.0,5437
March,SH,Bundesland,90.00342817963661,0.1851296337675929,90.0,100.0,11668
March,SL,Bundesland,89.9910394265233,0.5185145786129688,80.0,100.0,2232
March,SN,Bundesland,79.79900538748446,3.0266674800489763,30.0,100.0,9652
March,ST,Bundesland,50.04480286738351,4.624617686231648,20.0,100.0,6696
March,TH,Bundesland,80.06272401433692,1.81988255224203,40.0,100.0,6696
May,BB,Bundesland,99.97534461503979,1.5119110077109277,0.0,100.0,8923
May,BE,Bundesland,100.0,0.0,100.0,100.0,1488
May,BW,Bundesland,69.92405403588951,2.7143202991082385,20.0,100.0,14879
May,BY,Bundesland,69.89202159568086,3.2671246977223842,10.0,100.0,26672
May,Germany,Germany,69.96980538953116,2.2547618246490977,0.0,100.0,145059
May,HB,Bundesland,74.55645161290322,0.6807351174704981,60.0,90.0,1488
May,HE,Bundesland,70.08198562443846,2.6055210239318214,30.0,100.0,8904
May,HH,Bundesland,100.0,0.0,100.0,100.0,2225
May,MV,Bundesland,89.9981829744708,0.13479096539163843,80.0,90.0,11007
May,NI,Bundesland,99.9195258889582,2.722375569507883,0.0,100.0,16030
May,NW,Bundesland,80.010213635203,1.0915987704758694,0.0,100.0,11749
May,RP,Bundesland,89.98320895522389,0.735434391601127,60.0,100.0,5360
May,SH,Bundesland,89.98529666147725,1.1945693667651807,0.0,100.0,11562
May,SL,Bundesland,89.99551368326604,0.36691930197507505,80.0,100.0,2229
May,SN,Bundesland,79.91329781677635,2.125109991694419,30.0,100.0,9573
May,ST,Bundesland,49.99521836149187,2.7633090707879546,20.0,100.0,6274
May,TH,Bundesland,80.01493428912784,1.2933163380528432,50.0,100.0,6696
November,BB,Bundesland,99.99881432297842,0.10888879747610966,90.0,100.0,8434
November,BE,Bundesland,100.0,0.0,100.0,100.0,1416
November,BW,Bundesland,70.1639344262295,3.8901007236550353,0.0,100.0,14335
November,BY,Bundesland,70.16608996539793,3.559215985317389,0.0,100.0,26010
November,Germany,Germany,70.08044813007669,3.408239870033684,0.0,100.0,141209
November,HB,Bundesland,74.56313131313131,0.670786170338747,74.54545454545455,100.0,1440
November,HE,Bundesland,70.34375,4.7956150450328945,0.0,100.0,8640
November,HH,Bundesland,100.0,0.0,100.0,100.0,2151
November,MV,Bundesland,90.0,0.0,90.0,90.0,10795
November,NI,Bundesland,99.8867240598097,3.017961154973286,0.0,100.0,15449
November,NW,Bundesland,80.01496215455026,1.3819620994197308,30.0,100.0,11362
November,RP,Bundesland,89.00455062571103,8.489950002778807,0.0,100.0,5274
November,SH,Bundesland,90.0,0.0,90.0,90.0,11470
November,SL,Bundesland,90.00925925925925,1.581477843632446,60.0,100.0,2160
November,SN,Bundesland,79.82519101643899,3.239432967440603,30.0,100.0,8638
November,ST,Bundesland,50.34583333333333,5.5361128002233455,20.0,100.0,7200
November,TH,Bundesland,80.08236208236208,2.393401849171524,20.0,100.0,6435
October,BB,Bundesland,99.92569241161901,2.4139499292589566,0.0,100.0,8882
October,BE,Bundesland,100.0,0.0,100.0,100.0,1486
October,BW,Bundesland,70.13533530837597,4.238750284556472,0.0,100.0,14852
October,BY,Bundesland,70.16574999064616,4.463953122559643,0.0,100.0,26727
October,Germany,Germany,70.07109053710555,3.7570377183460293,0.0,100.0,145167
October,HB,Bundesland,74.55339687194525,0.782209504643689,60.0,100.0,1488
October,HE,Bundesland,70.18280297901151,4.963514996106934,0.0,100.0,8862
October,HH,Bundesland,100.0,0.0,100.0,100.0,2221
October,MV,Bundesland,89.93695175438596,2.0246244465907317,0.0,100.0,10944
October,NI,Bundesland,99.75385768726183,4.78208237471384,0.0,100.0,16007
October,NW,Bundesland,80.03540281495553,1.3235441001200958,60.0,100.0,11581
October,RP,Bundesland,89.85547017929015,4.089256256610781,0.0,100.0,5466
October,SH,Bundesland,89.96080139372822,1.7180460578574113,0.0,100.0,11480
October,SL,Bundesland,89.92269213278763,1.9416953726546053,20.0,100.0,2199
October,SN,Bundesland,79.87340354021958,3.206382745115352,40.0,100.0,8926
October,ST,Bundesland,50.120514556533514,5.059140249115733,20.0,100.0,7385
October,TH,Bundesland,79.86338387629485,3.1138477719794375,10.0,100.0,6661
September,BB,Bundesland,100.0,0.0,100.0,100.0,8640
September,BE,Bundesland,100.0,0.0,100.0,100.0,1440
September,BW,Bundesland,69.86576714424815,3.178413341830148,20.0,100.0,14378
September,BY,Bundesland,69.91868677228479,3.1754503421328852,0.0,100.0,26195
September,Germany,Germany,69.97432943652758,2.334813133134413,0.0,100.0,140628
September,HB,Bundesland,74.54545454545453,1.4215911059327565e-14,74.54545454545455,74.54545454545455,1406
September,HE,Bundesland,70.104481077316,3.0458771458179634,0.0,100.0,8614
September,HH,Bundesland,100.0,0.0,100.0,100.0,2159
September,MV,Bundesland,89.97647501646749,0.8619199279395189,50.0,100.0,10627
September,NI,Bundesland,99.93937796520822,2.3350947294669417,0.0,100.0,15176
September,NW,Bundesland,79.98508771929825,1.0043097284847304,50.0,100.0,11400
September,RP,Bundesland,89.98676248108926,1.1423277491720636,30.0,100.0,5288
September,SH,Bundesland,89.94399502177971,2.0411989907973482,0.0,100.0,11249
September,SL,Bundesland,90.0,0.0,90.0,90.0,2157
September,SN,Bundesland,80.02808331383103,1.4018820420290965,50.0,100.0,8546
September,ST,Bundesland,50.2412440052318,3.628847896630171,20.0,100.0,6881
September,TH,Bundesland,80.04789864029667,1.4001099048140266,50.0,100.0,6472
