Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,3.370269607843137,1.6826498908882754,0.1,8.2,12240
April,BE,Bundesland,3.5930167597765363,1.6118291237579254,0.4,8.2,716
April,BW,Bundesland,2.9534887798036467,1.6961718978329325,0.2,7.6,17112
April,BY,Bundesland,2.8083179613308737,1.6457915881758272,0.0,7.5,29274
April,Germany,Germany,3.500649520163095,1.913437611906547,0.0,9.0,160888
April,HB,Bundesland,4.742222222222223,2.224706942290372,0.5,11.0,1440
April,HE,Bundesland,3.491187874515333,1.811408521898541,0.3,8.7,8511
April,HH,Bundesland,6.571744240714622,3.219929402478552,0.3,16.4,2127
April,MV,Bundesland,3.8495253682487722,1.9982373615679494,0.2,10.0,12220
April,NI,Bundesland,3.6803237629810637,1.9025538569761598,0.0,9.2,16370
April,NW,Bundesland,3.7734119782214157,1.8573458419167663,0.3,8.9,12122
April,RP,Bundesland,3.8059567901234566,1.9397209526813157,0.2,9.2,6480
April,SH,Bundesland,4.36915748488112,2.4913950888908736,0.1,11.9,12071
April,SL,Bundesland,3.7546296296296298,1.8433579052097455,0.3,8.8,2160
April,SN,Bundesland,3.6412189812799305,1.9348885516400378,0.3,9.4,11485
April,ST,Bundesland,3.27883547008547,1.8001530638172496,0.3,9.0,9360
April,TH,Bundesland,3.8017499999999997,1.8438432728955256,0.3,9.1,7200
August,BB,Bundesland,2.6594685449015527,1.4758227872324874,0.1,8.2,12494
August,BE,Bundesland,3.1405913978494624,1.610210581091036,0.3,8.3,744
August,BW,Bundesland,2.198358899165351,1.3280984034894314,0.0,7.6,17732
August,BY,Bundesland,2.1067867522595893,1.3590978066850867,0.0,7.5,31311
August,Germany,Germany,2.686737082158075,1.671068996866758,0.0,9.0,166630
August,HB,Bundesland,3.960619469026549,2.117911154948518,0.3,11.0,1356
August,HE,Bundesland,2.754198123999085,1.6189135283696647,0.2,8.7,8742
August,HH,Bundesland,5.61585804132974,3.310650854991946,0.4,16.4,2226
August,MV,Bundesland,3.1806053169734154,1.8470316217032827,0.2,10.0,12225
August,NI,Bundesland,2.870651658767773,1.7914364830420508,0.0,9.2,16880
August,NW,Bundesland,2.774856824689787,1.633343750810449,0.2,8.9,12572
August,RP,Bundesland,2.951862464183381,1.662191329199761,0.0,9.2,6631
August,SH,Bundesland,3.6054392641928326,2.4155620222125713,0.1,11.9,12612
August,SL,Bundesland,2.7675930076199013,1.4868462085016856,0.2,8.8,2231
August,SN,Bundesland,2.6644854303520296,1.6091420972236974,0.2,9.4,11874
August,ST,Bundesland,2.6881135607321127,1.6605893790466584,0.1,9.0,9616
August,TH,Bundesland,2.8659127843987,1.632931377999207,0.2,9.1,7384
December,BB,Bundesland,3.642269346415572,1.8292126205125958,0.0,8.2,12638
December,BE,Bundesland,3.7036290322580645,1.7269770699944298,0.7,8.3,744
December,BW,Bundesland,2.844720426448905,1.6955684224990308,0.1,7.6,17634
December,BY,Bundesland,2.638447955097279,1.652241490444313,0.0,7.5,31713
December,Germany,Germany,3.620877569732651,2.036446917363589,0.0,9.0,165776
December,HB,Bundesland,5.397177419354839,2.4575300673065485,0.5,11.1,1488
December,HE,Bundesland,3.5883524645509794,1.9327018558774112,0.2,8.7,8886
December,HH,Bundesland,7.326174496644295,3.9851469589653337,0.4,16.4,1639
December,MV,Bundesland,4.397161157678317,2.2115089181779837,0.3,10.0,12646
December,NI,Bundesland,4.1118176443539385,2.0346302870686857,0.1,9.2,15223
December,NW,Bundesland,3.9513037964650866,1.9584674024924609,0.1,8.9,12617
December,RP,Bundesland,3.8713341346153842,2.028779803488298,0.0,9.2,6656
December,SH,Bundesland,4.888243200506009,2.713366254213071,0.2,11.9,12648
December,SL,Bundesland,4.033213644524237,1.935514304274173,0.3,8.8,2228
December,SN,Bundesland,3.9088709677419353,2.1029442366330535,0.2,9.4,11904
December,ST,Bundesland,3.501240694789082,1.9440399150640055,0.3,9.0,9672
December,TH,Bundesland,4.1957526881720435,2.0306770096403026,0.3,9.1,7440
February,BB,Bundesland,3.9057724814063564,1.7442278531716824,0.1,8.2,11832
February,BE,Bundesland,4.132471264367815,1.8143655963335192,0.4,8.3,696
February,BW,Bundesland,3.1318857074397988,1.7412401915807714,0.2,7.6,16694
February,BY,Bundesland,2.950876454915159,1.7324216752688257,0.0,7.5,28524
February,Germany,Germany,3.8832170617331543,2.0274570018243705,0.0,9.0,155670
February,HB,Bundesland,5.382773722627737,2.3648530439633544,0.5,11.1,1370
February,HE,Bundesland,3.9049005511622332,1.97444638674923,0.3,8.7,8346
February,HH,Bundesland,7.0541899441340785,3.4388310444126517,0.4,16.4,1432
February,MV,Bundesland,4.589643709512445,2.180841083101243,0.3,10.0,11732
February,NI,Bundesland,4.162435945506811,1.9948435221554073,0.0,9.2,16002
February,NW,Bundesland,4.1687132258889745,1.9435446376052712,0.2,8.9,11727
February,RP,Bundesland,4.37587803320562,2.0279818514277093,0.3,9.2,6264
February,SH,Bundesland,5.15486516189027,2.680645136053227,0.2,11.9,11829
February,SL,Bundesland,4.545965417867435,2.011806944965324,0.4,8.8,2082
February,SN,Bundesland,4.0960578304597695,2.0944148565331853,0.2,9.4,11136
February,ST,Bundesland,3.7488168951791248,1.9203686354980454,0.2,9.0,9044
February,TH,Bundesland,4.289669540229886,2.025258920357611,0.3,9.1,6960
January,BB,Bundesland,3.9908096973538267,1.8227283060096926,0.1,8.2,12622
January,BE,Bundesland,4.100672043010753,1.6382333260733841,0.6,8.2,744
January,BW,Bundesland,2.9554116195603406,1.8502682694342272,0.1,7.6,17832
January,BY,Bundesland,2.8439108175061936,1.7711640327082376,0.0,7.5,30275
