Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,3.3279552469135805,1.6647584732601526,0.0,8.2,12960
April,BE,Bundesland,3.5138425925925922,1.1779226080013512,0.1,7.7,2160
April,BW,Bundesland,2.9010919540229883,1.6515017339015294,0.0,7.9,20880
April,BY,Bundesland,2.69391875675027,1.5979102766324051,0.0,7.5,33332
April,Germany,Germany,3.466921086130896,1.8828079699658258,0.0,9.3,190106
April,HB,Bundesland,4.744305555555556,2.283139595182026,0.5,11.2,1440
April,HE,Bundesland,3.3066280864197526,1.5949400236666578,0.0,8.7,12960
April,HH,Bundesland,6.561531279178338,3.2775808580260506,0.0,16.7,2142
April,MV,Bundesland,3.811736111111111,1.9558417112805546,0.0,10.2,14400
April,NI,Bundesland,3.6605592236894764,1.885868492865165,0.0,9.5,19992
April,NW,Bundesland,3.6682383040935673,1.8424633946725473,0.0,8.9,13680
April,RP,Bundesland,3.7490972222222223,1.9134768937782498,0.0,9.5,7200
April,SH,Bundesland,4.406382275132275,2.4293745789116854,0.0,12.1,15120
April,SL,Bundesland,3.7350000000000003,1.9096151238560723,0.2,9.1,2160
April,SN,Bundesland,3.5661188271604938,1.8880193544763362,0.1,9.6,12960
April,ST,Bundesland,3.2495734126984126,1.8166813699949627,0.2,9.2,10080
April,TH,Bundesland,3.6870023148148148,1.7579666813223802,0.1,9.2,8640
August,BB,Bundesland,2.6781735364396653,1.4603051854876952,0.0,8.2,13392
August,BE,Bundesland,3.1882168458781357,1.156712156704411,0.2,7.7,2232
August,BW,Bundesland,2.2527206154987023,1.2973094592787773,0.0,7.9,21576
August,BY,Bundesland,2.090128117135667,1.3343418674952383,0.0,7.5,34968
August,Germany,Germany,2.7441014929600263,1.6318977987430727,0.0,9.3,197728
August,HB,Bundesland,3.9864919354838713,2.0882285262578626,0.3,11.3,1488
August,HE,Bundesland,2.7782108721624845,1.3969579250786592,0.0,8.7,13392
August,HH,Bundesland,5.617908438061041,3.361601726370352,0.1,16.7,2228
August,MV,Bundesland,3.22619623655914,1.7796530687646968,0.0,10.2,14880
August,NI,Bundesland,2.913314941193553,1.7218810919050418,0.0,9.5,20661
August,NW,Bundesland,2.7723967176004525,1.620314293015564,0.0,8.9,14136
August,RP,Bundesland,3.005571847507331,1.5421887284070863,0.0,9.4,8184
August,SH,Bundesland,3.7218075913716957,2.3374566864337316,0.0,12.1,15623
August,SL,Bundesland,2.756182795698925,1.558173412213071,0.0,9.1,2232
August,SN,Bundesland,2.6920325567502985,1.5697103970559152,0.0,9.6,13392
August,ST,Bundesland,2.693548387096774,1.6490095501707343,0.1,9.2,10416
August,TH,Bundesland,2.9174507168458783,1.5411535157482943,0.2,9.2,8928
December,BB,Bundesland,3.6012619474313023,1.798808687182726,0.0,8.2,13392
December,BE,Bundesland,3.5958781362007164,1.348545721143305,0.3,7.7,2232
December,BW,Bundesland,2.822682610307749,1.6458609785235316,0.0,7.9,21576
December,BY,Bundesland,2.5630898587198994,1.6143277740049415,0.0,7.5,34966
December,Germany,Germany,3.583310354651785,1.9865642163032564,0.0,9.3,196559
December,HB,Bundesland,5.42016129032258,2.5239478636892643,0.3,11.3,1488
December,HE,Bundesland,3.3679062126642774,1.67545561756004,0.0,8.7,13392
December,HH,Bundesland,7.358444714459297,4.061094048953958,0.2,16.7,1646
December,MV,Bundesland,4.318622311827958,2.171963756157361,0.0,10.2,14880
December,NI,Bundesland,3.990672310756972,1.9509427834001283,0.0,9.5,20080
December,NW,Bundesland,3.8782611771363893,1.9262946878919955,0.0,8.9,14136
December,RP,Bundesland,3.74764756201882,1.9181042612240973,0.0,9.5,8183
December,SH,Bundesland,4.890012804097311,2.654648872736452,0.0,12.1,15620
December,SL,Bundesland,4.048387096774194,1.9833251753129655,0.0,9.1,2232
December,SN,Bundesland,3.8188993428912785,2.062968972374724,0.0,9.6,13392
December,ST,Bundesland,3.4432699692780337,1.9221734234174617,0.1,9.2,10416
December,TH,Bundesland,4.020194892473119,1.9238641773818141,0.2,9.2,8928
February,BB,Bundesland,3.842289272030651,1.7176908377167484,0.0,8.2,12528
