model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,param_subsample,info_mae,info_rmse,info_r2
catboost,no_wsi_wind,0,2024-10-19 18:00:00,14587.0,11132.693904757412,-3454.306095242588,3454.306095242588,11932230.599630091,23.68071635867704,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,1,2024-10-19 19:00:00,15062.25,10313.605923685369,-4748.644076314631,4748.644076314631,22549620.56351804,31.526790992789778,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,2,2024-10-19 20:00:00,15401.25,11104.271720732464,-4296.978279267536,4296.978279267536,18464022.332496997,27.90019173290964,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,3,2024-10-19 21:00:00,14072.75,11367.4404983349,-2705.3095016650987,2705.3095016650987,7318699.499799465,19.223744482515333,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,4,2024-10-19 22:00:00,14483.5,11435.795980168645,-3047.7040198313557,3047.7040198313557,9288499.792496204,21.04259343272863,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,5,2024-10-19 23:00:00,14152.5,10065.89997351616,-4086.600026483839,4086.600026483839,16700299.77645771,28.87546388610458,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,6,2024-10-20 00:00:00,13325.75,8844.366723373252,-4481.383276626748,4481.383276626748,20082796.072029885,33.62950135357023,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,7,2024-10-20 01:00:00,12414.0,8567.190972650264,-3846.809027349736,3846.809027349736,14797939.692899425,30.98766737028063,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,8,2024-10-20 02:00:00,12115.0,9489.090538411525,-2625.909461588475,2625.909461588475,6895400.500459875,21.674861424567126,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,9,2024-10-20 03:00:00,11897.25,8867.284357676563,-3029.9656423234374,3029.9656423234374,9180691.79366048,25.46778156566341,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
catboost,no_wsi_wind,10,2024-10-20 04:00:00,11846.5,9250.83702721554,-2595.662972784461,2595.662972784461,6737466.268284266,21.91080042866897,2025-11-27 20:33:21,0.8414796448896724,5,1900,5.874877449515296,0.2003204975785143,8.90949992120902,0.7289066319326285,3702.318570034582,4638.310025680467,0.8702683559592058
