model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,param_subsample,info_mae,info_rmse,info_r2
catboost,with_wsi_wind,0,14587.0,13182.332789896038,-1404.6672101039621,1404.6672101039621,1973089.9711412485,9.629582574230474,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,1,15062.25,12276.550267549957,-2785.6997324500426,2785.6997324500426,7760122.999372239,18.494579046611186,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,2,15401.25,11739.296321258955,-3661.953678741045,3661.953678741045,13409904.745245075,23.776990041319163,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,3,14072.75,11583.012354509463,-2489.737645490537,2489.737645490537,6198793.543372763,17.69190560117083,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,4,14483.5,10373.319317546415,-4110.180682453585,4110.180682453585,16893585.24241462,28.37836629579002,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,5,14152.5,9982.443179714712,-4170.056820285288,4170.056820285288,17389373.884407848,29.465160362355352,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,6,13325.75,9200.524215023437,-4125.225784976563,4125.225784976563,17017487.7770355,30.9568000673393,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,7,12414.0,9387.588075476604,-3026.411924523396,3026.411924523396,9159169.136897406,24.379023074923133,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,8,12115.0,9143.203113959116,-2971.7968860408837,2971.7968860408837,8831576.731882293,24.529895881456298,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,9,11897.25,7833.58390502017,-4063.6660949798297,4063.6660949798297,16513382.13148862,34.156347853297305,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,10,11846.5,7539.6979274789965,-4306.8020725210035,4306.8020725210035,18548544.091871213,36.355059068225785,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,11,11822.5,7216.344292027414,-4606.155707972586,4606.155707972586,21216670.406088438,38.960927959134615,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,12,11933.75,7449.755457671701,-4483.994542328299,4483.994542328299,20106207.05562997,37.57406131622115,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,13,11748.5,7804.568974788407,-3943.931025211593,3943.931025211593,15554591.931626566,33.56965591529332,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,14,11833.0,9346.907398947471,-2486.092601052529,2486.092601052529,6180656.42100813,21.009825074371907,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,15,13405.25,10786.773643375716,-2618.4763566242837,2618.4763566242837,6856418.430200383,19.533215394135357,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,16,14577.25,9418.254009340399,-5158.995990659601,5158.995990659601,26615239.631641842,35.39073549987866,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,17,14957.25,9592.283724858878,-5364.9662751411215,5364.9662751411215,28782863.1334016,35.86866753672991,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
catboost,with_wsi_wind,18,16896.5,11815.241176004069,-5081.258823995931,5081.258823995931,25819191.236436516,30.072848365004134,2025-11-27 20:32:44,0.307468965828373,8,1500,1.5975943161106676,0.16691850189564864,6.800680565775249,0.7661540047479023,3663.0156514434643,4670.113627967923,0.8684831890436344
