model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_cnn_filters,param_kernel_size,param_lr,param_lstm_hidden,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
cnn_lstm,no_wsi_solar,0,23.25,1285.2378,1261.98779296875,1261.98779296875,1592613.1896021366,5427.904483552514,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,1,18.75,1285.2378,1266.48779296875,1266.48779296875,1603991.3297388554,6754.601558897545,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,2,18.5,1285.2378,1266.73779296875,1266.73779296875,1604624.6361353397,6847.231309643388,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,3,17.5,1285.2378,1267.73779296875,1267.73779296875,1607159.1117212772,7244.215955681877,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,4,17.75,1285.2378,1267.48779296875,1267.48779296875,1606525.3053247929,7140.776294392521,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,5,18.25,1285.2378,1266.98779296875,1266.98779296875,1605258.067531824,6942.398861778138,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,6,18.75,1285.2378,1266.48779296875,1266.48779296875,1603991.3297388554,6754.601558897545,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,7,17.25,1285.2378,1267.98779296875,1267.98779296875,1607793.0431177616,7350.65386802136,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,8,18.25,1285.2378,1266.98779296875,1266.98779296875,1605258.067531824,6942.398861778138,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,9,18.5,1285.2378,1266.73779296875,1266.73779296875,1604624.6361353397,6847.231309643388,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,10,36.5,1285.2378,1248.73779296875,1248.73779296875,1559346.0755884647,3421.1994318537813,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
cnn_lstm,no_wsi_solar,11,1494.25,1285.2378,-209.01220703125,209.01220703125,43686.10268807411,13.98776690847256,2025-11-27 21:48:30,64,5,0.0065981684165982634,128,2,24,2527.672257341406,4188.899796727571,-0.039414158117190956
