model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_cnn_filters,param_kernel_size,param_lr,param_lstm_hidden,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
cnn_lstm,no_wsi_wind,0,2024-10-19 18:00:00,8336.5,1800.9777,-6535.522338867188,6535.522338867188,42713052.24183203,78.3964774048983,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,1,2024-10-19 19:00:00,8403.75,1800.9777,-6602.772338867188,6602.772338867188,43596602.55890967,78.56935699966479,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,2,2024-10-19 20:00:00,8778.75,1800.9777,-6977.772338867188,6977.772338867188,48689306.81306006,79.48480522693137,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,3,2024-10-19 21:00:00,8976.0,1800.9777,-7175.022338867188,7175.022338867188,51480945.563243166,79.93563211741525,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,4,2024-10-19 22:00:00,10428.75,1800.9777,-8627.772338867188,8627.772338867188,74438455.53132178,82.73064690263851,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,5,2024-10-19 23:00:00,11991.75,1800.9777,-10190.772338867188,10190.772338867188,103851840.8626206,84.98152762406394,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,6,2024-10-20 00:00:00,13562.25,1800.9777,-11761.272338867188,11761.272338867188,138327527.02900243,86.72065725715508,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,7,2024-10-20 01:00:00,14850.5,1800.9777,-13049.522338867188,13049.522338867188,170290033.27259374,87.87261263161778,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,8,2024-10-20 02:00:00,15829.5,1800.9777,-14028.522338867188,14028.522338867188,196799439.0120957,88.62264972903961,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,9,2024-10-20 03:00:00,16659.75,1800.9777,-14858.772338867188,14858.772338867188,220783115.41828465,89.18964773696044,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,10,2024-10-20 04:00:00,16580.0,1800.9777,-14779.022338867188,14779.022338867188,218419501.2927353,89.13764981217294,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,11,2024-10-20 05:00:00,17034.25,1800.9777,-15233.272338867188,15233.272338867188,232052586.15009615,89.4273146094383,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,12,2024-10-20 06:00:00,17897.75,1800.9777,-16096.772338867188,16096.772338867188,259106079.7293198,89.937407433103,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,13,2024-10-20 07:00:00,17437.0,1800.9777,-15636.022338867188,15636.022338867188,244485194.5815537,89.67151653872925,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,14,2024-10-20 08:00:00,18262.75,1800.9777,-16461.772338867188,16461.772338867188,270989948.53669286,90.1385187819916,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,15,2024-10-20 09:00:00,18544.0,1800.9777,-16743.022338867188,16743.022338867188,280328797.03980565,90.28808422593916,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,16,2024-10-20 10:00:00,18157.25,1800.9777,-16356.272338867188,16356.272338867188,267527644.82319188,90.08122011239684,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,17,2024-10-20 11:00:00,17882.25,1800.9777,-16081.272338867188,16081.272338867188,258607320.03681493,89.92868536598132,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,18,2024-10-20 12:00:00,17771.25,1800.9777,-15970.272338867188,15970.272338867188,255049598.5775864,89.86577949698643,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,19,2024-10-20 13:00:00,14820.25,1800.9777,-13019.272338867188,13019.272338867188,169501452.23359227,87.84785910398544,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,20,2024-10-20 14:00:00,12375.25,1800.9777,-10574.272338867188,10574.272338867188,111815235.49653174,85.44693916372309,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,21,2024-10-20 15:00:00,12804.75,1800.9777,-11003.772338867188,11003.772338867188,121083005.68561864,85.93508142570994,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,22,2024-10-20 16:00:00,15308.75,1800.9777,-13507.772338867188,13507.772338867188,182459913.5586655,88.23563216368655,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,23,2024-10-20 17:00:00,16847.25,1800.9777,-15046.272338867188,15046.272338867188,226390311.29535985,89.30996060994083,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,24,2024-10-20 18:00:00,16309.75,1800.9777,-14508.772338867188,14508.772338867188,210504474.7810776,88.95766237286465,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,25,2024-10-20 19:00:00,16028.25,1800.9777,-14227.272338867188,14227.272338867188,202415278.2042954,88.76372865945011,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,26,2024-10-20 20:00:00,14871.5,1800.9777,-13070.522338867188,13070.522338867188,170838554.21082616,87.88973767850182,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,27,2024-10-20 21:00:00,13892.25,1800.9777,-12091.272338867188,12091.272338867188,146198866.77265477,87.03609810403991,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,28,2024-10-20 22:00:00,12451.75,1800.9777,-10650.772338867188,10650.772338867188,113438951.41437842,85.53634901807885,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,29,2024-10-20 23:00:00,11078.75,1800.9777,-9277.772338867188,9277.772338867188,86077059.57184912,83.74385502749689,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,30,2024-10-21 00:00:00,9508.25,1800.9777,-7707.2723388671875,7707.2723388671875,59402046.90546729,81.05878935512929,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,31,2024-10-21 01:00:00,8373.75,1800.9777,-6572.772338867188,6572.772338867188,43201336.21857764,78.49257905788133,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,32,2024-10-21 02:00:00,6977.25,1800.9777,-5176.272338867188,5176.272338867188,26793795.326121584,74.18785823726782,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,33,2024-10-21 03:00:00,6147.5,1800.9777,-4346.522338867188,4346.522338867188,18892256.44227149,70.7039014048006,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,34,2024-10-21 04:00:00,5589.25,1800.9777,-3788.272338867188,3788.272338867188,14351007.313426271,67.77782956318666,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,35,2024-10-21 05:00:00,5143.25,1800.9777,-3342.2723388671875,3342.2723388671875,11170784.38715674,64.9836647812315,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,36,2024-10-21 06:00:00,4713.75,1800.9777,-2912.7723388671875,2912.7723388671875,8484242.698069826,61.79310185862653,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,37,2024-10-21 07:00:00,3939.5,1800.9777,-2138.5223388671875,2138.5223388671875,4573277.793833986,54.284105568263975,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,38,2024-10-21 08:00:00,3491.5,1800.9777,-1690.5223388671875,1690.5223388671875,2857865.778208986,48.41822537197037,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,39,2024-10-21 09:00:00,3679.75,1800.9777,-1878.7723388671875,1878.7723388671875,3529785.501292482,51.05706471532256,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,40,2024-10-21 10:00:00,3987.25,1800.9777,-2186.2723388671875,2186.2723388671875,4779786.739695802,54.831584146008005,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,41,2024-10-21 11:00:00,4147.75,1800.9777,-2346.7723388671875,2346.7723388671875,5507340.4104721695,56.57940663881694,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,42,2024-10-21 12:00:00,4148.0,1800.9777,-2347.0223388671875,2347.0223388671875,5508513.859141603,56.58202359839753,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,43,2024-10-21 13:00:00,3865.75,1800.9777,-2064.7723388671875,2064.7723388671875,4263284.811351076,53.41194694074491,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,44,2024-10-21 14:00:00,3839.5,1800.9777,-2038.5223388671875,2038.5223388671875,4155573.326060549,53.09343244854482,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,45,2024-10-21 15:00:00,4984.25,1800.9777,-3183.2723388671875,3183.2723388671875,10133222.783396974,63.86662665116719,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
cnn_lstm,no_wsi_wind,46,2024-10-21 16:00:00,6409.5,1800.9777,-4608.522338867188,4608.522338867188,21238478.14783789,71.90143285529288,2025-11-27 21:50:13,64,5,0.0094740964950443,128,1,48,16552.585982356733,20965.307111650774,-1.5996286573237102
