model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_alpha,param_l1_ratio,param_lags,info_mae,info_rmse,info_r2
lear,with_wsi_wind,0,16796.25,16472.675094105063,-323.5749058949368,323.5749058949368,104700.71972491722,1.9264711223918682,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,1,17393.0,17773.958502785215,380.9585027852154,380.9585027852154,145129.38084435297,2.190297836974624,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,2,17759.5,17488.3108280587,-271.1891719412997,271.1891719412997,73543.56697820782,1.5270090483467835,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,3,17765.5,17879.80980490649,114.30980490649017,114.30980490649017,13066.731497759845,0.6434370262949302,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,4,17004.75,17706.333465914133,701.5834659141328,701.5834659141328,492219.3596440872,4.125808764690573,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,5,15714.083333333334,16422.732568836924,708.6492355035898,708.6492355035898,502183.7389798223,4.50964412286095,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,6,14423.416666666666,14827.662944164866,404.24627749819956,404.24627749819956,163415.05287115136,2.802708171304205,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,7,13132.75,13485.646110650387,352.8961106503866,352.8961106503866,124535.66491216992,2.6871455761368934,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,8,12474.25,12320.37654685536,-153.87345314464073,153.87345314464073,23677.039582655947,1.2335286942663277,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,9,12226.5,12338.474315520294,111.97431552029411,111.97431552029411,12538.247336238379,0.9158329490876582,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,10,13095.0,12103.094327965775,-991.9056720342251,991.9056720342251,983876.8622136676,7.574690126257866,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,11,13420.0,13827.091547044369,407.0915470443688,407.0915470443688,165723.52767497752,3.0334690539796227,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,12,13457.5,13263.737318207883,-193.7626817921173,193.7626817921173,37543.9768552733,1.439811865442863,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,13,11767.75,12782.049743728587,1014.2997437285867,1014.2997437285867,1028803.9701278766,8.619317573263578,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
lear,with_wsi_wind,14,10777.25,10130.601994027407,-646.6480059725927,646.6480059725927,418153.6436283303,6.000120679876524,2025-11-27 21:42:28,0.718883689648839,0.45733817737969407,168,533.9004423721514,742.7099059815426,0.9968148722500388
