model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_dropout_rate,param_hidden_dim,param_lr,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
mcd30,no_wsi_solar,0,9.75,2611.7273,2601.977294921875,2601.977294921875,6770285.843288958,26686.946587212107,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,1,6.5,2602.598,2596.097900390625,2596.097900390625,6739724.3084126115,39939.9676368712,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,2,6.0,2602.3433,2596.34326171875,2596.34326171875,6740998.332672358,43272.387623191855,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,3,5.5,2659.0847,2653.584716796875,2653.584716796875,7041511.849217951,48246.99476313047,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,4,5.5,2625.765,2620.264892578125,2620.264892578125,6865788.107277453,47641.17977843649,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,5,6.25,2606.6748,2600.4248046875,2600.4248046875,6762209.1648340225,41606.79680842912,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,6,5.25,2647.741,2642.490966796875,2642.490966796875,6982758.509603083,50333.161176448746,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,7,5.25,2625.8508,2620.600830078125,2620.600830078125,6867548.710606158,49916.20619212389,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,8,5.25,2670.7751,2665.525146484375,2665.525146484375,7105024.306540549,50771.90745537494,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
mcd30,no_wsi_solar,9,6.25,2646.5408,2640.290771484375,2640.290771484375,6971135.357985556,42244.65227615856,2025-11-27 21:37:51,0.3307417162442877,128,0.007069480402171305,1,96,3069.96253110184,3966.755331616342,-0.026664529215212784
