model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_dropout_rate,param_hidden_dim,param_lr,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
mcd30,with_wsi_solar,0,9.75,1779.9513,1770.2012939453125,1770.2012939453125,3133612.6210856587,18155.91068850996,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,1,6.5,1790.6558,1784.15576171875,1784.15576171875,3183211.782074213,27448.55013805992,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,2,6.0,1774.098,1768.0980224609375,1768.0980224609375,3126170.617030278,29468.300325235123,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,3,5.5,1787.0697,1781.5697021484375,1781.5697021484375,3173990.6036132723,32392.176343804,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,4,5.5,1814.4159,1808.9158935546875,1808.9158935546875,3272176.7099547535,32889.37982301362,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,5,6.25,1795.4258,1789.17578125,1789.17578125,3201149.976211548,28626.8124541971,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,6,5.25,1784.6774,1779.4273681640625,1779.4273681640625,3166361.758571282,33893.85456713671,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,7,5.25,1802.565,1797.31494140625,1797.31494140625,3230340.998602152,34234.570247291296,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,8,5.25,1759.722,1754.4720458984375,1754.4720458984375,3078172.159839049,33418.515096315925,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,9,6.25,1793.0126,1786.7625732421875,1786.7625732421875,3192520.4931390435,28588.201126133878,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,10,15.5,1775.1493,1759.6492919921875,1759.6492919921875,3096365.6308086067,11352.576070044708,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
mcd30,with_wsi_solar,11,950.75,1756.2094,805.4593505859375,805.4593505859375,648764.7654463202,84.71831191979653,2025-11-27 21:36:18,0.23141481342064327,64,0.008884157753959043,1,96,2652.955356586417,3919.7777705587937,-0.0024913191799493806
