model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_dropout_rate,param_hidden_dim,param_lr,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
mcd30,with_wsi_wind,0,2024-10-19 18:00:00,8336.5,1908.2697,-6428.230346679688,6428.230346679688,41322145.389973655,77.10946256428927,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,1,2024-10-19 19:00:00,8403.75,1877.1759,-6526.574096679688,6526.574096679688,42596169.43945028,77.66263985330264,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,2,2024-10-19 20:00:00,8778.75,1900.1648,-6878.585205078125,6878.585205078125,47314934.42351967,78.35495036389337,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,3,2024-10-19 21:00:00,8976.0,1883.2593,-7092.74072265625,7092.74072265625,50306970.9588263,79.01894744483454,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,4,2024-10-19 22:00:00,10428.75,1883.2423,-8545.507690429688,8545.507690429688,73025701.68719293,81.94182131532057,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,5,2024-10-19 23:00:00,11991.75,1900.7767,-10090.973266601562,10090.973266601562,101827741.4672674,84.14929652964035,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,6,2024-10-20 00:00:00,13562.25,1901.497,-11660.753051757812,11660.753051757812,135973161.73407912,85.97948756105524,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,7,2024-10-20 01:00:00,14850.5,1889.9358,-12960.564208984377,12960.564208984377,167976224.61520678,87.27358815511698,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,8,2024-10-20 02:00:00,15829.5,1892.7318,-13936.768188476562,13936.768188476562,194233507.53933227,88.04300949788532,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,9,2024-10-20 03:00:00,16659.75,1881.1925,-14778.557495117188,14778.557495117188,218405761.6364844,88.70815885657537,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,10,2024-10-20 04:00:00,16580.0,1874.4677,-14705.532348632812,14705.532348632812,216252681.65668607,88.69440499773185,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,11,2024-10-20 05:00:00,17034.25,1885.2911,-15148.958862304688,15148.958862304688,229490954.6117997,88.93235019032709,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,12,2024-10-20 06:00:00,17897.75,1832.49,-16065.260009765623,16065.260009765623,258092579.1813746,89.76133877027362,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,13,2024-10-20 07:00:00,17437.0,1904.1892,-15532.810791015623,15532.810791015623,241268211.06949145,89.07960538513917,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,14,2024-10-20 08:00:00,18262.75,1855.4207,-16407.329345703125,16407.329345703125,269200456.25837094,89.84040927951234,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,15,2024-10-20 09:00:00,18544.0,1904.2728,-16639.727172851562,16639.727172851562,276880520.38693464,89.73105679919429,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,16,2024-10-20 10:00:00,18157.25,1890.7087,-16266.541259765623,16266.541259765623,264600364.55565745,89.58703140484747,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
mcd30,with_wsi_wind,17,2024-10-20 11:00:00,17882.25,1914.3317,-15967.918334960938,15967.918334960938,254974415.9519817,89.29479419509295,2025-11-27 21:39:23,0.2564749173546173,128,0.0046936151739957,2,48,16477.52390549572,20898.05745111911,-1.5829779347535498
