model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_batch_size,param_dropout,param_learning_rate,param_max_steps,param_mlp_units_choice,param_n_blocks_choice,info_mae,info_rmse,info_r2
nhits,with_wsi_solar,0,2024-10-19 18:00:00,10.75,-618.93945,-629.689453125,629.689453125,396508.8073768616,5857.576302690627,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,1,2024-10-19 19:00:00,11.75,-617.0791,-628.8291015625,628.8291015625,395426.03897190094,5351.737030019798,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,2,2024-10-19 20:00:00,13.25,-642.14307,-655.39306640625,655.39306640625,429540.0714933872,4946.3627615970845,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,3,2024-10-19 21:00:00,14.5,-646.2905,-660.79052734375,660.79052734375,436644.1210272312,4557.176047503671,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,4,2024-10-19 22:00:00,13.5,-517.7158,-531.2158203125,531.2158203125,282190.2477502823,3934.93199940005,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,5,2024-10-19 23:00:00,14.5,-198.8706,-213.37060546875,213.37060546875,45527.01527810097,1471.5214160110197,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,6,2024-10-20 00:00:00,13.25,461.02393,447.77392578125,447.77392578125,200501.4886095524,3379.42585240232,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,7,2024-10-20 01:00:00,13.5,1124.8428,1111.3427734375,1111.3427734375,1235082.7600717545,8232.168686031726,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,8,2024-10-20 02:00:00,12.5,1684.7693,1672.269287109375,1672.269287109375,2796484.5686092973,13378.154286172474,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,9,2024-10-20 03:00:00,13.5,2133.3125,2119.8125,2119.8125,4493605.03515625,15702.31480318347,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,10,2024-10-20 04:00:00,34.75,2509.3672,2474.6171875,2474.6171875,6123730.22467041,7121.200537519078,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,11,2024-10-20 05:00:00,1772.5,2221.859,449.35888671875,449.35888671875,201923.4090731144,25.351700237868258,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,12,2024-10-20 06:00:00,6616.5,2009.8296,-4606.67041015625,4606.67041015625,21221412.267809156,69.62397657597351,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,13,2024-10-20 07:00:00,12216.0,2026.4568,-10189.543212890623,10189.543212890623,103826790.8873654,83.41145393649543,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,14,2024-10-20 08:00:00,16961.75,2292.396,-14669.35400390625,14669.35400390625,215189946.89192036,86.48490871459373,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,15,2024-10-20 09:00:00,19204.5,1984.4114,-17220.088623046875,17220.088623046875,296531452.1855884,89.66694588787996,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,16,2024-10-20 10:00:00,19226.75,1477.9849,-17748.76513671875,17748.76513671875,315018663.87840295,92.31287210115865,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,17,2024-10-20 11:00:00,16628.25,765.0049,-15863.2451171875,15863.2451171875,251642545.64797303,95.39936624225616,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,18,2024-10-20 12:00:00,11987.5,546.16943,-11441.33056640625,11441.33056640625,130904045.12978196,95.44384205544696,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,19,2024-10-20 13:00:00,6483.25,472.99072,-6010.25927734375,6010.25927734375,36123216.580896616,92.70441950155367,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,20,2024-10-20 14:00:00,1612.0,428.70605,-1183.2939453125,1183.2939453125,1400184.5610132215,73.40533159461287,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,21,2024-10-20 15:00:00,46.75,398.90283,352.15283203125,352.15283203125,124011.61710762978,753.2680897452902,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,22,2024-10-20 16:00:00,24.5,342.16992,317.669921875,317.669921875,100914.1792640686,1296.611925491179,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,23,2024-10-20 17:00:00,23.25,232.16748,208.91748046875,208.91748046875,43646.51364541054,898.5698080812602,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,24,2024-10-20 18:00:00,23.25,123.799805,100.5498046875,100.5498046875,10110.263222694395,432.4722780397969,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,25,2024-10-20 19:00:00,18.75,17.31836,-1.431640625,1.431640625,2.04959487915039,7.6354166625944435,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,26,2024-10-20 20:00:00,18.5,-152.39941,-170.8994140625,170.8994140625,29206.609726905823,923.7806160547132,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,27,2024-10-20 21:00:00,17.5,-281.71777,-299.2177734375,299.2177734375,89531.27594089508,1709.815847237248,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,28,2024-10-20 22:00:00,17.75,-187.38965,-205.1396484375,205.1396484375,42082.275361061096,1155.7163285742442,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,29,2024-10-20 23:00:00,18.25,-13.902344,-32.15234375,32.15234375,1033.773208618164,176.17722593086177,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,30,2024-10-21 00:00:00,18.75,868.96875,850.21875,850.21875,722871.9228515625,4534.499997581599,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,31,2024-10-21 01:00:00,17.25,1600.1726,1582.922607421875,1582.922607421875,2505643.9810872674,9176.362936256455,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,32,2024-10-21 02:00:00,18.25,1960.3562,1942.106201171875,1942.106201171875,3771776.4966302514,10641.677808809354,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,33,2024-10-21 03:00:00,18.5,2116.9185,2098.41845703125,2098.41845703125,4403360.020809412,11342.802464307944,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,34,2024-10-21 04:00:00,36.5,2200.6172,2164.1171875,2164.1171875,4683403.20123291,5929.088183307099,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,35,2024-10-21 05:00:00,1494.25,2405.1953,910.9453125,910.9453125,829821.3623657227,60.96338045801598,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,36,2024-10-21 06:00:00,5695.5,2415.368,-3280.132080078125,3280.132080078125,10759266.462757649,57.59164393068854,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,37,2024-10-21 07:00:00,10581.5,2498.8604,-8082.6396484375,8082.6396484375,65329063.68649387,76.38463023607108,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,38,2024-10-21 08:00:00,14843.75,2245.2446,-12598.50537109375,12598.50537109375,158722337.58547807,84.87414144731123,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,39,2024-10-21 09:00:00,17403.75,1852.7654,-15550.984619140623,15550.984619140623,241833122.6247483,89.35421744814587,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,40,2024-10-21 10:00:00,17662.75,1120.8423,-16541.90771484375,16541.90771484375,273634710.8464072,93.65420285535596,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,41,2024-10-21 11:00:00,16252.5,660.6885,-15591.8115234375,15591.8115234375,243104586.5823984,95.93485016722292,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,42,2024-10-21 12:00:00,13279.5,464.7793,-12814.720703125,12814.720703125,164217066.6991005,96.50002412075266,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,43,2024-10-21 13:00:00,7840.0,560.89795,-7279.10205078125,7279.10205078125,52985326.6656878,92.8456894231118,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,44,2024-10-21 14:00:00,2150.25,720.59766,-1429.65234375,1429.65234375,2043905.823989868,66.4877267175143,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
nhits,with_wsi_solar,45,2024-10-21 15:00:00,62.25,904.5303,842.2802734375,842.2802734375,709436.0590219498,1353.0606800035243,2025-11-27 20:40:45,128,0.150906774688784,0.000389393848993,500,0,0,2285.7833023375247,4124.0195478457645,0.0225569880269215
