model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,info_mae,info_rmse,info_r2
random_forest,no_wsi_solar,0,2024-10-19 18:00:00,10.75,13.439713654401144,2.689713654401144,2.689713654401144,7.234559542671958,25.02059211068916,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,1,2024-10-19 19:00:00,11.75,8.668724882756134,-3.081275117243866,3.081275117243866,9.4942563481462,26.22361799677876,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,2,2024-10-19 20:00:00,13.25,8.2740790494228,-4.9759209505772,4.9759209505772,24.759789306393102,37.55412035337198,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,3,2024-10-19 21:00:00,14.5,8.137895337301584,-6.362104662698416,6.362104662698416,40.47637573912892,43.87658385041902,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,4,2024-10-19 22:00:00,13.5,8.051839781746029,-5.448160218253971,5.448160218253971,29.68244976376516,40.35674232754294,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,5,2024-10-19 23:00:00,14.5,7.849213789682538,-6.650786210317462,6.650786210317462,44.23295721534891,45.86749107400492,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,6,2024-10-20 00:00:00,13.25,7.99359226190476,-5.25640773809524,5.25640773809524,27.62982230910752,39.671001767004825,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,7,2024-10-20 01:00:00,13.5,8.298356601731598,-5.201643398268402,5.201643398268402,27.05709404274925,38.53069181048394,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,8,2024-10-20 02:00:00,12.5,8.111060515873016,-4.388939484126984,4.388939484126984,19.26278979532884,35.11151584492666,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,9,2024-10-20 03:00:00,13.5,14.804091044372296,1.3040910443722955,1.3040910443722955,1.700653452012025,9.6599336548615,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,10,2024-10-20 04:00:00,34.75,164.78617361111117,130.03617361111117,130.03617361111117,16909.406447419045,374.20481603939766,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,11,2024-10-20 05:00:00,1772.5,2827.3001116071428,1054.8001116071428,1054.8001116071428,1112603.2754464408,59.50917413829009,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,12,2024-10-20 06:00:00,6616.5,8879.358405753972,2262.858405753972,2262.858405753972,5120528.164491408,34.200232838366986,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,13,2024-10-20 07:00:00,12216.0,17244.425146464644,5028.425146464644,5028.425146464644,25285059.453597978,41.16261580272207,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,14,2024-10-20 08:00:00,16961.75,19106.77423079004,2145.024230790037,2145.024230790037,4601128.95067639,12.646243641067532,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,15,2024-10-20 09:00:00,19204.5,19020.732801542203,-183.76719845779732,183.76719845779732,33770.38322902747,0.9568965526709972,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,16,2024-10-20 10:00:00,19226.75,19584.10320779221,357.35320779221,357.35320779221,127701.31511938245,1.858625133171358,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,17,2024-10-20 11:00:00,16628.25,15541.227031249997,-1087.0229687500032,1087.0229687500032,1181618.9345900705,6.537206072493193,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,18,2024-10-20 12:00:00,11987.5,11760.127080221862,-227.37291977813769,227.37291977813769,51698.44464843542,1.8967501128504525,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,19,2024-10-20 13:00:00,6483.25,5445.115872023809,-1038.134127976191,1038.134127976191,1077722.4676688863,16.012557405230243,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,20,2024-10-20 14:00:00,1612.0,1807.8882003066385,195.88820030663828,195.88820030663828,38372.18701937364,12.151873468078357,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,21,2024-10-20 15:00:00,46.75,198.42846442099565,151.67846442099565,151.67846442099565,23006.356569111245,324.4459131305905,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,22,2024-10-20 16:00:00,24.5,45.726271825396815,21.22627182539681,21.22627182539681,450.5546156056346,86.63784414993073,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,23,2024-10-20 17:00:00,23.25,16.396844742063493,-6.853155257936507,6.853155257936507,46.96573698938279,29.475936580597477,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,24,2024-10-20 18:00:00,23.25,14.55835069444444,-8.691649305555561,8.691649305555561,75.54476765076447,37.38343785727835,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,25,2024-10-20 19:00:00,18.75,12.454128968253965,-6.295871031746035,6.295871031746035,39.63799204837888,33.5779788180706,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
random_forest,no_wsi_solar,26,2024-10-20 20:00:00,18.5,12.039905257936509,-6.460094742063493,6.460094742063493,41.73282407643639,34.91943101930568,2025-11-27 21:44:00,,2,5,200,1129.7325001171655,2327.868422090092,0.6885653904005455
