model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,info_mae,info_rmse,info_r2
random_forest,no_wsi_wind,0,14587.0,11501.073040688478,-3085.9269593115223,3085.9269593115223,9522945.198205657,21.155322954064623,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,1,15062.25,10623.084673735988,-4439.165326264012,4439.165326264012,19706188.793904673,29.47212618474043,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,2,15401.25,9447.519465999278,-5953.730534000722,5953.730534000722,35446907.271492526,38.65745010305564,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,3,14072.75,9677.065780844157,-4395.684219155843,4395.684219155843,19322039.75453571,31.23543173262311,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,4,14483.5,9425.24485138473,-5058.25514861527,5058.25514861527,25585945.148492884,34.924259665217505,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,5,14152.5,7746.776700676161,-6405.723299323839,6405.723299323839,41033290.98750028,45.262132480616934,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,6,13325.75,8027.537351393499,-5298.212648606501,5298.212648606501,28071057.269853912,39.75920791402003,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,7,12414.0,6814.476820363663,-5599.523179636337,5599.523179636337,31354659.839284632,45.106518282840554,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,8,12115.0,6570.816755574287,-5544.183244425713,5544.183244425713,30737967.84777083,45.76296528618355,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,9,11897.25,8102.978339143494,-3794.271660856506,3794.271660856506,14396497.436378788,31.892005806831968,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,10,11846.5,7943.473599605255,-3903.026400394745,3903.026400394745,15233615.08217836,32.94666273069219,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,11,11822.5,8048.877607760291,-3773.6223922397094,3773.6223922397094,14240225.959212948,31.918988303967154,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,12,11933.75,6826.975593694501,-5106.774406305499,5106.774406305499,26079144.83689688,42.792704776798736,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,13,11748.5,4964.775651542901,-6783.724348457099,6783.724348457099,46018916.03584969,57.74119545858045,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,14,11833.0,9548.347531621159,-2284.652468378841,2284.652468378841,5219636.901269532,19.30746614025953,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,15,13405.25,8454.93709998335,-4950.31290001665,4950.31290001665,24505597.808071256,36.92816545765992,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,16,14577.25,9799.862645084082,-4777.387354915918,4777.387354915918,22823429.93891051,32.77289855708477,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,17,14957.25,12721.8389760101,-2235.4110239899,2235.4110239899,4997062.446175573,14.945334362856844,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,18,16896.5,13397.128136779891,-3499.371863220109,3499.371863220109,12245603.437096577,20.710631569958498,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
random_forest,no_wsi_wind,19,18144.75,13701.93051475608,-4442.819485243919,4442.819485243919,19738644.978463043,24.485426832783425,2025-11-27 21:44:23,None,4,2,100,3859.507438071531,4813.481650254289,0.8602843628365697
