model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_d,param_p,param_q,param_trend,info_mae,info_rmse,info_r2
sarimax,no_wsi_solar,0,2024-10-19 18:00:00,10.75,-450.1551825460501,-460.9051825460501,460.9051825460501,212433.5872978078,4287.490066207452,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,1,2024-10-19 19:00:00,11.75,-868.6575422097485,-880.4075422097485,880.4075422097485,775117.44037981,7492.830140089068,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,2,2024-10-19 20:00:00,13.25,-1618.032456437326,-1631.282456437326,1631.282456437326,2661082.452680196,12311.5656996692,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,3,2024-10-19 21:00:00,14.5,-3049.23750831054,-3063.73750831054,3063.73750831054,9386487.519828876,21129.224180673224,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,4,2024-10-19 22:00:00,13.5,-3538.878111423146,-3552.378111423146,3552.378111423146,12619390.246518278,26313.91191697596,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,5,2024-10-19 23:00:00,14.5,-3827.883014109522,-3842.383014109522,3842.383014109522,14763907.227117376,26499.19318248002,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,6,2024-10-20 00:00:00,13.25,-3350.7183023231464,-3363.9683023231464,3363.9683023231464,11316282.739034873,25388.43999837209,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,7,2024-10-20 01:00:00,13.5,-1694.7164752641556,-1708.2164752641556,1708.2164752641556,2918003.526363896,12653.455362954148,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,8,2024-10-20 02:00:00,12.5,630.7249820819516,618.2249820819516,618.2249820819516,382202.1284702293,4945.799852698972,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,9,2024-10-20 03:00:00,13.5,3008.80400102794,2995.30400102794,2995.30400102794,8971846.058573985,22187.437028216267,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,10,2024-10-20 04:00:00,34.75,5977.756131460409,5943.006131460409,5943.006131460409,35319321.87857602,17102.17591295019,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,11,2024-10-20 05:00:00,1772.5,8152.238184115647,6379.738184115647,6379.738184115647,40701059.29786321,359.92881151366174,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,12,2024-10-20 06:00:00,6616.5,11652.891802350005,5036.391802350003,5036.391802350003,25365242.38677831,76.11867002708972,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,13,2024-10-20 07:00:00,12216.0,14901.454035227816,2685.4540352278163,2685.4540352278163,7211663.375321362,21.983088042121956,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,14,2024-10-20 08:00:00,16961.75,16954.40126425406,-7.348735745941667,7.348735745941667,54.00391706368083,0.0433253393425639,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,15,2024-10-20 09:00:00,19204.5,18906.05118296043,-298.4488170395707,298.4488170395707,89071.69639231915,1.554056690043559,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,16,2024-10-20 10:00:00,19226.75,18739.17350690336,-487.57649309663975,487.57649309663975,237730.8366204176,2.535927773005766,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,17,2024-10-20 11:00:00,16628.25,17641.082397444792,1012.8323974447922,1012.8323974447922,1025829.4653137656,6.09103421853883,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,18,2024-10-20 12:00:00,11987.5,15615.435759437163,3627.935759437163,3627.935759437163,13161917.874602906,30.26432333208873,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
sarimax,no_wsi_solar,19,2024-10-20 13:00:00,6483.25,12819.458252917728,6336.208252917728,6336.208252917728,40147535.02434272,97.73197474889838,2025-11-27 19:46:45,0,2,2,ct,5221.97987362065,5905.042613097457,-1.0039924809821097
