model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_d,param_p,param_q,param_trend,info_mae,info_rmse,info_r2
sarimax,with_wsi_wind,0,2024-10-19 18:00:00,14587.0,14900.782230276998,313.78223027699823,313.78223027699823,98459.28803760714,2.151108728846117,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,1,2024-10-19 19:00:00,15062.25,15357.133619786253,294.8836197862529,294.8836197862529,86956.34921824335,1.957766069385763,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,2,2024-10-19 20:00:00,15401.25,15378.183733932883,-23.066266067115063,23.066266067115063,532.052630278944,0.1497687919298764,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,3,2024-10-19 21:00:00,14072.75,16509.152473400613,2436.4024734006125,2436.4024734006125,5936057.012392622,17.31290951234749,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,4,2024-10-19 22:00:00,14483.5,16088.346489929132,1604.846489929132,1604.846489929132,2575532.256237856,11.080515689771284,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,5,2024-10-19 23:00:00,14152.5,14936.16269082389,783.6626908238904,783.6626908238904,614127.2129893405,5.537273915020927,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,6,2024-10-20 00:00:00,13325.75,14337.822165203344,1012.0721652033444,1012.0721652033444,1024290.0675793856,7.594860816108548,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,7,2024-10-20 01:00:00,12414.0,13128.118224192487,714.1182241924889,714.1182241924889,509964.8381238339,5.7525231528267575,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,8,2024-10-20 02:00:00,12115.0,12371.497072566026,256.497072566026,256.497072566026,65790.74823494119,2.1171859064450205,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
sarimax,with_wsi_wind,9,2024-10-20 03:00:00,11897.25,12389.100038961638,491.8500389616384,491.8500389616384,241916.4608265652,4.134148975277689,2025-11-27 19:47:49,0,1,2,c,4037.500808280812,5012.110191896729,0.8485157101033827
