Model_Full,Model_Family,Mean_Error_Stable,Mean_Error_Unstable,Impact_Ratio,MannWhitney_P_Value,Spearman_Correlation,Spearman_P_Value,Is_Significant
mcd30-no-wsi-wind,mcd30,0.3410163442112903,0.5451593935459325,1.5986312761835169,5.440013368717224e-13,0.17703137744012856,1.1442640059581684e-13,True
cnn-lstm-with-wsi-wind,cnn,0.345570124167913,0.5486302114318574,1.5876089194715144,5.375759880534676e-13,0.17816812167768395,7.927330450719039e-14,True
nhits-no-wsi-wind,nhits,0.30492848953286716,0.4770494275842984,1.5644632888029275,3.3935831801732283e-12,0.0741416537754269,0.0018719258542670033,True
sarimax-with-wsi-solar,sarimax,0.3261497256710722,0.3888377099367878,1.1922061535901383,0.04895035778409218,-0.03374878088181137,0.15735320068352632,True
catboost-with-wsi-wind,catboost,0.23233571898179314,0.26196308791491885,1.1275196472714875,0.09540749606027783,0.027485347741340416,0.24953091250925472,False
mcd30-with-wsi-wind,mcd30,0.34454407425912825,0.38285907838905753,1.1112049429737483,0.3229593163705067,-0.05284717438229539,0.028915754189943698,False
cnn-lstm-no-wsi-wind,cnn,0.3453882286007709,0.38371353982169243,1.1109629919241435,0.3127773607117197,-0.05206417829026589,0.03137996608655007,False
nhits-with-wsi-wind,nhits,0.3720304297207337,0.4077954955070229,1.0961347861064386,0.12172316684206386,-0.009011921127061923,0.7058111450127038,False
random-forest-with-wsi-wind,random,0.2244166915280349,0.24423360240376762,1.0883040862103484,0.022497149930037166,-0.0760240010090993,0.0014275876414720093,True
lightgbm-no-wsi-wind,lightgbm,0.22082421477754086,0.23733927449408546,1.0747882642000197,0.03615697645689646,-0.034464032874434385,0.1487346467233851,True
lightgbm-with-wsi-wind,lightgbm,0.20348421620710855,0.21291522994026965,1.0463476426277807,0.07328023985600318,-0.017372496906813466,0.46677741191822186,False
random-forest-no-wsi-wind,random,0.2205248723208064,0.228413099153409,1.0357702364798438,0.1581606446213799,-0.0476173869399696,0.045969878772711595,False
sarimax-no-wsi-solar,sarimax,0.3661921205833027,0.3760237846021236,1.0268483767568788,0.5363019759789458,-0.058231698811088646,0.014638203818607767,False
xgboost-with-wsi-wind,xgboost,0.23344097551326431,0.23884217527343188,1.0231373251773472,0.14095081179032368,-0.004988677480445631,0.834478839137896,False
catboost-no-wsi-wind,catboost,0.23900039864332467,0.2336507591323642,0.977616608418532,0.6554159798236932,-0.07191445003816989,0.0025599091343341696,False
prophet-no-wsi-wind,prophet,0.2479572664872906,0.23880637479202058,0.963094883949533,0.818362692297374,-0.021030261036230354,0.37832497848504787,False
lear-no-wsi-solar,lear,0.07920139803944833,0.07462556791306643,0.9422253869293723,0.7910544283176171,0.04084267476193567,0.10363534037943269,False
mcd30-no-wsi-solar,mcd30,0.14099481727391217,0.1327777716553244,0.9417209385602846,0.2879800834751205,0.04273183992732985,0.08167726354381286,False
xgboost-no-wsi-wind,xgboost,0.24535890237958205,0.22902465384269147,0.933427120929891,0.9741687375723616,-0.08786505039015143,0.00022645453574255826,False
lear-with-wsi-solar,lear,0.07524735839042433,0.06979258526100955,0.9275087757750585,0.670038542564735,0.026599937700367823,0.2892871181918297,False
prophet-with-wsi-wind,prophet,0.24580984574029044,0.22793031274368272,0.9272627467676853,0.6125558166752995,-0.037032966976198074,0.12072851684416577,False
sarimax-no-wsi-wind,sarimax,0.2541133000053424,0.23368300250731583,0.9196016206251423,0.6069729713546155,-0.0019870883796719104,0.9336664626575406,False
sarimax-with-wsi-wind,sarimax,0.24926362323594395,0.2239826155346103,0.8985772277032034,0.3045589324613174,-0.011971559554822826,0.6160419858895411,False
mcd30-with-wsi-solar,mcd30,0.11773674081145993,0.1028132728364682,0.8732471455202779,0.03775455528478613,0.005153287761304196,0.8337711502506677,True
lear-no-wsi-wind,lear,0.14070136259598676,0.11826130857768656,0.840512887691535,0.10212544063547238,-0.09258840953541098,0.00021917813314618152,False
lear-with-wsi-wind,lear,0.13869786296337583,0.11638194796019093,0.8391041179266217,0.11675552425721174,-0.09461911640768365,0.00015857541329461302,False
nhits-no-wsi-solar,nhits,0.18083140379272622,0.14238387836212252,0.7873846874812005,0.02920992057335977,-0.12159584762711877,3.183693000657427e-07,True
prophet-with-wsi-solar,prophet,0.11871893524629111,0.09045279162606902,0.7619070322557905,0.1461323001857378,-0.03568773601181617,0.13483102721228835,False
nhits-with-wsi-solar,nhits,0.1000915244259846,0.06995235555557963,0.6988839060724648,0.19992563650236306,-0.13183808700040883,2.9145269444282827e-08,False
prophet-no-wsi-solar,prophet,0.12076028301798554,0.0842467667759352,0.6976363806913888,0.003508047286795924,-0.046621141947388145,0.05071651304551493,True
cnn-lstm-no-wsi-solar,cnn,0.11100611771615866,0.07475525783243296,0.6734336752824855,0.7055758699096588,-0.07944019918913134,0.0009333366750594823,False
lightgbm-with-wsi-solar,lightgbm,0.09351866960025931,0.053256869983787994,0.5694784817986794,0.10045952295115058,-0.12050821561130812,4.0589887749577876e-07,False
catboost-with-wsi-solar,catboost,0.1404549391679294,0.0757401394260737,0.5392486720279591,9.759235096020461e-05,-0.1550364294705843,6.424431547583219e-11,True
lightgbm-no-wsi-solar,lightgbm,0.07822831857667961,0.04191292261833393,0.5357768565260772,0.10066595619543992,-0.11291354391027578,2.087512567485955e-06,False
random-forest-with-wsi-solar,random,0.09573328815783795,0.05007902075951053,0.523109795173273,0.0009562433781899035,-0.14362499195801864,1.4723647173251415e-09,True
random-forest-no-wsi-solar,random,0.09759262403737842,0.04933163713848378,0.5054853030654195,0.0005172297568034049,-0.1393884142084414,4.432393665452172e-09,True
catboost-no-wsi-solar,catboost,0.0954482145339131,0.04804104499733071,0.5033205202624461,0.11905794499603597,-0.12397119119696613,1.8594009596546786e-07,False
cnn-lstm-with-wsi-solar,cnn,0.07977021042404316,0.037840468348403974,0.4743684158190294,0.0763170006542457,-0.12052459979639597,5.820694416651753e-07,False
xgboost-no-wsi-solar,xgboost,0.09148739915459142,0.040925373962667974,0.4473334507358118,0.0018432486662009987,-0.1442586545968439,1.2451061054966473e-09,True
xgboost-with-wsi-solar,xgboost,0.08443714444899748,0.03204787240422192,0.3795470892976464,0.018923885273885162,-0.11306030246636871,2.0244402260068924e-06,True
