file,output_file,attribute,rows,missing_replaced,outliers_removed,nan_imputed,mean_imputations,median_imputations
Data\Bundesland_aggregation\wind_synop_by_bundesland\Baden-Wuerttemberg.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Baden-Wuerttemberg.csv,wind_synop,254729,0,9466,45354,0,45354
Data\Bundesland_aggregation\wind_synop_by_bundesland\Bayern.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Bayern.csv,wind_synop,409953,0,15022,51511,0,51511
Data\Bundesland_aggregation\wind_synop_by_bundesland\Berlin.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Berlin.csv,wind_synop,26352,0,420,9209,0,9209
Data\Bundesland_aggregation\wind_synop_by_bundesland\Brandenburg.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Brandenburg.csv,wind_synop,158099,0,3437,12997,0,12997
Data\Bundesland_aggregation\wind_synop_by_bundesland\Bremen.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Bremen.csv,wind_synop,17568,0,323,518,0,518
Data\Bundesland_aggregation\wind_synop_by_bundesland\Hamburg.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Hamburg.csv,wind_synop,24200,0,258,290,0,290
Data\Bundesland_aggregation\wind_synop_by_bundesland\Hessen.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Hessen.csv,wind_synop,158111,0,3653,48421,0,48421
Data\Bundesland_aggregation\wind_synop_by_bundesland\Mecklenburg-Vorpommern.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Mecklenburg-Vorpommern.csv,wind_synop,175514,0,4917,24289,0,24289
Data\Bundesland_aggregation\wind_synop_by_bundesland\Niedersachsen.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Niedersachsen.csv,wind_synop,242514,0,5561,34187,0,34187
Data\Bundesland_aggregation\wind_synop_by_bundesland\Nordrhein-Westfalen.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Nordrhein-Westfalen.csv,wind_synop,166774,0,3800,13641,0,13641
Data\Bundesland_aggregation\wind_synop_by_bundesland\Rheinland-Pfalz.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Rheinland-Pfalz.csv,wind_synop,92175,0,2255,15940,0,15940
Data\Bundesland_aggregation\wind_synop_by_bundesland\Saarland.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Saarland.csv,wind_synop,26352,0,506,690,0,690
Data\Bundesland_aggregation\wind_synop_by_bundesland\Sachsen-Anhalt.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Sachsen-Anhalt.csv,wind_synop,122976,0,6251,15769,0,15769
Data\Bundesland_aggregation\wind_synop_by_bundesland\Sachsen.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Sachsen.csv,wind_synop,158111,0,5417,23403,0,23403
Data\Bundesland_aggregation\wind_synop_by_bundesland\Schleswig-Holstein.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Schleswig-Holstein.csv,wind_synop,184185,0,4774,23691,0,23691
Data\Bundesland_aggregation\wind_synop_by_bundesland\Thueringen.csv,Preprocessed_Data\Bundesland_aggregation\wind_synop_by_bundesland\Thueringen.csv,wind_synop,105408,0,1934,19777,0,19777
Data\Germany_aggregation\wind_synop_germany\Germany_total.csv,Preprocessed_Data\Germany_aggregation\wind_synop_germany\Germany_total.csv,wind_synop,2323021,0,70282,341975,0,341975
Data\Bundesland_aggregation\precipitation_by_bundesland\Baden-Wuerttemberg.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Baden-Wuerttemberg.csv,precipitation,533937,0,67822,68878,0,68878
Data\Bundesland_aggregation\precipitation_by_bundesland\Bayern.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Bayern.csv,precipitation,866677,0,109150,112293,0,112293
Data\Bundesland_aggregation\precipitation_by_bundesland\Berlin.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Berlin.csv,precipitation,26352,0,2238,2239,0,2239
Data\Bundesland_aggregation\precipitation_by_bundesland\Brandenburg.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Brandenburg.csv,precipitation,210814,0,18523,18819,0,18819
Data\Bundesland_aggregation\precipitation_by_bundesland\Bremen.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Bremen.csv,precipitation,17568,0,2188,2353,0,2353
Data\Bundesland_aggregation\precipitation_by_bundesland\Hamburg.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Hamburg.csv,precipitation,17568,0,2388,2416,0,2416
Data\Bundesland_aggregation\precipitation_by_bundesland\Hessen.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Hessen.csv,precipitation,297950,0,35191,35947,0,35947
Data\Bundesland_aggregation\precipitation_by_bundesland\Mecklenburg-Vorpommern.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Mecklenburg-Vorpommern.csv,precipitation,219433,0,22412,22919,0,22919
Data\Bundesland_aggregation\precipitation_by_bundesland\Niedersachsen.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Niedersachsen.csv,precipitation,359888,0,46183,46974,0,46974
Data\Bundesland_aggregation\precipitation_by_bundesland\Nordrhein-Westfalen.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Nordrhein-Westfalen.csv,precipitation,373971,0,53447,54653,0,54653
Data\Bundesland_aggregation\precipitation_by_bundesland\Rheinland-Pfalz.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Rheinland-Pfalz.csv,precipitation,212309,0,26301,28576,0,28576
Data\Bundesland_aggregation\precipitation_by_bundesland\Saarland.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Saarland.csv,precipitation,60992,0,8875,9020,0,9020
Data\Bundesland_aggregation\precipitation_by_bundesland\Sachsen-Anhalt.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Sachsen-Anhalt.csv,precipitation,202032,0,18382,19217,0,19217
Data\Bundesland_aggregation\precipitation_by_bundesland\Sachsen.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Sachsen.csv,precipitation,249551,0,25815,26361,0,26361
Data\Bundesland_aggregation\precipitation_by_bundesland\Schleswig-Holstein.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Schleswig-Holstein.csv,precipitation,219463,0,29905,30477,0,30477
Data\Bundesland_aggregation\precipitation_by_bundesland\Thueringen.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Thueringen.csv,precipitation,245952,0,27075,28048,0,28048
