file,attribute,rows,missing_replaced,outliers_flagged,duplicates,completeness,type_errors,timestamp_errors
Data\Bundesland_aggregation\wind_synop_by_bundesland\Baden-Wuerttemberg.csv,wind_synop,254729,71831,9466,245945,90.6,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Bayern.csv,wind_synop,409953,73590,15022,401169,94.02,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Berlin.csv,wind_synop,26352,17603,420,17568,77.73,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Brandenburg.csv,wind_synop,158099,19120,3437,149315,95.97,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Bremen.csv,wind_synop,17568,390,323,8784,99.26,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Hamburg.csv,wind_synop,24200,64,258,15416,99.91,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Hessen.csv,wind_synop,158111,89536,3653,149327,81.12,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Mecklenburg-Vorpommern.csv,wind_synop,175514,38744,4917,166730,92.64,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Niedersachsen.csv,wind_synop,242514,57442,5561,233730,92.1,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Nordrhein-Westfalen.csv,wind_synop,166774,19723,3800,157990,96.06,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Rheinland-Pfalz.csv,wind_synop,92175,27371,2255,83391,90.1,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Saarland.csv,wind_synop,26352,368,506,17568,99.53,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Sachsen-Anhalt.csv,wind_synop,122976,19205,6251,114192,94.79,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Sachsen.csv,wind_synop,158111,35977,5417,149327,92.42,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Schleswig-Holstein.csv,wind_synop,184185,37841,4774,175401,93.15,[],[]
Data\Bundesland_aggregation\wind_synop_by_bundesland\Thueringen.csv,wind_synop,105408,35686,1934,96624,88.71,[],[]
Data\Germany_aggregation\wind_synop_germany\Germany_total.csv,wind_synop,2323021,544491,70282,2314237,92.19,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Baden-Wuerttemberg.csv,precipitation,533937,378088,169532,525153,82.3,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Bayern.csv,precipitation,866677,601625,340164,857893,82.65,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Berlin.csv,precipitation,26352,11796,9934,17568,88.81,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Brandenburg.csv,precipitation,210814,114883,70503,202030,86.38,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Bremen.csv,precipitation,17568,482,2188,8784,99.31,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Hamburg.csv,precipitation,17568,8851,6516,8784,87.4,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Hessen.csv,precipitation,297950,203174,91134,289166,82.95,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Mecklenburg-Vorpommern.csv,precipitation,219433,98003,92152,210649,88.83,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Niedersachsen.csv,precipitation,359888,230192,119831,351104,84.01,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Nordrhein-Westfalen.csv,precipitation,373971,254334,135950,365187,83.0,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Rheinland-Pfalz.csv,precipitation,212309,157151,67361,203525,81.5,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Saarland.csv,precipitation,60992,35041,22179,52208,85.64,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Sachsen-Anhalt.csv,precipitation,202032,125737,65160,193248,84.44,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Sachsen.csv,precipitation,249551,141861,95501,240767,85.79,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Schleswig-Holstein.csv,precipitation,219463,97916,82650,210679,88.85,[],[]
Data\Bundesland_aggregation\precipitation_by_bundesland\Thueringen.csv,precipitation,245952,169172,90388,237168,82.8,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Baden-Württemberg_aggregated.csv,temperature,8784,0,840,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Bayern_aggregated.csv,temperature,8784,0,549,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Berlin_aggregated.csv,temperature,8784,0,17,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Brandenburg_aggregated.csv,temperature,8784,0,411,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Bremen_aggregated.csv,temperature,8784,0,474,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Hamburg_aggregated.csv,temperature,8784,0,458,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Hessen_aggregated.csv,temperature,8784,0,735,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Mecklenburg-Vorpommern_aggregated.csv,temperature,8784,0,1334,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Niedersachsen_aggregated.csv,temperature,8784,0,1036,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Nordrhein-Westfalen_aggregated.csv,temperature,8784,0,886,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Rheinland-Pfalz_aggregated.csv,temperature,8784,0,1065,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Saarland_aggregated.csv,temperature,8784,0,785,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Sachsen-Anhalt_aggregated.csv,temperature,8784,0,1194,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Sachsen_aggregated.csv,temperature,8784,0,568,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Schleswig-Holstein_aggregated.csv,temperature,8784,0,992,0,100.0,[],[]
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Thüringen_aggregated.csv,temperature,8784,0,568,0,100.0,[],[]
Data\Germany_aggregation\Temp_Germany_Aggregated\Temp_Germany_aggregated.csv,temperature,8784,0,340,0,100.0,[],[]
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Baden-Württemberg_aggregated.csv,cloudiness,8784,0,686,0,100.0,[],[]
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Bayern_aggregated.csv,cloudiness,8784,0,609,0,100.0,[],[]
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Berlin_aggregated.csv,cloudiness,8784,0,52,0,100.0,[],[]
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Brandenburg_aggregated.csv,cloudiness,8784,0,792,0,100.0,[],[]
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Bremen_aggregated.csv,cloudiness,8784,0,1000,0,100.0,[],[]
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Hessen_aggregated.csv,cloudiness,8784,0,2299,0,100.0,[],[]
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Mecklenburg-Vorpommern_aggregated.csv,cloudiness,8784,0,1269,0,100.0,[],[]
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Niedersachsen_aggregated.csv,cloudiness,8784,0,523,0,100.0,[],[]
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Nordrhein-Westfalen_aggregated.csv,cloudiness,8784,0,2590,0,100.0,[],[]
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Rheinland-Pfalz_aggregated.csv,cloudiness,8784,0,472,0,100.0,[],[]
Data\Bundesland_aggregation\Cloudness_Bundesland_Aggregated\Sachsen-Anhalt_aggregated.csv,cloudiness,8784,0,934,0,100.0,[],[]
