file,output_file,attribute,rows_before,rows_after,rows_removed,missing_replaced,outliers_removed,nan_rows_removed,data_loss_percent
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Baden-Württemberg_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Baden-Württemberg_aggregated.csv,temperature,8784,8586,198,0,198,0,2.25
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Bayern_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Bayern_aggregated.csv,temperature,8784,8726,58,0,58,0,0.66
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Berlin_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Berlin_aggregated.csv,temperature,8784,8778,6,0,6,0,0.07
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Brandenburg_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Brandenburg_aggregated.csv,temperature,8784,8606,178,0,178,0,2.03
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Bremen_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Bremen_aggregated.csv,temperature,8784,8586,198,0,198,0,2.25
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Hamburg_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Hamburg_aggregated.csv,temperature,8784,8732,52,0,52,0,0.59
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Hessen_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Hessen_aggregated.csv,temperature,8784,8405,379,0,379,0,4.31
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Mecklenburg-Vorpommern_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Mecklenburg-Vorpommern_aggregated.csv,temperature,8784,8056,728,0,728,0,8.29
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Niedersachsen_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Niedersachsen_aggregated.csv,temperature,8784,8398,386,0,386,0,4.39
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Nordrhein-Westfalen_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Nordrhein-Westfalen_aggregated.csv,temperature,8784,8188,596,0,596,0,6.79
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Rheinland-Pfalz_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Rheinland-Pfalz_aggregated.csv,temperature,8784,8408,376,0,376,0,4.28
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Saarland_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Saarland_aggregated.csv,temperature,8784,8583,201,0,201,0,2.29
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Sachsen-Anhalt_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Sachsen-Anhalt_aggregated.csv,temperature,8784,7953,831,0,831,0,9.46
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Sachsen_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Sachsen_aggregated.csv,temperature,8784,8429,355,0,355,0,4.04
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Schleswig-Holstein_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Schleswig-Holstein_aggregated.csv,temperature,8784,8281,503,0,503,0,5.73
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Thüringen_aggregated.csv,Data\Bundesland_aggregation\Temp_Bundesland_Aggregated_preprocessed\Thüringen_aggregated.csv,temperature,8784,8477,307,0,307,0,3.49
Data\Germany_aggregation\Temp_Germany_Aggregated\Temp_Germany_aggregated.csv,Data\Germany_aggregation\Temp_Germany_Aggregated_preprocessed\Temp_Germany_aggregated.csv,temperature,8784,8750,34,0,34,0,0.39
