MESS_DATUM,TT_TU_mean,RF_TU_mean,QN_9_mean,STATION_COUNT,STATIONS_CONTRIBUTING
2024-01-01 00:00:00,4.34,80.38,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
2024-01-01 01:00:00,4.43,80.85,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
2024-01-01 02:00:00,4.42,82.0,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
2024-01-01 03:00:00,4.43,82.48,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
2024-01-01 04:00:00,4.46,82.23,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
2024-01-01 05:00:00,4.4,81.59,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
2024-01-01 06:00:00,4.39,80.9,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
2024-01-01 07:00:00,4.33,80.57,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
2024-01-01 08:00:00,4.35,80.69,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
2024-01-01 09:00:00,4.85,79.25,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
2024-01-01 10:00:00,5.57,76.41,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
2024-01-01 11:00:00,6.08,73.48,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
2024-01-01 12:00:00,6.37,72.1,3.0,61,"257,259,755,757,1197,1214,1224,1255,1346,1443,1468,1602,2074,2485,2575,2638,2712,2812,2814,2886,2953,3268,3278,3362,3402,3603,3734,3761,3925,3927,4094,4160,4169,4175,4177,4189,4300,4349,4703,4887,4928,4931,5229,5275,5562,5664,5688,5731,5906,6258,6259,6260,6262,6263,6275,7187,7331,7403,13674,13965,15444"
