MESS_DATUM,TT_TU_mean,RF_TU_mean,QN_9_mean,STATION_COUNT,STATIONS_CONTRIBUTING
2024-01-01 00:00:00,7.03,82.67,3.0,3,"1228,1975,1981"
2024-01-01 01:00:00,6.9,83.67,3.0,3,"1228,1975,1981"
2024-01-01 02:00:00,7.07,83.67,3.0,3,"1228,1975,1981"
2024-01-01 03:00:00,6.97,83.33,3.0,3,"1228,1975,1981"
2024-01-01 04:00:00,7.17,84.0,3.0,3,"1228,1975,1981"
2024-01-01 05:00:00,7.37,84.67,3.0,3,"1228,1975,1981"
2024-01-01 06:00:00,7.5,82.33,3.0,3,"1228,1975,1981"
2024-01-01 07:00:00,7.53,83.33,3.0,3,"1228,1975,1981"
2024-01-01 08:00:00,7.27,87.0,3.0,3,"1228,1975,1981"
2024-01-01 09:00:00,7.3,86.67,3.0,3,"1228,1975,1981"
2024-01-01 10:00:00,7.4,90.0,3.0,3,"1228,1975,1981"
2024-01-01 11:00:00,7.8,86.67,3.0,3,"1228,1975,1981"
2024-01-01 12:00:00,7.8,85.33,3.0,3,"1228,1975,1981"
2024-01-01 13:00:00,8.0,84.0,3.0,3,"1228,1975,1981"
2024-01-01 14:00:00,8.0,82.0,3.0,3,"1228,1975,1981"
2024-01-01 15:00:00,7.33,87.0,3.0,3,"1228,1975,1981"
2024-01-01 16:00:00,7.37,87.0,3.0,3,"1228,1975,1981"
2024-01-01 17:00:00,7.03,88.0,3.0,3,"1228,1975,1981"
2024-01-01 18:00:00,6.97,87.0,3.0,3,"1228,1975,1981"
2024-01-01 19:00:00,6.93,86.0,3.0,3,"1228,1975,1981"
2024-01-01 20:00:00,6.57,86.0,3.0,3,"1228,1975,1981"
2024-01-01 21:00:00,6.77,84.67,3.0,3,"1228,1975,1981"
2024-01-01 22:00:00,6.37,85.67,3.0,3,"1228,1975,1981"
2024-01-01 23:00:00,5.9,87.33,3.0,3,"1228,1975,1981"
2024-01-02 00:00:00,5.7,89.67,3.0,3,"1228,1975,1981"
2024-01-02 01:00:00,5.7,90.33,3.0,3,"1228,1975,1981"
2024-01-02 02:00:00,5.43,90.33,3.0,3,"1228,1975,1981"
2024-01-02 03:00:00,5.1,91.33,3.0,3,"1228,1975,1981"
2024-01-02 04:00:00,5.07,91.33,3.0,3,"1228,1975,1981"
2024-01-02 05:00:00,5.1,92.0,3.0,3,"1228,1975,1981"
2024-01-02 06:00:00,5.43,90.67,3.0,3,"1228,1975,1981"
2024-01-02 07:00:00,5.6,92.0,3.0,3,"1228,1975,1981"
2024-01-02 08:00:00,5.43,94.0,3.0,3,"1228,1975,1981"
2024-01-02 09:00:00,5.4,96.0,3.0,3,"1228,1975,1981"
2024-01-02 10:00:00,5.7,95.67,3.0,3,"1228,1975,1981"
2024-01-02 11:00:00,6.1,96.0,3.0,3,"1228,1975,1981"
2024-01-02 12:00:00,6.83,97.0,3.0,3,"1228,1975,1981"
2024-01-02 13:00:00,6.93,95.67,3.0,3,"1228,1975,1981"
2024-01-02 14:00:00,6.93,96.0,3.0,3,"1228,1975,1981"
2024-01-02 15:00:00,6.83,97.0,3.0,3,"1228,1975,1981"
2024-01-02 16:00:00,6.93,97.33,3.0,3,"1228,1975,1981"
2024-01-02 17:00:00,6.97,98.67,3.0,3,"1228,1975,1981"
2024-01-02 18:00:00,7.1,98.67,3.0,3,"1228,1975,1981"
2024-01-02 19:00:00,7.23,98.0,3.0,3,"1228,1975,1981"
2024-01-02 20:00:00,7.33,98.33,3.0,3,"1228,1975,1981"
2024-01-02 21:00:00,8.0,98.33,3.0,3,"1228,1975,1981"
2024-01-02 22:00:00,8.4,98.33,3.0,3,"1228,1975,1981"
2024-01-02 23:00:00,9.0,96.67,3.0,3,"1228,1975,1981"
2024-01-03 00:00:00,9.33,95.0,3.0,3,"1228,1975,1981"
2024-01-03 01:00:00,9.83,90.33,3.0,3,"1228,1975,1981"
2024-01-03 02:00:00,9.8,89.67,3.0,3,"1228,1975,1981"
2024-01-03 03:00:00,9.27,92.67,3.0,3,"1228,1975,1981"
2024-01-03 04:00:00,8.63,90.67,3.0,3,"1228,1975,1981"
2024-01-03 05:00:00,8.47,90.33,3.0,3,"1228,1975,1981"
2024-01-03 06:00:00,8.5,93.0,3.0,3,"1228,1975,1981"
2024-01-03 07:00:00,8.4,92.0,3.0,3,"1228,1975,1981"
2024-01-03 08:00:00,8.33,91.33,3.0,3,"1228,1975,1981"
2024-01-03 09:00:00,8.8,85.67,3.0,3,"1228,1975,1981"
2024-01-03 10:00:00,9.0,82.33,3.0,3,"1228,1975,1981"
2024-01-03 11:00:00,9.27,78.67,3.0,3,"1228,1975,1981"
2024-01-03 12:00:00,8.83,82.0,3.0,3,"1228,1975,1981"
2024-01-03 13:00:00,8.8,82.33,3.0,3,"1228,1975,1981"
2024-01-03 14:00:00,8.43,84.33,3.0,3,"1228,1975,1981"
2024-01-03 15:00:00,7.87,88.33,3.0,3,"1228,1975,1981"
2024-01-03 16:00:00,8.4,88.0,3.0,2,"1975,1981"
2024-01-03 17:00:00,7.47,89.33,3.0,3,"1228,1975,1981"
2024-01-03 18:00:00,7.5,87.0,3.0,3,"1228,1975,1981"
2024-01-03 19:00:00,7.3,87.33,3.0,3,"1228,1975,1981"
2024-01-03 20:00:00,7.1,84.0,3.0,3,"1228,1975,1981"
2024-01-03 21:00:00,6.83,84.67,3.0,3,"1228,1975,1981"
2024-01-03 22:00:00,6.53,83.33,3.0,3,"1228,1975,1981"
2024-01-03 23:00:00,6.27,87.67,3.0,3,"1228,1975,1981"
2024-01-04 00:00:00,5.57,88.67,3.0,3,"1228,1975,1981"
2024-01-04 01:00:00,4.97,87.33,3.0,3,"1228,1975,1981"
2024-01-04 02:00:00,4.6,85.0,3.0,3,"1228,1975,1981"
2024-01-04 03:00:00,3.9,88.33,3.0,3,"1228,1975,1981"
2024-01-04 04:00:00,3.37,85.0,3.0,3,"1228,1975,1981"
2024-01-04 05:00:00,2.67,86.33,3.0,3,"1228,1975,1981"
2024-01-04 06:00:00,2.0,90.0,3.0,3,"1228,1975,1981"
2024-01-04 07:00:00,1.6,91.67,3.0,3,"1228,1975,1981"
2024-01-04 08:00:00,1.5,90.0,3.0,3,"1228,1975,1981"
2024-01-04 09:00:00,1.33,88.67,3.0,3,"1228,1975,1981"
2024-01-04 10:00:00,1.53,87.67,3.0,3,"1228,1975,1981"
2024-01-04 11:00:00,1.43,86.67,3.0,3,"1228,1975,1981"
2024-01-04 12:00:00,1.5,86.67,3.0,3,"1228,1975,1981"
2024-01-04 13:00:00,1.57,82.67,3.0,3,"1228,1975,1981"
2024-01-04 14:00:00,1.6,82.67,3.0,3,"1228,1975,1981"
2024-01-04 15:00:00,1.53,83.67,3.0,3,"1228,1975,1981"
2024-01-04 16:00:00,1.67,82.0,3.0,3,"1228,1975,1981"
2024-01-04 17:00:00,1.43,84.0,3.0,3,"1228,1975,1981"
2024-01-04 18:00:00,1.67,84.33,3.0,3,"1228,1975,1981"
2024-01-04 19:00:00,1.47,84.33,3.0,3,"1228,1975,1981"
2024-01-04 20:00:00,1.37,88.67,3.0,3,"1228,1975,1981"
2024-01-04 21:00:00,1.2,88.67,3.0,3,"1228,1975,1981"
2024-01-04 22:00:00,1.37,87.33,3.0,3,"1228,1975,1981"
2024-01-04 23:00:00,1.3,85.67,3.0,3,"1228,1975,1981"
2024-01-05 00:00:00,1.3,85.67,3.0,3,"1228,1975,1981"
2024-01-05 01:00:00,1.43,87.33,3.0,3,"1228,1975,1981"
2024-01-05 02:00:00,1.23,87.0,3.0,3,"1228,1975,1981"
2024-01-05 03:00:00,1.23,90.0,3.0,3,"1228,1975,1981"
2024-01-05 04:00:00,1.3,91.0,3.0,3,"1228,1975,1981"
2024-01-05 05:00:00,1.03,93.67,3.0,3,"1228,1975,1981"
2024-01-05 06:00:00,1.13,93.33,3.0,3,"1228,1975,1981"
2024-01-05 07:00:00,1.3,93.0,3.0,3,"1228,1975,1981"
2024-01-05 08:00:00,1.33,93.33,3.0,3,"1228,1975,1981"
2024-01-05 09:00:00,1.23,92.33,3.0,3,"1228,1975,1981"
2024-01-05 10:00:00,1.4,90.67,3.0,3,"1228,1975,1981"
2024-01-05 11:00:00,1.33,90.67,3.0,3,"1228,1975,1981"
2024-01-05 12:00:00,1.0,92.0,3.0,3,"1228,1975,1981"
2024-01-05 13:00:00,1.0,93.0,3.0,3,"1228,1975,1981"
2024-01-05 14:00:00,1.1,93.33,3.0,3,"1228,1975,1981"
2024-01-05 15:00:00,0.77,93.33,3.0,3,"1228,1975,1981"
2024-01-05 16:00:00,0.87,91.33,3.0,3,"1228,1975,1981"
2024-01-05 17:00:00,0.73,93.67,3.0,3,"1228,1975,1981"
2024-01-05 18:00:00,0.7,93.33,3.0,3,"1228,1975,1981"
2024-01-05 19:00:00,0.73,93.67,3.0,3,"1228,1975,1981"
2024-01-05 20:00:00,0.67,92.67,3.0,3,"1228,1975,1981"
