MESS_DATUM,TT_TU_mean,RF_TU_mean,QN_9_mean,STATION_COUNT,STATIONS_CONTRIBUTING
2024-01-01 00:00:00,6.95,77.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 01:00:00,6.78,79.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 02:00:00,6.63,80.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 03:00:00,6.25,82.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 04:00:00,5.88,85.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 05:00:00,5.95,84.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 06:00:00,5.95,83.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 07:00:00,5.72,83.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 08:00:00,6.02,82.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 09:00:00,6.22,80.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 10:00:00,6.48,79.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 11:00:00,6.8,78.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 12:00:00,7.25,75.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 13:00:00,7.48,73.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 14:00:00,7.53,73.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 15:00:00,7.45,73.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 16:00:00,7.03,75.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 17:00:00,6.87,75.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 18:00:00,6.8,77.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 19:00:00,6.77,79.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 20:00:00,6.48,83.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 21:00:00,6.55,83.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 22:00:00,6.67,83.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-01 23:00:00,6.68,82.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 00:00:00,6.17,89.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 01:00:00,6.17,92.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 02:00:00,6.23,93.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 03:00:00,6.52,92.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 04:00:00,6.83,93.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 05:00:00,7.12,93.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 06:00:00,7.33,92.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 07:00:00,7.47,93.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 08:00:00,7.65,92.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 09:00:00,7.7,92.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 10:00:00,7.5,93.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 11:00:00,7.58,92.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 12:00:00,7.75,93.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 13:00:00,7.8,92.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 14:00:00,7.87,93.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 15:00:00,7.8,93.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 16:00:00,7.77,93.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 17:00:00,7.97,93.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 18:00:00,8.33,91.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 19:00:00,8.4,92.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 20:00:00,8.42,92.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 21:00:00,8.73,90.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 22:00:00,8.83,90.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-02 23:00:00,9.07,87.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 00:00:00,8.7,88.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 01:00:00,9.23,86.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 02:00:00,9.32,84.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 03:00:00,9.23,86.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 04:00:00,9.25,83.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 05:00:00,9.03,83.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 06:00:00,8.9,84.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 07:00:00,8.7,91.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 08:00:00,8.9,90.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 09:00:00,9.05,87.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 10:00:00,9.73,84.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 11:00:00,8.7,87.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 12:00:00,9.28,88.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 13:00:00,9.58,83.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 14:00:00,9.63,85.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 15:00:00,9.7,84.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 16:00:00,9.5,82.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 17:00:00,9.08,85.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 18:00:00,7.8,85.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 19:00:00,7.58,90.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 20:00:00,8.1,88.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 21:00:00,8.0,88.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 22:00:00,7.78,86.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-03 23:00:00,7.98,85.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 00:00:00,7.75,89.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 01:00:00,7.83,85.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 02:00:00,7.68,87.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 03:00:00,7.7,87.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 04:00:00,7.43,89.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 05:00:00,7.47,88.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 06:00:00,7.28,90.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 07:00:00,7.25,86.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 08:00:00,7.18,84.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 09:00:00,7.23,83.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 10:00:00,7.4,83.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 11:00:00,7.67,80.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 12:00:00,7.38,82.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 13:00:00,7.85,81.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 14:00:00,8.02,79.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 15:00:00,7.95,81.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 16:00:00,7.53,84.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 17:00:00,7.25,87.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 18:00:00,7.0,90.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 19:00:00,6.7,90.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 20:00:00,6.25,92.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 21:00:00,5.85,92.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 22:00:00,5.98,89.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-04 23:00:00,6.02,87.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 00:00:00,5.8,86.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 01:00:00,6.15,83.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 02:00:00,5.95,83.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 03:00:00,6.22,83.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 04:00:00,6.88,80.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 05:00:00,6.9,83.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 06:00:00,6.95,83.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 07:00:00,6.87,83.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 08:00:00,6.85,85.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 09:00:00,7.07,82.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 10:00:00,7.1,82.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 11:00:00,7.67,77.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 12:00:00,8.02,71.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 13:00:00,8.02,68.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 14:00:00,7.95,68.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 15:00:00,7.58,69.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 16:00:00,6.45,74.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 17:00:00,5.52,77.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 18:00:00,4.58,83.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 19:00:00,4.13,85.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 20:00:00,3.33,88.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 21:00:00,2.8,90.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 22:00:00,2.73,91.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-05 23:00:00,1.77,95.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 00:00:00,2.02,93.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 01:00:00,2.38,94.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 02:00:00,3.03,93.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 03:00:00,3.48,92.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 04:00:00,3.6,93.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 05:00:00,3.68,94.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 06:00:00,3.9,93.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 07:00:00,4.03,93.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 08:00:00,4.25,92.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 09:00:00,4.47,91.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 10:00:00,4.75,90.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 11:00:00,5.22,88.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 12:00:00,5.4,86.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 13:00:00,5.57,85.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 14:00:00,5.43,84.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 15:00:00,5.3,84.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 16:00:00,4.95,84.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 17:00:00,4.63,84.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 18:00:00,4.37,83.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 19:00:00,4.13,85.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 20:00:00,3.82,86.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 21:00:00,3.7,85.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 22:00:00,3.6,84.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-06 23:00:00,3.45,83.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-07 00:00:00,3.33,83.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-07 01:00:00,3.03,83.33,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-07 02:00:00,2.82,82.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-07 03:00:00,2.58,83.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-07 04:00:00,2.43,84.0,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-07 05:00:00,2.33,84.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-07 06:00:00,2.3,84.83,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-07 07:00:00,2.28,85.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-07 08:00:00,2.43,85.67,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-07 09:00:00,2.57,85.5,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-07 10:00:00,2.73,85.17,3.0,6,"460,3545,3904,4336,5029,6217"
2024-01-07 11:00:00,2.83,84.17,3.0,6,"460,3545,3904,4336,5029,6217"
