MESS_DATUM,TT_TU_mean,RF_TU_mean,QN_9_mean,STATION_COUNT,STATIONS_CONTRIBUTING
2024-01-01 00:00:00,6.67,83.56,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 01:00:00,6.47,83.93,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 02:00:00,6.38,83.89,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 03:00:00,6.35,84.56,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 04:00:00,6.39,84.85,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 05:00:00,6.56,84.67,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 06:00:00,6.7,84.19,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 07:00:00,6.77,83.63,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 08:00:00,6.69,84.56,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 09:00:00,6.65,86.56,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 10:00:00,6.57,88.04,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 11:00:00,6.47,91.19,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 12:00:00,6.56,91.96,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 13:00:00,6.68,91.63,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 14:00:00,6.69,91.3,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 15:00:00,6.65,90.7,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 16:00:00,6.54,90.56,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 17:00:00,6.51,90.04,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 18:00:00,6.37,89.93,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 19:00:00,6.33,89.67,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 20:00:00,6.2,90.52,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 21:00:00,6.12,91.0,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 22:00:00,5.96,90.19,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-01 23:00:00,5.73,90.74,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-02 00:00:00,5.39,91.85,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-02 01:00:00,4.99,92.48,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-02 02:00:00,4.48,93.81,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-02 03:00:00,4.16,94.67,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-02 04:00:00,4.05,94.81,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-02 05:00:00,3.96,94.41,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-02 06:00:00,4.04,93.33,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
2024-01-02 07:00:00,4.16,92.48,3.0,27,"1200,1266,1666,1736,2115,2303,2306,2429,2437,2564,2907,2961,3032,3086,3897,4039,4393,4466,5280,5516,5930,6105,6163,7298,7427,19171,19172"
