MESS_DATUM,TT_TU_mean,RF_TU_mean,QN_9_mean,STATION_COUNT,STATIONS_CONTRIBUTING
2024-01-01 00:00:00,5.63,76.46,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 01:00:00,5.47,77.11,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 02:00:00,5.42,78.11,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 03:00:00,5.29,79.57,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 04:00:00,5.0,81.96,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 05:00:00,4.75,82.54,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 06:00:00,4.7,81.75,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 07:00:00,4.67,81.43,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 08:00:00,4.91,80.68,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 09:00:00,5.38,78.04,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 10:00:00,5.75,75.36,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 11:00:00,5.99,74.14,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 12:00:00,6.11,74.86,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 13:00:00,5.82,78.25,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 14:00:00,5.7,79.39,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 15:00:00,5.39,81.29,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 16:00:00,5.18,81.79,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 17:00:00,4.9,82.54,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 18:00:00,4.53,82.93,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 19:00:00,4.2,83.64,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 20:00:00,3.94,84.46,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
2024-01-01 21:00:00,3.85,86.0,3.0,28,"198,379,896,1270,1411,1612,2444,2618,2925,3034,3204,3231,3289,3513,4464,4501,4605,4748,4997,5335,5424,6272,6305,7321,7368,7419,7428,13711"
