Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland,Temp_data_file_name,CloudType_data_file_name
00071,20091201,20191231,759,48.2156,8.9784,Albstadt-Badkap,Baden-Württemberg,stundenwerte_TU_00071_20091201_20191231_hist.zip,stundenwerte_CS_00071_20041022_20200101_hist.zip
00257,20021101,20251022,240,48.7270,8.2457,Baden-Baden-Geroldsau,Baden-Württemberg,stundenwerte_TU_00257_20021101_20241231_hist.zip,stundenwerte_CS_00257_20021101_20241231_hist.zip
00259,20040701,20251022,275,47.8064,7.6387,Müllheim,Baden-Württemberg,stundenwerte_TU_00259_20040701_20241231_hist.zip,stundenwerte_CS_00259_20040701_20241231_hist.zip
00474,19750601,19780601,599,48.1252,9.7639,Warthausen-Birkenhard,Baden-Württemberg,stundenwerte_TU_00474_19750601_19780601_hist.zip,
00755,20040601,20251022,340,49.5182,9.3213,"Buchen, Kr. Neckar-Odenwald",Baden-Württemberg,stundenwerte_TU_00755_20040601_20241231_hist.zip,stundenwerte_CS_00755_20040601_20241231_hist.zip
00757,20040601,20251022,445,47.9625,7.9983,Buchenbach,Baden-Württemberg,stundenwerte_TU_00757_20040601_20241231_hist.zip,stundenwerte_CS_00757_20040601_20241231_hist.zip
01197,19480101,20251022,463,48.9895,10.1312,Ellwangen-Rindelbach,Baden-Württemberg,stundenwerte_TU_01197_19480101_20241231_hist.zip,stundenwerte_CS_01197_20021101_20241231_hist.zip
01214,20040801,20251022,431,48.2012,8.1088,Elzach-Fisnacht,Baden-Württemberg,stundenwerte_TU_01214_20040801_20241231_hist.zip,stundenwerte_CS_01214_20040801_20241231_hist.zip
01224,20021201,20251022,201,48.1378,7.8351,Emmendingen-Mundingen,Baden-Württemberg,stundenwerte_TU_01224_20021201_20241231_hist.zip,stundenwerte_CS_01224_20021201_20241231_hist.zip
01239,20040701,20080923,540,47.8516,8.7673,Engen/Hegau,Baden-Württemberg,stundenwerte_TU_01239_20040701_20080923_hist.zip,stundenwerte_CS_01239_20040701_20080923_hist.zip
01255,20021201,20251022,226,49.1661,8.8483,Eppingen-Elsenz,Baden-Württemberg,stundenwerte_TU_01255_20021201_20241231_hist.zip,stundenwerte_CS_01255_20021201_20241231_hist.zip
01346,19520101,20251022,1486,47.8748,8.0038,Feldberg/Schwarzwald,Baden-Württemberg,stundenwerte_TU_01346_19520101_20241231_hist.zip,stundenwerte_CS_01346_19490101_20241231_hist.zip
01443,19510101,20251022,237,48.0232,7.8343,Freiburg,Baden-Württemberg,stundenwerte_TU_01443_19510101_20241231_hist.zip,stundenwerte_CS_01443_19490101_20241231_hist.zip
01468,19510101,20251022,797,48.4538,8.4090,Freudenstadt,Baden-Württemberg,stundenwerte_TU_01468_19510101_20241231_hist.zip,stundenwerte_CS_01468_19490101_20241231_hist.zip
01490,19650101,19770801,394,47.6454,9.4795,Friedrichshafen,Baden-Württemberg,stundenwerte_TU_01490_19650101_19770801_hist.zip,stundenwerte_CS_01490_19490101_20241231_hist.zip
01584,20090601,20241031,673,47.9242,8.6474,Geisingen,Baden-Württemberg,stundenwerte_TU_01584_20090601_20241031_hist.zip,stundenwerte_CS_01584_20090601_20241101_hist.zip
01602,20040701,20251022,177,48.4330,7.9930,Ohlsbach,Baden-Württemberg,stundenwerte_TU_01602_20040701_20241231_hist.zip,stundenwerte_CS_01602_20040701_20241231_hist.zip
02074,20040601,20251022,518,48.3752,8.9800,Hechingen,Baden-Württemberg,stundenwerte_TU_02074_20040601_20241231_hist.zip,stundenwerte_CS_02074_20040601_20241231_hist.zip
02080,20040701,20120912,110,49.4206,8.6676,Heidelberg,Baden-Württemberg,stundenwerte_TU_02080_20040701_20120912_hist.zip,stundenwerte_CS_02080_20040701_20120912_hist.zip
02081,19480101,19550101,561,49.3981,8.7251,Königstuhl,Baden-Württemberg,stundenwerte_TU_02081_19480101_19550101_hist.zip,
02088,20040601,20050512,522,48.6849,10.1420,Heidenheim/Brenz,Baden-Württemberg,stundenwerte_TU_02088_20040601_20050512_hist.zip,stundenwerte_CS_02088_20040601_20050512_hist.zip
02485,20110502,20251022,489,48.9170,9.6871,Kaisersbach-Cronhütte,Baden-Württemberg,stundenwerte_TU_02485_20110502_20241231_hist.zip,stundenwerte_CS_02485_20110502_20241231_hist.zip
02522,19480101,20081031,112,49.0382,8.3641,Karlsruhe,Baden-Württemberg,stundenwerte_TU_02522_19480101_20081031_hist.zip,stundenwerte_CS_02522_19490101_20081101_hist.zip
02575,20070523,20251022,432,49.1804,9.9800,Kirchberg/Jagst-Herboldshausen,Baden-Württemberg,stundenwerte_TU_02575_20070523_20241231_hist.zip,stundenwerte_CS_02575_20060901_20241231_hist.zip
02638,19650701,20251022,974,48.1054,8.7548,Klippeneck,Baden-Württemberg,stundenwerte_TU_02638_19650701_20241231_hist.zip,stundenwerte_CS_02638_19490101_20241231_hist.zip
02712,19710101,20251022,428,47.6952,9.1307,Konstanz,Baden-Württemberg,stundenwerte_TU_02712_19710101_20241231_hist.zip,stundenwerte_CS_02712_19520101_20241231_hist.zip
02812,19950101,20251022,156,48.3647,7.8280,Lahr,Baden-Württemberg,stundenwerte_TU_02812_19950101_20241231_hist.zip,stundenwerte_CS_02812_19920801_20241231_hist.zip
02814,19750601,20251022,687,48.5122,9.7644,Merklingen,Baden-Württemberg,stundenwerte_TU_02814_19750601_20241231_hist.zip,stundenwerte_CS_02814_20021101_20241231_hist.zip
02886,20020101,20251022,539,48.2175,9.9097,Laupheim,Baden-Württemberg,stundenwerte_TU_02886_20020101_20241231_hist.zip,stundenwerte_CS_02886_19890412_20241231_hist.zip
02953,20070401,20251022,854,47.8597,8.2308,Lenzkirch-Ruhbühl,Baden-Württemberg,stundenwerte_TU_02953_20070401_20241231_hist.zip,stundenwerte_CS_02953_20070401_20241231_hist.zip
03257,20040601,20251022,278,49.4797,9.7832,"Mergentheim, Bad",Baden-Württemberg,stundenwerte_TU_03257_20040601_20241231_hist.zip,stundenwerte_CS_03257_20040601_20241231_hist.zip
03268,20021101,20251022,900,48.1694,8.9433,Meßstetten-Appental,Baden-Württemberg,stundenwerte_TU_03268_20021101_20241231_hist.zip,stundenwerte_CS_03268_19930301_20241231_hist.zip
03278,20090401,20251022,354,48.5377,9.2734,Metzingen,Baden-Württemberg,stundenwerte_TU_03278_20090401_20241231_hist.zip,stundenwerte_CS_03278_20030101_20241231_hist.zip
03362,20020101,20251022,243,48.9721,8.8735,Mühlacker,Baden-Württemberg,stundenwerte_TU_03362_20020101_20241231_hist.zip,stundenwerte_CS_03362_19790101_20241231_hist.zip
03402,20021101,20251022,755,48.3851,9.4837,Münsingen-Apfelstetten,Baden-Württemberg,stundenwerte_TU_03402_20021101_20241231_hist.zip,stundenwerte_CS_03402_20021101_20241231_hist.zip
03603,20020101,20251022,459,49.3895,9.9666,Niederstetten,Baden-Württemberg,stundenwerte_TU_03603_20020101_20241231_hist.zip,stundenwerte_CS_03603_19930301_20241231_hist.zip
03605,19750601,19780601,451,48.5334,10.2427,Niederstotzingen,Baden-Württemberg,stundenwerte_TU_03605_19750601_19780601_hist.zip,
03671,19790101,19810401,280,48.6321,9.3261,Nürtingen,Baden-Württemberg,stundenwerte_TU_03671_19790101_19810401_hist.zip,
03734,20040701,20251022,232,49.1280,9.3525,Obersulm-Willsbach,Baden-Württemberg,stundenwerte_TU_03734_20040701_20241231_hist.zip,stundenwerte_CS_03734_20040701_20241231_hist.zip
03761,19550101,20251022,276,49.2070,9.5176,Öhringen,Baden-Württemberg,stundenwerte_TU_03761_19550101_20241231_hist.zip,stundenwerte_CS_03761_19490101_20241231_hist.zip
03925,20050901,20251022,332,48.9329,8.6973,Pforzheim-Ispringen,Baden-Württemberg,stundenwerte_TU_03925_20050901_20241231_hist.zip,stundenwerte_CS_03925_20050901_20241231_hist.zip
03927,20040701,20251022,630,47.9345,9.2869,Pfullendorf,Baden-Württemberg,stundenwerte_TU_03927_20040701_20241231_hist.zip,stundenwerte_CS_03927_20040701_20241231_hist.zip
04094,20040601,20251022,441,47.8062,9.6206,"Weingarten, Kr. Ravensburg",Baden-Württemberg,stundenwerte_TU_04094_20040601_20241231_hist.zip,stundenwerte_CS_04094_20040601_20241231_hist.zip
04160,20040701,20251022,478,48.7425,8.9240,Renningen-Ihinger Hof,Baden-Württemberg,stundenwerte_TU_04160_20040701_20241231_hist.zip,stundenwerte_CS_04160_20040701_20241231_hist.zip
