================================================================================
2024 DATA COVERAGE SUMMARY
================================================================================

Total number of station files: 633
Files with full 2024 data (>=95% coverage): 480
Percentage of files with full 2024 data: 75.83%

================================================================================
STATIONS WITH FULL 2024 DATA
================================================================================

Station 44: 2024-01-01 to 2024-12-31 (100.00%)
Station 73: 2024-01-01 to 2024-12-31 (100.00%)
Station 78: 2024-01-01 to 2024-12-31 (100.00%)
Station 91: 2024-01-01 to 2024-12-31 (100.00%)
Station 96: 2024-01-01 to 2024-12-31 (100.00%)
Station 125: 2024-01-01 to 2024-12-31 (99.66%)
Station 131: 2024-01-01 to 2024-12-31 (100.00%)
Station 142: 2024-01-01 to 2024-12-31 (100.00%)
Station 151: 2024-01-01 to 2024-12-31 (100.00%)
Station 154: 2024-01-01 to 2024-12-31 (100.00%)
Station 161: 2024-01-01 to 2024-12-31 (100.00%)
Station 164: 2024-01-01 to 2024-12-31 (100.00%)
Station 167: 2024-01-01 to 2024-12-31 (100.00%)
Station 183: 2024-01-01 to 2024-12-31 (100.00%)
Station 191: 2024-01-01 to 2024-12-31 (100.00%)
Station 198: 2024-01-01 to 2024-12-31 (100.00%)
Station 217: 2024-01-01 to 2024-12-31 (100.00%)
Station 222: 2024-01-01 to 2024-12-31 (100.00%)
Station 232: 2024-01-01 to 2024-12-31 (98.93%)
Station 257: 2024-01-01 to 2024-12-31 (100.00%)
Station 259: 2024-01-01 to 2024-12-31 (100.00%)
Station 282: 2024-01-01 to 2024-12-31 (100.00%)
Station 294: 2024-01-01 to 2024-12-31 (100.00%)
Station 298: 2024-01-01 to 2024-12-31 (99.99%)
Station 303: 2024-01-01 to 2024-12-31 (100.00%)
Station 314: 2024-01-01 to 2024-12-31 (100.00%)
Station 320: 2024-01-01 to 2024-12-31 (100.00%)
Station 330: 2024-01-01 to 2024-12-31 (100.00%)
Station 342: 2024-01-01 to 2024-12-31 (100.00%)
Station 368: 2024-01-01 to 2024-12-31 (99.95%)
Station 377: 2024-01-01 to 2024-12-31 (100.00%)
Station 379: 2024-01-01 to 2024-12-31 (100.00%)
Station 390: 2024-01-01 to 2024-12-31 (100.00%)
Station 403: 2024-01-01 to 2024-12-31 (100.00%)
Station 427: 2024-01-01 to 2024-12-31 (100.00%)
Station 433: 2024-01-01 to 2024-12-31 (100.00%)
Station 445: 2024-01-01 to 2024-12-31 (100.00%)
Station 460: 2024-01-01 to 2024-12-31 (100.00%)
Station 535: 2024-01-01 to 2024-12-31 (100.00%)
Station 555: 2024-01-01 to 2024-12-31 (100.00%)
Station 591: 2024-01-01 to 2024-12-31 (100.00%)
Station 596: 2024-01-01 to 2024-12-31 (100.00%)
Station 603: 2024-01-01 to 2024-12-31 (100.00%)
Station 617: 2024-01-01 to 2024-12-31 (100.00%)
Station 656: 2024-01-01 to 2024-12-31 (100.00%)
Station 662: 2024-01-01 to 2024-12-31 (100.00%)
Station 691: 2024-01-01 to 2024-12-31 (100.00%)
Station 701: 2024-01-01 to 2024-12-31 (100.00%)
Station 722: 2024-01-01 to 2024-12-31 (100.00%)
Station 755: 2024-01-01 to 2024-12-31 (100.00%)
Station 757: 2024-01-01 to 2024-12-31 (100.00%)
Station 760: 2024-01-01 to 2024-12-31 (100.00%)
Station 766: 2024-01-01 to 2024-12-31 (99.08%)
