Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,5.39612066566483,4.593029264345309,-6.7,17.3,17967
April,BE,Bundesland,5.247671627460393,4.533345140089225,-5.5,14.7,2083
April,BW,Bundesland,4.075902371177961,3.816354480425032,-7.4,16.3,44577
April,BY,Bundesland,3.8960997793085004,4.065537391203538,-23.8,15.0,74765
April,HB,Bundesland,6.4376388888888885,4.008536753251705,-5.2,14.6,1440
April,HE,Bundesland,4.626935503170995,4.177080322203245,-8.1,15.8,25071
April,HH,Bundesland,6.021888111888112,3.827493451658528,-5.6,14.6,2860
April,MV,Bundesland,5.454741935483871,4.280785193797865,-6.7,17.9,18600
April,NI,Bundesland,5.963724176437745,4.150949900974528,-8.1,17.4,35820
April,NW,Bundesland,5.758102841935178,4.076046550034575,-8.2,15.4,31563
April,RP,Bundesland,4.676769798467215,4.031570754139177,-7.3,14.5,17615
April,SH,Bundesland,5.739957662123089,3.8630455759372175,-6.8,14.4,19368
April,SL,Bundesland,4.943253968253968,4.005565948793885,-6.3,14.7,5040
April,SN,Bundesland,4.105269967653645,4.420467969716128,-9.6,14.4,20095
April,ST,Bundesland,5.032151560868051,4.469505792571885,-8.7,16.1,17234
April,TH,Bundesland,4.1847569444444455,4.153833093895858,-7.8,15.3,20160
August,BB,Bundesland,13.500887096774193,2.877594163057372,3.3,21.4,18600
August,BE,Bundesland,13.725,2.8569106728351503,7.3,20.5,2232
August,BW,Bundesland,14.731603937968288,2.8044672086375555,-4.6,24.2,45912
August,BY,Bundesland,14.865291050143856,2.766284474276787,-16.1,24.2,77856
August,HB,Bundesland,14.197633136094673,2.629048628003152,7.9,20.4,1352
August,HE,Bundesland,14.206520814811952,3.2107487017943748,2.7,24.0,25871
August,HH,Bundesland,14.37486541049798,2.55402695121005,8.1,20.7,2972
August,MV,Bundesland,13.66992563315825,2.645813799813886,4.0,21.6,19229
August,NI,Bundesland,14.108161718940275,2.7935328890118507,4.4,24.6,36953
August,NW,Bundesland,14.706799362080597,2.883517307386492,4.1,24.1,32606
August,RP,Bundesland,14.339920788057277,3.12399335760681,3.5,22.6,19694
August,SH,Bundesland,13.805223247692693,2.538187716295898,4.5,21.9,20045
August,SL,Bundesland,14.848146695430476,3.070204128522204,4.8,23.0,5099
August,SN,Bundesland,13.767108868060562,2.9023295395796733,4.0,21.5,20805
August,ST,Bundesland,13.40389931452972,3.066506446266806,1.0,20.7,17798
August,TH,Bundesland,13.617484588126787,3.0734503716440686,3.2,22.3,20601
December,BB,Bundesland,1.911490482847618,2.8401409711152863,-7.8,10.2,18598
December,BE,Bundesland,2.3202508960573476,2.79414004362163,-4.0,9.9,2232
December,BW,Bundesland,-0.3714737843879335,3.3144954781174487,-28.5,10.1,45183
December,BY,Bundesland,-0.9500990425883132,3.345405205285194,-34.5,9.7,78754
December,HB,Bundesland,3.697043010752689,2.706763427233148,-3.6,10.8,1488
December,HE,Bundesland,0.572869050820113,3.2705923401075743,-30.8,10.0,26033
December,HH,Bundesland,4.306032677000419,2.8552500965359084,-3.5,10.7,2387
December,MV,Bundesland,3.2354376712682904,2.6637857360873562,-3.5,10.5,19341
December,NI,Bundesland,3.004554979596339,2.9413344983979317,-21.1,11.2,36268
December,NW,Bundesland,2.3067221223021583,3.2296486772468516,-22.4,11.4,31136
December,RP,Bundesland,0.8828974244009367,3.048048192249207,-14.1,10.5,20073
December,SH,Bundesland,3.8221161575562697,2.778545980280002,-4.9,10.9,19904
December,SL,Bundesland,1.1851816259850088,3.1400284156743696,-9.2,10.5,5203
December,SN,Bundesland,-0.3527505760368664,3.461073175461416,-30.0,8.9,20832
December,ST,Bundesland,1.1189516129032258,3.41908726976745,-34.6,10.3,17856
December,TH,Bundesland,-0.0571956605222734,3.351238194324023,-26.2,9.6,20832
February,BB,Bundesland,4.056166666666667,3.231042125307324,-6.2,11.7,17400
February,BE,Bundesland,4.245785440613027,3.2708044016079674,-4.4,11.7,2088
February,BW,Bundesland,3.5132149809956426,2.924656542276078,-15.3,12.0,43148
February,BY,Bundesland,3.0433704341068055,3.0478945412593332,-23.7,11.5,72056
February,HB,Bundesland,5.0791393143690735,3.0524135938189345,-2.8,11.9,1371
February,HE,Bundesland,4.109818376508381,3.080944778628065,-6.0,12.0,24281
February,HH,Bundesland,4.914606741573034,2.94960675104167,-3.3,12.1,2136
February,MV,Bundesland,3.549428018789721,3.0277887616231256,-5.2,11.7,18095
February,NI,Bundesland,4.696792632581772,3.205014285053422,-12.4,12.2,34639
February,NW,Bundesland,4.9459704136189195,3.169519094635448,-11.4,12.6,30487
February,RP,Bundesland,4.498052093858764,2.793286198325401,-4.8,12.0,17814
February,SH,Bundesland,4.183638303547613,2.8893884313535185,-4.8,12.1,18745
February,SL,Bundesland,4.9383271681052205,2.654134124590388,-3.4,11.4,4866
February,SN,Bundesland,3.2266976024748644,2.945007258387694,-6.2,11.4,19395
February,ST,Bundesland,3.651358955938697,3.3965584847466044,-20.3,11.8,16704
February,TH,Bundesland,3.364655172413793,3.0862582053685466,-6.8,11.1,19488
January,BB,Bundesland,-1.5645053763440857,4.939506119853855,-16.3,10.0,18600
January,BE,Bundesland,-1.2117831541218638,4.8049429251698825,-13.4,8.9,2232
January,BW,Bundesland,-1.4467524297119057,5.480649694382951,-33.6,11.9,46096
January,BY,Bundesland,-2.5472606839831347,5.263247617406826,-31.0,10.3,76844
January,HB,Bundesland,0.43985215053763443,4.182813554493725,-10.0,11.0,1488
January,HE,Bundesland,-1.6975031788232573,5.458994017493492,-21.2,10.9,25953
January,HH,Bundesland,0.9602339181286548,4.0612305357624825,-11.0,10.9,2223
January,MV,Bundesland,-0.695259511993383,3.975203054781743,-17.4,10.2,19344
January,NI,Bundesland,-0.17906620021528522,4.737695613307243,-21.0,11.8,37160
January,NW,Bundesland,-0.40649113579406576,5.48020797036991,-19.4,11.7,32321
January,RP,Bundesland,-1.1904849860150932,5.5693075642248715,-16.4,10.3,18949
January,SH,Bundesland,0.2430370853615698,3.909951038457553,-13.8,10.7,19927
January,SL,Bundesland,-0.7906674427629025,5.73044140403139,-14.3,10.9,5154
January,SN,Bundesland,-2.947863863287251,5.234806704717031,-22.9,8.6,20832
January,ST,Bundesland,-1.8308131720430108,5.2475684737009285,-26.7,9.5,17856
January,TH,Bundesland,-2.452640168970814,5.327416535531227,-19.8,9.1,20832
July,BB,Bundesland,13.32865870141104,2.9681294245065972,2.3,22.2,18497
July,BE,Bundesland,13.324148745519713,3.197814722140531,2.5,20.9,2232
July,BW,Bundesland,14.017318350757462,2.784890271148538,-3.8,23.6,46009
July,BY,Bundesland,13.959427272727275,2.9460717320539738,-22.4,22.9,77000
July,HB,Bundesland,13.460551075268818,2.4157511523762785,6.2,20.3,1488
July,HE,Bundesland,13.139622202397113,3.0438727317591754,0.4,22.5,25781
July,HH,Bundesland,13.556942003514939,2.460134711203461,6.3,20.9,2845
July,MV,Bundesland,13.407130453086355,2.5982048710448544,5.3,21.4,19003
July,NI,Bundesland,13.276148672375138,2.7270673355776114,1.9,21.5,37021
July,NW,Bundesland,13.26308126168654,2.876122290015159,3.5,22.2,32623
July,RP,Bundesland,13.04010390139554,2.995619496545989,3.2,21.5,19634
July,SH,Bundesland,13.336345040909999,2.396755326328106,5.6,23.2,20044
July,SL,Bundesland,13.5286906943596,2.9162927209820864,5.0,22.3,4911
July,SN,Bundesland,12.668170667179757,3.0164302860663192,0.8,22.5,20789
July,ST,Bundesland,12.68282988871224,3.178743134187184,-0.3,21.2,17612
July,TH,Bundesland,12.649289281598156,3.008684778839163,2.9,21.7,20824
June,BB,Bundesland,11.643779650611153,3.800359256425665,1.7,23.7,17917
June,BE,Bundesland,11.700138888888889,3.9399516575219162,1.6,20.7,2160
June,BW,Bundesland,12.493804946932082,3.764238352669821,-0.8,25.0,43906
June,BY,Bundesland,12.376994063680517,3.7923017070524345,-9.0,24.5,74120
June,HB,Bundesland,11.618055555555555,3.2547576290950726,4.2,21.6,1440
June,HE,Bundesland,11.167341549295775,4.08436189523581,-1.0,23.0,24992
June,HH,Bundesland,11.668207440811727,3.3149235551519136,2.5,20.5,2661
June,MV,Bundesland,11.698117799772836,3.518238276169657,1.8,22.3,18489
June,NI,Bundesland,11.309194563019544,3.5540553294360944,0.1,21.9,35608
June,NW,Bundesland,10.952156180840973,3.6245974654359796,-1.6,21.3,31630
June,RP,Bundesland,10.955273120605733,3.9385559524357165,-5.7,23.2,18490
June,SH,Bundesland,11.364705276705278,3.3072017630824155,2.7,21.7,19425
June,SL,Bundesland,11.57004228800356,3.927515208193202,-0.9,23.1,4493
June,SN,Bundesland,11.449859395400221,3.7729093290480824,0.2,22.4,19914
June,ST,Bundesland,11.163296945767042,3.9734585585801603,-12.9,22.4,17222
June,TH,Bundesland,11.013333996221537,4.049748704093998,0.1,21.8,20114
March,BB,Bundesland,3.5159116678365097,3.779869385560119,-7.5,12.9,18521
March,BE,Bundesland,3.7297939068100363,3.7876127279777445,-5.2,11.2,2232
March,BW,Bundesland,3.7519535145917344,3.005757608878162,-11.4,12.1,46122
March,BY,Bundesland,2.9169234966997553,3.21077516837208,-25.0,12.5,76964
March,HB,Bundesland,4.708198924731183,3.1114427479631113,-2.6,11.2,1488
March,HE,Bundesland,3.79415089986156,3.113517540669301,-5.4,11.5,26004
March,HH,Bundesland,4.8427226890756305,2.8242322513839744,-2.7,11.8,2975
March,MV,Bundesland,3.7688082901554405,3.3747513555492685,-7.0,12.5,19300
March,NI,Bundesland,4.375072854830005,3.139117980198351,-5.1,12.9,37060
March,NW,Bundesland,4.667490354583869,2.9549707468418243,-5.3,12.3,32658
March,RP,Bundesland,4.176168275559456,2.9641682488848975,-4.8,11.9,18232
March,SH,Bundesland,4.076478816946443,3.054635855743287,-4.3,11.8,20016
March,SL,Bundesland,4.636501536098311,2.8389283750738152,-2.2,10.8,5208
March,SN,Bundesland,2.540563949571745,3.4705435825405524,-30.9,11.8,20782
March,ST,Bundesland,3.218629538323622,3.4076198294124063,-9.0,12.8,17848
March,TH,Bundesland,2.895222318256026,3.104657188852919,-7.0,12.9,20826
May,BB,Bundesland,9.494398060867223,3.8412321592290066,-5.3,18.3,18565
May,BE,Bundesland,9.484767025089607,3.9780201846340493,-1.9,18.6,2232
May,BW,Bundesland,9.330265336354131,2.478530702853252,-2.3,20.1,45904
May,BY,Bundesland,9.09994153870138,2.6366317776231365,-16.8,17.5,76974
May,HB,Bundesland,10.506317204301077,2.6747091449866907,3.3,16.4,1488
May,HE,Bundesland,10.032899385560677,2.4052674403472984,-4.3,17.2,26040
May,HH,Bundesland,10.756218402426693,2.5540127993261486,0.5,17.3,2967
May,MV,Bundesland,10.352270491378865,3.3785144865181103,-1.5,18.9,19313
May,NI,Bundesland,10.335392984735305,2.7621848914509357,-1.2,19.0,36948
May,NW,Bundesland,10.87904380012338,2.2282352449669065,1.8,17.9,32420
May,RP,Bundesland,10.063511499148213,2.163959346749644,2.0,17.6,18784
May,SH,Bundesland,10.425125250501003,2.633206548418351,0.3,17.5,19960
