Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,6.535842013888888,3.2639144439449685,0.6,30.5,11520
April,BE,Bundesland,7.093802228412256,3.0502430176598203,1.0,17.8,1436
April,BW,Bundesland,6.545470703603825,4.067143752977711,0.4,33.8,16316
April,BY,Bundesland,6.345283092389822,4.0834655914778235,0.4,35.0,25663
April,Germany,Germany,7.081025445087945,3.8731617642990708,0.4,35.0,149184
April,HB,Bundesland,7.794444444444444,3.389155697455525,1.0,19.9,1440
April,HE,Bundesland,7.2153068422290145,3.7454895790601186,0.7,27.0,8506
April,HH,Bundesland,9.45108538350217,4.132413780985809,0.5,24.0,2073
April,MV,Bundesland,7.2311645797528445,3.560206078446059,0.6,23.6,12219
April,NI,Bundesland,7.320473029045643,3.5786833884682645,0.5,26.6,12050
April,NW,Bundesland,7.421121446121447,3.5700401983461876,0.5,27.3,11396
April,RP,Bundesland,7.882182539682541,4.268362732845391,0.8,33.1,5040
April,SH,Bundesland,7.755202261084613,3.7431698371692015,0.4,32.9,11322
April,SL,Bundesland,7.271018518518519,3.672296909888508,0.5,26.0,2160
April,SN,Bundesland,7.3581816598449885,3.9498374288605334,0.6,32.6,11483
April,ST,Bundesland,7.1778952991453,4.343216540966116,0.7,30.8,9360
April,TH,Bundesland,7.363361111111111,3.6600373885232926,0.7,27.2,7200
August,BB,Bundesland,5.2426223925074495,2.7563356425230734,0.5,17.0,11745
August,BE,Bundesland,6.009879032258065,2.657420967632031,0.7,15.5,1488
August,BW,Bundesland,4.551540319255463,2.6395944567540996,0.0,24.8,16977
August,BY,Bundesland,4.43912014426328,2.74828731206053,0.4,35.6,26618
August,Germany,Germany,5.345897857463137,3.127510351598145,0.0,35.6,153883
August,HB,Bundesland,6.512056213017751,3.343366609277605,0.5,22.3,1352
August,HE,Bundesland,5.3874026568941815,2.910302913840791,0.5,26.6,8732
August,HH,Bundesland,8.013354316546764,4.419844087967659,0.5,28.0,2224
August,MV,Bundesland,6.0004091653027825,3.2684503443034445,0.4,24.2,12220
August,NI,Bundesland,5.6796572339577525,3.3507841153003297,0.4,34.0,12545
August,NW,Bundesland,5.397249957691656,2.9045848939937358,0.5,24.5,11818
August,RP,Bundesland,5.665552353506244,2.981296859432647,0.6,28.3,5205
August,SH,Bundesland,6.5201012231126105,3.746341107735166,0.4,29.8,11855
August,SL,Bundesland,5.179058295964126,2.6637533454393636,0.5,17.0,2230
August,SN,Bundesland,5.268617872483786,2.8445502675590815,0.5,21.8,11873
August,ST,Bundesland,5.5272850161172915,3.4796986753798658,0.4,30.5,9617
August,TH,Bundesland,5.500975081256771,2.999257955531033,0.7,24.5,7384
December,BB,Bundesland,6.904083347336582,3.4968510874616383,0.5,22.3,11902
December,BE,Bundesland,7.136693548387098,3.2669748651478443,1.9,18.0,1488
December,BW,Bundesland,6.017932014686722,4.136595529589421,0.3,37.1,16886
December,BY,Bundesland,5.717900635039222,3.9367921553869993,0.4,35.6,26770
December,Germany,Germany,7.29095368454143,4.2692382189026725,0.0,37.1,152692
December,HB,Bundesland,8.623991935483872,3.795482173318426,1.2,21.8,1488
December,HE,Bundesland,7.054176987165054,3.8435440372271965,0.5,24.9,8882
December,HH,Bundesland,11.03760736196319,5.315988408719498,0.9,27.0,1630
December,MV,Bundesland,8.409996045867933,4.36643894155804,0.7,28.9,12645
December,NI,Bundesland,7.8260639777468715,3.7509714792064757,0.0,25.7,10785
December,NW,Bundesland,7.701036051212939,3.853235380936238,0.5,25.3,11872
December,RP,Bundesland,7.660727342697711,4.404128741448835,0.7,29.6,5197
December,SH,Bundesland,9.134554314038478,4.638655842999816,0.7,26.9,11903
December,SL,Bundesland,7.217369838420107,3.5661821386344243,0.6,19.8,2228
December,SN,Bundesland,7.811231518817204,4.264696837015146,0.5,28.6,11904
December,ST,Bundesland,7.678453267162944,5.04070874635556,0.5,36.9,9672
December,TH,Bundesland,7.83127688172043,3.885276301766778,0.7,25.4,7440
February,BB,Bundesland,7.725440014367816,3.82906759862017,0.8,24.6,11136
February,BE,Bundesland,8.178951149425288,3.7226040517949377,0.8,20.0,1392
February,BW,Bundesland,6.685204623555139,4.06095656051404,0.4,33.9,16005
February,BY,Bundesland,6.57142286649894,4.299055315480573,0.5,32.4,25041
February,Germany,Germany,8.006477438640436,4.464072418355665,0.4,40.4,144517
February,HB,Bundesland,9.013722627737225,4.180696012474553,1.0,27.9,1370
February,HE,Bundesland,8.044335211605324,4.163215426866283,0.7,32.6,8341
February,HH,Bundesland,10.429399441340783,4.564061620864612,1.0,30.0,1432
