Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,71.1335180880863,17.19787126656317,22.2,100.0,16779
April,BE,Bundesland,68.78729253112033,17.301686157288845,25.7,100.0,1928
April,BW,Bundesland,71.61563741422897,18.807088288262296,16.4,100.0,41535
April,BY,Bundesland,71.24454959793306,19.47490685436658,11.5,100.0,68894
April,HB,Bundesland,77.64023845007452,13.41031932959733,38.3,100.0,1342
April,HE,Bundesland,72.7751852962598,17.258155241394082,21.5,100.0,23341
April,HH,Bundesland,79.99960000000002,14.097256499060057,33.3,100.0,2750
April,MV,Bundesland,78.06286456829339,14.224959196015345,30.6,100.0,17315
April,NI,Bundesland,76.28920643479825,15.173899890907899,28.4,100.0,33381
April,NW,Bundesland,75.23437564006281,15.136979492258734,26.4,100.0,29294
April,RP,Bundesland,72.49383003492431,17.088852053392227,20.6,100.0,16321
April,SH,Bundesland,81.29802507489183,13.311651804691907,31.5,100.0,18026
April,SL,Bundesland,73.54143222506393,17.201927789371204,24.8,100.0,4692
April,SN,Bundesland,69.0717217056749,17.42771378820655,21.9,100.0,18714
April,ST,Bundesland,71.61914257228315,16.41332258593842,28.1,100.0,16048
April,TH,Bundesland,70.5074466386331,17.618020201034785,22.7,100.0,18787
August,BB,Bundesland,67.22893203883494,19.24998822188366,22.1,100.0,18540
August,BE,Bundesland,65.74991039426523,18.40949124740772,24.9,100.0,2232
August,BW,Bundesland,72.90565873223471,18.502451942082153,15.6,100.0,45876
August,BY,Bundesland,75.37993668997548,18.28587205437395,-99.9,100.0,77081
August,HB,Bundesland,73.74353288987436,13.855953954696316,41.6,100.0,1353
August,HE,Bundesland,72.33190452241865,17.91881257078533,26.0,100.0,25849
August,HH,Bundesland,75.59875754348599,16.614878643787893,-99.9,100.0,2817
August,MV,Bundesland,72.51542991141218,16.644188143863527,12.0,100.0,19190
August,NI,Bundesland,74.31355095843612,16.645072725897094,26.3,100.0,36883
August,NW,Bundesland,75.04784678707459,16.249508206170372,11.4,100.0,32556
August,RP,Bundesland,71.51007256304867,16.98583664808276,26.5,100.0,19707
August,SH,Bundesland,76.67897100653725,14.444012112148947,36.1,100.0,20039
August,SL,Bundesland,73.27131115459883,17.36611900501639,25.0,100.0,5110
August,SN,Bundesland,70.40186505759736,18.830262257678214,24.4,100.0,20053
August,ST,Bundesland,67.9944588793493,18.707566322232626,25.4,100.0,17704
August,TH,Bundesland,70.17826594657716,18.67804754182346,25.3,100.0,20553
December,BB,Bundesland,88.5498117267348,7.8620708101150685,56.1,100.0,18590
December,BE,Bundesland,89.05352175863615,7.919078638801364,65.0,100.0,2229
December,BW,Bundesland,86.21190813659919,11.332237288075412,5.4,100.0,45154
December,BY,Bundesland,88.16689542982056,10.391255473877726,-99.9,100.0,78684
December,HB,Bundesland,90.06029609690445,7.052786896675007,63.9,100.0,1486
December,HE,Bundesland,87.83681000540415,9.70564469816905,-99.9,100.0,25906
