Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,0.04829109509416415,0.2546846163479903,0.0,9.9,17204
April,BE,Bundesland,0.03876794812413154,0.20766712815875865,0.0,3.7,2159
April,BW,Bundesland,0.09848484848484848,0.39841586455696776,0.0,7.9,43890
April,BY,Bundesland,0.09221341636003397,0.37198023100472594,0.0,11.7,70660
April,HB,Bundesland,0.1195138888888889,0.4544748244221136,0.0,6.0,1440
April,HE,Bundesland,0.08186449730884589,0.3567513843198871,0.0,7.4,24339
April,HH,Bundesland,0.11819444444444444,0.4018056064166472,0.0,4.8,1440
April,MV,Bundesland,0.09135000000000001,0.4380204876580551,0.0,17.1,18000
April,NI,Bundesland,0.10712168194363988,0.40943315244401074,0.0,14.9,29347
April,NW,Bundesland,0.12993775126442744,0.478937950911811,0.0,8.9,30844
April,RP,Bundesland,0.09251914998764516,0.3711938757241921,0.0,8.7,16188
April,SH,Bundesland,0.1295577491495176,0.44775914723119964,0.0,9.2,17931
April,SL,Bundesland,0.12128968253968253,0.49434701118390517,0.0,9.1,5040
April,SN,Bundesland,0.05660919540229885,0.2661614082756094,0.0,5.2,20880
April,ST,Bundesland,0.05462560386473429,0.2894177731705781,0.0,10.5,16560
April,TH,Bundesland,0.06632632732343859,0.30655562715092666,0.0,6.4,20078
August,BB,Bundesland,0.04038256577102149,0.3760678793322372,0.0,11.7,17827
August,BE,Bundesland,0.04883512544802868,0.6913556574936216,0.0,19.4,2232
August,BW,Bundesland,0.0734625328707489,0.6711546949077357,0.0,44.6,45253
August,BY,Bundesland,0.11443332652644478,0.9676092010319848,0.0,49.6,73455
August,HB,Bundesland,0.059548104956268215,0.4395682184721614,0.0,9.5,1372
August,HE,Bundesland,0.0723377191239019,0.7448556762781593,0.0,31.4,25157
August,HH,Bundesland,0.09744623655913978,0.729035758834225,0.0,11.5,1488
August,MV,Bundesland,0.041087319993527854,0.48193468426093344,0.0,36.5,18541
August,NI,Bundesland,0.09272518457752256,0.8670996611239972,0.0,55.4,30475
August,NW,Bundesland,0.10281857755785913,0.7551403618626096,0.0,33.5,31931
August,RP,Bundesland,0.05709061575692391,0.5591424138008767,0.0,41.2,18595
August,SH,Bundesland,0.07268817204301077,0.5652673322522241,0.0,28.9,18600
August,SL,Bundesland,0.10316820276497694,0.9474129334655845,0.0,28.6,5208
August,SN,Bundesland,0.1138559138751382,1.0976554177570457,0.0,51.3,20807
August,ST,Bundesland,0.05736266307845316,0.5755595324406612,0.0,19.4,17093
August,TH,Bundesland,0.07847259309608196,0.7459027316047844,0.0,31.7,20597
December,BB,Bundesland,0.04654158499019882,0.20982423457206495,0.0,5.6,17855
December,BE,Bundesland,0.05085125448028674,0.1909639406595446,0.0,2.6,2232
December,BW,Bundesland,0.08029162641263565,0.38577635797290105,0.0,7.7,44509
December,BY,Bundesland,0.07351791969819456,0.31819944296504454,0.0,7.3,74220
December,HB,Bundesland,0.07452956989247313,0.30552486143392604,0.0,6.0,1488
December,HE,Bundesland,0.06733475648323846,0.31659626758824005,0.0,8.3,25296
December,HH,Bundesland,0.06659946236559139,0.24083746689493687,0.0,3.9,1488
December,MV,Bundesland,0.057376344086021505,0.22092629701047026,0.0,7.0,18600
December,NI,Bundesland,0.07964660117360058,0.31890063787734546,0.0,6.2,30334
December,NW,Bundesland,0.09938595915150719,0.38652382484596015,0.0,8.2,30454
December,RP,Bundesland,0.06363978697078918,0.2987163315598286,0.0,6.5,18589
December,SH,Bundesland,0.07478496077901,0.2740486159791694,0.0,5.0,18485
December,SL,Bundesland,0.108678955453149,0.43606559113525234,0.0,5.9,5208
December,SN,Bundesland,0.0556478325572464,0.254687502786915,0.0,6.5,20831
December,ST,Bundesland,0.0527390846306918,0.25325817287299945,0.0,5.7,17086
December,TH,Bundesland,0.06384888632872504,0.28331962668219174,0.0,7.4,20832
February,BB,Bundesland,0.10655649362313635,0.33332583400280974,0.0,6.6,16701
February,BE,Bundesland,0.10718390804597702,0.3206457916585563,0.0,3.4,2088
February,BW,Bundesland,0.10526551594038859,0.37024834295178805,0.0,6.4,42408
February,BY,Bundesland,0.10112301517029693,0.32937006269989966,0.0,5.7,67764
February,HB,Bundesland,0.12088469905728788,0.369676554843724,0.0,4.7,1379
February,HE,Bundesland,0.1286198567735921,0.3859035178326921,0.0,5.3,23599
February,HH,Bundesland,0.1324712643678161,0.36107545532211266,0.0,3.1,1392
February,MV,Bundesland,0.10036802760207016,0.3006900305736156,0.0,4.3,17390
February,NI,Bundesland,0.1400705965407695,0.40525127351328216,0.0,7.6,28330
February,NW,Bundesland,0.16406092733006777,0.4680276628049654,0.0,9.9,29806
February,RP,Bundesland,0.11744214372716201,0.3579506476899459,0.0,5.1,16420
February,SH,Bundesland,0.13207928802589,0.373870820094713,0.0,4.6,17304
February,SL,Bundesland,0.17825908437692464,0.46906951386426904,0.0,5.1,4871
February,SN,Bundesland,0.11771179299063103,0.35857955444389433,0.0,5.2,20173
February,ST,Bundesland,0.10114854517611024,0.34184477087311155,0.0,4.9,15672
February,TH,Bundesland,0.12071072767421558,0.3781969562709222,0.0,5.1,19473
January,BB,Bundesland,0.05889312549063586,0.25338338039122893,0.0,4.3,17834
January,BE,Bundesland,0.061111111111111116,0.25883271089584625,0.0,3.2,2232
January,BW,Bundesland,0.1041514850391962,0.3934366665454339,0.0,7.8,45285
January,BY,Bundesland,0.10986113213779433,0.39733180148670477,0.0,10.3,72659
January,HB,Bundesland,0.1155241935483871,0.4236386013004367,0.0,5.2,1488
January,HE,Bundesland,0.09590622396763061,0.3856270844571959,0.0,8.8,25209
January,HH,Bundesland,0.11545698924731182,0.42638633359786066,0.0,4.7,1488
January,MV,Bundesland,0.08273944498434295,0.34227313509805785,0.0,7.1,18522
January,NI,Bundesland,0.10665682898835875,0.40099766805642556,0.0,7.6,30495
January,NW,Bundesland,0.11126083678854129,0.4126312914605009,0.0,9.9,31836
January,RP,Bundesland,0.10933684328441805,0.42085428612901976,0.0,6.7,17854
January,SH,Bundesland,0.1150680474976956,0.4504707553204778,0.0,7.1,18443
January,SL,Bundesland,0.16246628131021196,0.5533528267366444,0.0,8.5,5190
January,SN,Bundesland,0.06586834733893557,0.26954928365538716,0.0,5.0,21420
January,ST,Bundesland,0.06498948106591865,0.2902779796716227,0.0,5.8,17112
January,TH,Bundesland,0.08556060828321353,0.3442795565915112,0.0,5.6,20451
July,BB,Bundesland,0.127562412342216,0.9498360610111319,0.0,32.9,17825
July,BE,Bundesland,0.13163082437275986,0.9157829372055226,0.0,23.1,2232
July,BW,Bundesland,0.11733250839667667,0.7463440060232177,0.0,32.3,45256
July,BY,Bundesland,0.14081747845480325,0.9555693288509133,0.0,53.6,72638
July,HB,Bundesland,0.11270161290322582,0.7543328951389576,0.0,16.4,1488
July,HE,Bundesland,0.12269111446981146,0.7733886060249132,0.0,36.4,25142
July,HH,Bundesland,0.13911290322580644,1.0256507206786758,0.0,19.5,1488
July,MV,Bundesland,0.09486689941086625,0.8143611351473091,0.0,30.8,18332
July,NI,Bundesland,0.13822813137629172,0.8414084707589474,0.0,24.0,30386
July,NW,Bundesland,0.12701703833625658,0.8013686553801336,0.0,27.3,31928
July,RP,Bundesland,0.10549741044454035,0.6212429483354525,0.0,20.2,18536
July,SH,Bundesland,0.12450616287205987,0.7666665539277291,0.0,43.7,18579
July,SL,Bundesland,0.13365975422427034,0.9017373757429005,0.0,20.4,5208
July,SN,Bundesland,0.09581451225372417,0.7839003489149883,0.0,26.0,20810
July,ST,Bundesland,0.11125073056691993,0.7938606643977917,0.0,24.5,17110
July,TH,Bundesland,0.11701268742791235,0.785640261136611,0.0,23.7,20808
June,BB,Bundesland,0.0903125,0.7623572840456968,0.0,32.9,17280
June,BE,Bundesland,0.06319444444444444,0.4555275043737827,0.0,9.6,2160
June,BW,Bundesland,0.17697650805372223,0.9636542111059666,0.0,44.5,43334
June,BY,Bundesland,0.17823526883569002,0.9217229958587196,0.0,36.4,69801
June,HB,Bundesland,0.15670604586518416,1.106697522621594,0.0,27.2,1439
June,HE,Bundesland,0.10241032764114714,0.8192693470209041,0.0,34.8,24478
June,HH,Bundesland,0.12387005649717514,1.0577972953666903,0.0,28.5,1416
June,MV,Bundesland,0.11298963295040627,0.8179438316943818,0.0,22.4,17845
June,NI,Bundesland,0.11804434800298363,0.8304902533417007,0.0,43.2,29494
June,NW,Bundesland,0.11674272583098683,0.7834651323063865,0.0,33.3,30897
June,RP,Bundesland,0.08376984824515148,0.7007447883548023,0.0,43.3,17067
June,SH,Bundesland,0.11781644338206683,0.6932598976062936,0.0,22.2,17989
June,SL,Bundesland,0.10164663996439698,0.7355867544541209,0.0,20.2,4494
June,SN,Bundesland,0.08390438247011953,0.6615776892527401,0.0,36.1,20080
June,ST,Bundesland,0.07884499214691314,0.6881452318376398,0.0,33.9,16554
