Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,1013.2697115900074,8.857559242168238,991.1,1033.5,9327
April,BE,Bundesland,1013.2571727019499,8.873232507756336,991.4,1032.4,1436
April,BW,Bundesland,1015.9957118055555,7.805450003559615,991.2,1037.0,11520
April,BY,Bundesland,1015.6329040171727,7.9242283025235505,990.5,1036.6,22827
April,Germany,Germany,1013.8691675976414,8.726763954457061,990.5,1037.0,135163
April,HB,Bundesland,1012.2324305555555,9.135591057515475,993.6,1031.9,1440
April,HE,Bundesland,1014.4916348735339,8.302046925435668,991.9,1034.8,7077
April,HH,Bundesland,1011.5935981308411,9.253488085357816,992.5,1030.8,2140
April,MV,Bundesland,1012.3979736842106,9.017708028768872,991.3,1031.5,11400
April,NI,Bundesland,1012.6135723057131,9.076804960797887,992.0,1033.9,17101
April,NW,Bundesland,1013.8505799812908,8.804219349909273,993.2,1033.8,10690
April,RP,Bundesland,1015.1035956790123,8.391651734507223,993.2,1035.2,6480
April,SH,Bundesland,1011.5889612908231,9.108842919502509,992.2,1030.7,12891
April,SL,Bundesland,1015.7885648148149,8.096438399236357,993.6,1034.9,2160
April,SN,Bundesland,1014.1411666666667,8.552752868891886,990.7,1035.3,7200
April,ST,Bundesland,1013.3754740441407,8.908210701836317,991.2,1033.9,6434
April,TH,Bundesland,1014.1553174603174,8.572441126820577,990.6,1035.1,5040
August,BB,Bundesland,1015.0761993382961,4.461543545496637,1005.0,1026.9,9672
August,BE,Bundesland,1015.1378360215054,4.451378199642633,1006.6,1026.3,1488
August,BW,Bundesland,1015.4368184896715,3.6508464558393805,1005.6,1024.8,11812
August,BY,Bundesland,1015.3744776938336,3.8155187343422092,1005.2,1025.4,23693
August,Germany,Germany,1015.0183237190363,4.40144170086665,996.4,1028.4,138509
August,HB,Bundesland,1014.1183431952662,4.552576733450859,1001.8,1027.3,1352
August,HE,Bundesland,1015.3190816607093,4.066173239094097,1004.8,1025.2,7274
August,HH,Bundesland,1014.0845152603231,5.2767332398932,996.4,1028.3,2228
August,MV,Bundesland,1014.7904741708372,4.809665540723466,1002.1,1028.0,11789
August,NI,Bundesland,1014.7158277917908,4.778963869769229,999.6,1028.2,17444
August,NW,Bundesland,1015.0477200616444,4.379116559973498,1002.3,1025.1,11031
August,RP,Bundesland,1015.2993061840122,3.965766101350529,1004.1,1025.1,6630
