Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,18.582544256895844,22.62064354664286,0.0,60.0,4858
April,BE,Bundesland,20.144444444444446,23.287456445598085,0.0,60.0,540
April,BW,Bundesland,15.813746438746438,23.02785946298536,0.0,60.0,5616
April,BY,Bundesland,18.720724961751205,24.352215509634114,0.0,60.0,8497
April,Germany,Germany,16.537880487622466,22.406411406283347,0.0,60.0,53484
April,HB,Bundesland,14.489814814814816,20.310834956933398,0.0,60.0,1080
April,HE,Bundesland,17.06336405529954,22.419639606403408,0.0,60.0,2604
April,HH,Bundesland,17.554112554112553,23.028387495937842,0.0,60.0,1617
April,MV,Bundesland,17.4375,23.193584530267586,0.0,60.0,2160
April,NI,Bundesland,14.578929247719056,20.726882559375674,0.0,60.0,5809
April,NW,Bundesland,12.429398739567365,19.267269674545954,0.0,60.0,5871
April,RP,Bundesland,15.41546093427036,21.424357304775505,0.0,60.0,2419
April,SH,Bundesland,15.579338076090318,21.813381388640224,0.0,60.0,3233
April,SL,Bundesland,16.757407407407406,21.973977710464304,0.0,60.0,540
April,SN,Bundesland,18.80329218106996,23.225196323238126,0.0,60.0,4860
April,ST,Bundesland,16.39962962962963,21.951813235947434,0.0,60.0,2700
April,TH,Bundesland,17.885185185185186,22.53490265739935,0.0,60.0,1080
August,BB,Bundesland,30.393989588263132,26.064131227559944,0.0,60.0,4226
August,BE,Bundesland,32.10035842293907,26.421876983935995,0.0,60.0,558
August,BW,Bundesland,29.26590198123045,26.835540368184315,0.0,60.0,3836
August,BY,Bundesland,28.429554466993235,26.541606843612602,0.0,60.0,8574
August,Germany,Germany,27.822354694485842,26.126490599919,0.0,60.0,50325
August,HB,Bundesland,25.155223880597013,25.20524879479267,0.0,60.0,1005
August,HE,Bundesland,30.425531914893618,26.3763541615638,0.0,60.0,2679
August,HH,Bundesland,26.705495818399044,25.771720850571917,0.0,60.0,1674
August,MV,Bundesland,27.2665770609319,26.183646038671082,0.0,60.0,2232
August,NI,Bundesland,25.434148121123677,25.51434313149773,0.0,60.0,5482
August,NW,Bundesland,25.37017764220348,25.653418262357466,0.0,60.0,5573
August,RP,Bundesland,28.87921146953405,26.13813248831633,0.0,60.0,2790
August,SH,Bundesland,25.50390156062425,25.539809750688914,0.0,60.0,3332
August,SL,Bundesland,30.770609318996417,26.833305425514453,0.0,60.0,558
August,SN,Bundesland,29.155384615384616,25.953150112263813,0.0,60.0,3900
August,ST,Bundesland,26.91111111111111,25.86753604691796,0.0,60.0,2790
August,TH,Bundesland,29.660394265232974,26.130446983841612,0.0,60.0,1116
December,BB,Bundesland,3.7161290322580647,13.104718948852533,0.0,60.0,2790
December,BE,Bundesland,3.4695340501792113,12.462293727603178,0.0,60.0,558
December,BW,Bundesland,7.496415770609319,18.326874116027554,0.0,60.0,2790
December,BY,Bundesland,5.666516921233902,16.09522329287868,0.0,60.0,6678
December,Germany,Germany,4.172178147828136,13.900916803170986,0.0,60.0,38193
December,HB,Bundesland,1.631720430107527,8.288499628748355,0.0,60.0,1116
December,HE,Bundesland,3.0089702188733405,11.464837089950853,0.0,60.0,2787
December,HH,Bundesland,1.6482084690553747,7.912316235720356,0.0,60.0,1228
December,MV,Bundesland,1.9533213644524237,9.405386374527529,0.0,60.0,1671
December,NI,Bundesland,2.1396243494003166,9.53527262972736,0.0,60.0,4419
December,NW,Bundesland,3.3761713520749663,12.655334998639281,0.0,60.0,4482
December,RP,Bundesland,3.197132616487455,12.457951908791799,0.0,60.0,1116
December,SH,Bundesland,1.1984767025089607,7.055681556911162,0.0,60.0,2232
December,SL,Bundesland,3.609318996415771,12.879418088849912,0.0,60.0,558
December,SN,Bundesland,7.942652329749104,18.943573447921295,0.0,60.0,3348
December,ST,Bundesland,5.463957055214724,16.12357083403708,0.0,60.0,1304
December,TH,Bundesland,5.584229390681004,15.772004557012908,0.0,60.0,1116
February,BB,Bundesland,5.658152405278842,15.024407031048993,0.0,60.0,4698
February,BE,Bundesland,6.46360153256705,15.964560585296732,0.0,60.0,522
February,BW,Bundesland,8.051201671891327,17.643022677787652,0.0,60.0,5742
February,BY,Bundesland,7.247828539199098,16.984724903359492,0.0,60.0,8865
February,Germany,Germany,5.743405184692811,15.130368847036769,0.0,60.0,52655
February,HB,Bundesland,2.9367816091954024,10.28844904189346,0.0,60.0,1044
February,HE,Bundesland,6.069204152249135,15.79636695393298,0.0,60.0,2601
February,HH,Bundesland,3.848148148148148,12.409863946319836,0.0,60.0,1080
February,MV,Bundesland,5.6451149425287355,15.328506756779266,0.0,60.0,2088
February,NI,Bundesland,3.7188915998605787,11.84814417988463,0.0,60.0,5738
February,NW,Bundesland,4.486591390261115,13.189822215781948,0.0,60.0,5668
February,RP,Bundesland,5.965900383141762,15.572651051260209,0.0,60.0,2610
February,SH,Bundesland,3.56741214057508,12.02968890540659,0.0,60.0,3130
February,SL,Bundesland,4.779497098646035,13.497118747172756,0.0,60.0,517
February,SN,Bundesland,6.077266922094508,15.486551832258929,0.0,60.0,4698
February,ST,Bundesland,5.991954022988506,15.408589131530901,0.0,60.0,2610
February,TH,Bundesland,6.723180076628353,16.132570362547206,0.0,60.0,1044
January,BB,Bundesland,6.750199203187251,17.180793556314725,0.0,60.0,5020
January,BE,Bundesland,6.89426523297491,17.518841442102012,0.0,60.0,558
January,BW,Bundesland,8.612324360927714,19.378203438511058,0.0,60.0,5907
January,BY,Bundesland,8.524437876068827,19.104372467160168,0.0,60.0,9473
January,Germany,Germany,7.469279356876256,18.04381002645908,0.0,60.0,55728
January,HB,Bundesland,7.198924731182796,17.801643464959135,0.0,60.0,1116
January,HE,Bundesland,7.2789090909090906,17.481717069389088,0.0,60.0,2750
January,HH,Bundesland,6.152329749103942,16.22985412660843,0.0,60.0,1116
January,MV,Bundesland,5.323318385650224,15.351305432613714,0.0,60.0,2230
January,NI,Bundesland,6.779208082124817,17.419426295827382,0.0,60.0,6137
January,NW,Bundesland,7.576898012381883,18.538898608936265,0.0,60.0,6138
January,RP,Bundesland,7.728046421663443,18.198401511753264,0.0,60.0,2585
January,SH,Bundesland,6.381627620221948,16.236548739100606,0.0,60.0,3244
