Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,10.944194444444443,6.0839846000004645,-1.86,27.46,720
April,BE,Bundesland,8.829583333333334,38.31623828946517,-498.65,28.1,720
April,BW,Bundesland,8.17101388888889,7.425034445896892,-17.45,25.53,720
April,BY,Bundesland,5.098249999999999,7.9296180759428685,-18.05,25.17,720
April,Germany,Germany,7.144527777777778,4.861147754980327,-4.17,23.65,720
April,HB,Bundesland,10.528958333333332,4.484304837216982,0.45,23.85,720
April,HE,Bundesland,4.753902777777777,11.547082571001308,-27.36,25.16,720
April,HH,Bundesland,9.011027777777779,18.40279325261608,-332.0,19.7,720
April,MV,Bundesland,2.978652777777778,14.830757518009303,-34.27,21.22,720
April,NI,Bundesland,10.096458333333334,5.55726609884695,-14.73,23.43,720
April,NW,Bundesland,6.536527777777778,12.267954893673965,-40.68,24.38,720
April,RP,Bundesland,9.256777777777776,7.409765567423753,-33.12,24.21,720
April,SH,Bundesland,5.542263888888888,10.889462388587571,-33.06,19.1,720
April,SL,Bundesland,10.193152777777778,5.484381305821267,-1.28,24.92,720
April,SN,Bundesland,6.858888888888888,10.412289566042073,-27.18,25.42,720
April,ST,Bundesland,7.773736111111111,10.025936410322988,-28.54,25.19,720
April,TH,Bundesland,9.918861111111111,6.144778787771071,-3.77,25.04,720
August,BB,Bundesland,20.551626344086017,4.7848929399730125,9.82,33.59,744
August,BE,Bundesland,21.30329301075269,4.365774361639394,11.4,33.8,744
August,BW,Bundesland,16.219086021505376,8.685248162100727,-11.81,31.5,744
August,BY,Bundesland,16.453978494623655,6.482728064196031,-2.19,30.01,744
August,Germany,Germany,15.716223118279569,5.022179486306868,-0.14,28.4,744
August,HB,Bundesland,-73.76404569892473,196.68405730856088,-493.7,32.7,744
August,HE,Bundesland,13.243293010752689,13.405516714186188,-16.46,31.93,744
August,HH,Bundesland,18.53286290322581,12.653444591479088,-317.3,28.13,744
August,MV,Bundesland,13.166666666666666,14.33200301921697,-26.78,31.47,744
August,NI,Bundesland,17.334556451612904,7.355192876636817,-10.39,32.17,744
August,NW,Bundesland,17.006129032258066,8.510837715283904,-13.78,32.44,744
August,RP,Bundesland,15.792298387096777,13.291169756609138,-28.71,32.27,744
August,SH,Bundesland,16.263024193548386,8.979425525420545,-24.47,28.02,744
August,SL,Bundesland,19.79891129032258,9.889709336712771,-148.02,32.78,744
August,SN,Bundesland,18.77896505376344,8.372956121753662,-21.8,31.59,744
August,ST,Bundesland,16.88079301075269,12.519241827075483,-28.02,32.47,744
August,TH,Bundesland,8.581922043010751,21.815743285902293,-63.24,32.08,744
December,BB,Bundesland,3.578306451612903,3.765899352820081,-37.3,12.7,744
December,BE,Bundesland,4.061290322580645,3.1801252676196246,-3.45,13.4,744
December,BW,Bundesland,-2.5800672043010753,9.12226233544114,-31.7,11.07,744
December,BY,Bundesland,-0.49372311827956994,4.395451182705318,-22.4,9.16,744
December,Germany,Germany,1.2511827956989245,3.2738828982848607,-6.05,10.0,744
December,HB,Bundesland,5.230510752688172,2.6528705106070336,-0.65,12.0,744
December,HE,Bundesland,2.4203763440860215,3.487023105861568,-32.6,10.89,744
December,HH,Bundesland,5.126290322580645,17.669421623617925,-333.57,11.2,744
December,MV,Bundesland,4.493870967741936,3.6316840454819967,-36.58,12.27,744
December,NI,Bundesland,-0.4165188172043009,9.740806901372206,-21.98,12.09,744
December,NW,Bundesland,2.559744623655914,6.720913208983565,-23.74,12.38,744
December,RP,Bundesland,2.158817204301075,5.280495021344481,-42.69,11.19,744
December,SH,Bundesland,5.265403225806452,2.804886353304877,-34.72,10.93,744
December,SL,Bundesland,1.819758064516129,14.005022525173649,-165.6,11.2,744
December,SN,Bundesland,2.212715053763441,2.8704251718193237,-2.52,10.63,744
