Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,10.944194444444443,6.0839846000004645,-1.86,27.46,720
April,BE,Bundesland,11.655865921787708,6.042550793190868,-1.55,28.1,716
April,BW,Bundesland,8.641614730878187,6.691630589186563,-11.7,25.53,706
April,BY,Bundesland,5.098249999999999,7.9296180759428685,-18.05,25.17,720
April,Germany,Germany,7.144527777777778,4.861147754980327,-4.17,23.65,720
April,HB,Bundesland,10.528958333333332,4.484304837216982,0.45,23.85,720
April,HE,Bundesland,9.004991762767709,6.332810362500268,-11.8,25.16,607
April,HH,Bundesland,9.958593314763231,3.989704406867906,-1.05,19.7,718
April,MV,Bundesland,9.2656,4.8597620090536395,-0.74,21.22,600
April,NI,Bundesland,10.230265363128492,5.275007287912111,-9.86,23.43,716
April,NW,Bundesland,10.175371517027864,5.238294245834913,-1.41,24.38,646
April,RP,Bundesland,9.843028169014085,5.558027218153806,-1.07,24.21,710
April,SH,Bundesland,8.830875576036865,4.080648591154948,0.05,19.1,651
April,SL,Bundesland,10.193152777777778,5.484381305821267,-1.28,24.92,720
April,SN,Bundesland,9.295845921450152,6.555807679934213,-13.97,25.42,662
April,ST,Bundesland,9.96520771513353,5.6173926231389695,-2.98,25.19,674
April,TH,Bundesland,9.918861111111111,6.144778787771071,-3.77,25.04,720
August,BB,Bundesland,20.551626344086017,4.7848929399730125,9.82,33.59,744
August,BE,Bundesland,21.30329301075269,4.365774361639394,11.4,33.8,744
August,BW,Bundesland,16.15778677462888,8.649055109328604,-11.81,31.07,741
August,BY,Bundesland,16.453978494623655,6.482728064196031,-2.19,30.01,744
August,Germany,Germany,15.651472972972973,4.95744615579748,-0.14,26.16,740
August,HB,Bundesland,19.05548172757475,3.1886202896517863,12.05,30.1,602
August,HE,Bundesland,15.315573529411765,11.310723962167097,-11.81,30.77,680
August,HH,Bundesland,18.98485868102288,2.849781416917249,11.6,28.13,743
August,MV,Bundesland,18.78158227848101,4.7155140010744185,-12.17,31.35,632
August,NI,Bundesland,17.256229729729732,7.297166927680052,-10.39,31.1,740
August,NW,Bundesland,17.211698369565216,8.067579392089726,-12.04,31.1,736
August,RP,Bundesland,19.672950075642966,4.090922054202988,9.07,30.27,661
August,SH,Bundesland,18.24536931818182,3.361028872814648,9.64,28.02,704
August,SL,Bundesland,19.998126721763086,4.4460284411800055,8.27,30.58,726
August,SN,Bundesland,19.919833795013847,5.290507446651283,-10.43,31.59,722
August,ST,Bundesland,20.218961988304095,4.740182389107864,9.04,32.25,684
August,TH,Bundesland,18.372568027210885,8.694672086716944,-13.09,32.08,588
December,BB,Bundesland,3.6884097035040435,3.115210025011589,-3.46,12.7,742
December,BE,Bundesland,4.061290322580645,3.1801252676196246,-3.45,13.4,744
December,BW,Bundesland,1.2386446280991736,3.941669287141818,-12.66,11.07,605
December,BY,Bundesland,-0.434743935309973,4.251631504159656,-16.29,9.16,742
December,Germany,Germany,1.2511827956989245,3.2738828982848607,-6.05,10.0,744
December,HB,Bundesland,5.230510752688172,2.6528705106070336,-0.65,12.0,744
December,HE,Bundesland,2.5145822102425877,2.980985585571239,-3.51,10.89,742
December,HH,Bundesland,6.034905660377358,2.3480449683245546,-1.9,11.2,742
