Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,3.458562091503268,1.817943147737786,0.1,11.9,12240
April,BE,Bundesland,3.661312849162011,1.7144463788362114,0.4,9.1,716
April,BW,Bundesland,3.43355151656829,2.4689241946248774,0.2,19.6,17111
April,BY,Bundesland,3.2628489424949603,2.363490669565499,0.0,22.9,29267
April,Germany,Germany,3.818224490810972,2.453126244246814,0.0,23.6,160844
April,HB,Bundesland,4.802152777777778,2.3249834040952204,0.5,14.3,1440
April,HE,Bundesland,3.8326595369608647,2.337506525203491,0.3,18.0,8509
April,HH,Bundesland,6.57672778561354,3.2270842022547357,0.3,16.5,2127
April,MV,Bundesland,4.066301145662847,2.3889360674054085,0.2,17.3,12220
April,NI,Bundesland,3.905474430256003,2.3073064492826263,0.0,17.5,16367
April,NW,Bundesland,3.9183926066507135,2.0621601689653506,0.3,14.5,12119
April,RP,Bundesland,4.1335648148148145,2.4738873846456517,0.2,19.0,6480
April,SH,Bundesland,4.530610211706102,2.753446920639861,0.1,17.2,12045
April,SL,Bundesland,3.8993055555555554,2.076705196584651,0.3,14.5,2160
April,SN,Bundesland,3.9724984760080115,2.558124772785208,0.3,20.6,11483
April,ST,Bundesland,3.896324786324787,3.0562496261238783,0.3,23.6,9360
April,TH,Bundesland,3.952763888888889,2.074950147216546,0.3,15.6,7200
August,BB,Bundesland,2.686924493554328,1.5368684614060997,0.1,10.1,12489
August,BE,Bundesland,3.1553763440860214,1.6375877996757646,0.3,9.0,744
August,BW,Bundesland,2.2846874294741597,1.576933476075683,0.0,16.1,17724
August,BY,Bundesland,2.159067672055723,1.491677732264657,0.0,13.2,31298
August,Germany,Germany,2.80665429941946,1.9703540151085779,0.0,22.9,166569
August,HB,Bundesland,4.021286031042128,2.243383922074854,0.3,13.6,1353
August,HE,Bundesland,2.806000229016375,1.7332750817260973,0.2,11.8,8733
August,HH,Bundesland,5.690737410071942,3.450973327899378,0.4,19.4,2224
August,MV,Bundesland,3.301292750777287,2.10959752859057,0.2,15.1,12222
August,NI,Bundesland,2.989744653119261,2.0810746822551307,0.0,18.8,16879
August,NW,Bundesland,2.799442896935933,1.68760524688076,0.2,11.4,12565
August,RP,Bundesland,2.9920072387271905,1.7675948663114633,0.0,19.7,6631
August,SH,Bundesland,3.715789891295723,2.637373126980984,0.1,18.4,12603
August,SL,Bundesland,2.7728251121076233,1.50025767216979,0.2,9.5,2230
August,SN,Bundesland,2.7254337207343777,1.7742797537355768,0.2,14.6,11874
August,ST,Bundesland,2.94891846921797,2.3572529723980287,0.1,22.9,9616
August,TH,Bundesland,2.8937567713976167,1.6962796088297563,0.2,11.6,7384
December,BB,Bundesland,3.8612517803449915,2.1004066461518294,0.0,12.8,12638
December,BE,Bundesland,3.7750000000000004,1.820481278711012,0.7,9.1,744
December,BW,Bundesland,3.349214451817821,2.640796329434369,0.1,22.7,17631
December,BY,Bundesland,3.0181310710230855,2.3276001531339876,0.0,24.9,31708
December,Germany,Germany,4.0954400931529005,2.801257816720061,0.0,27.7,165749
December,HB,Bundesland,5.583333333333333,2.64568607093178,0.5,13.7,1488
December,HE,Bundesland,3.8805943268797836,2.377763285485969,0.2,16.8,8884
December,HH,Bundesland,7.6424279583077865,4.304723043561572,0.4,19.6,1631
December,MV,Bundesland,5.011553060256207,3.070432497460701,0.3,23.2,12646
December,NI,Bundesland,4.314183371672692,2.3166659070095705,0.1,17.2,15215
December,NW,Bundesland,4.2414995640802085,2.3304015337526645,0.1,15.2,12617
December,RP,Bundesland,4.273452524038461,2.6447503837197877,0.0,18.4,6656
December,SH,Bundesland,5.471012888432039,3.450454926547276,0.2,20.7,12647
December,SL,Bundesland,4.166427289048474,2.0931183630920773,0.3,11.2,2228
December,SN,Bundesland,4.387516801075269,2.8759111439201464,0.2,21.0,11904
December,ST,Bundesland,4.3896608767576515,3.6859556229106123,0.3,27.7,9672
December,TH,Bundesland,4.445577956989248,2.3370558730782687,0.3,14.5,7440
February,BB,Bundesland,4.3645114942528735,2.253755932647081,0.1,13.5,11832
February,BE,Bundesland,4.404454022988506,2.097177339903656,0.4,10.9,696
February,BW,Bundesland,3.6641526388306476,2.5844116114912126,0.2,22.5,16693
February,BY,Bundesland,3.526469144460028,2.595346090145948,0.0,22.0,28520
February,Germany,Germany,4.5267847505974865,2.936505238755604,0.0,28.5,155652
February,HB,Bundesland,5.847518248175182,2.8886969674056773,0.5,19.5,1370
February,HE,Bundesland,4.5182690002397505,2.7357586646285545,0.3,21.4,8342
February,HH,Bundesland,7.216759776536314,3.6528955962566236,0.4,22.1,1432
February,MV,Bundesland,5.1900605233995405,2.9310150451631225,0.3,18.4,11731
February,NI,Bundesland,4.724954690331854,2.773464052319663,0.0,27.0,16001
February,NW,Bundesland,4.591750554512882,2.4063550271233556,0.2,14.9,11722
February,RP,Bundesland,5.012196679438059,2.862100965054776,0.3,21.5,6264
February,SH,Bundesland,5.774974636455867,3.448524859678457,0.2,26.2,11828
February,SL,Bundesland,4.918876080691643,2.3425209101166815,0.4,14.5,2082
February,SN,Bundesland,4.919468390804598,3.350830969499712,0.2,25.5,11136
February,ST,Bundesland,4.864171182129825,3.859831357032918,0.2,28.5,9043
February,TH,Bundesland,4.7546408045977016,2.528043320897386,0.3,16.2,6960
January,BB,Bundesland,4.512456418383518,2.402556979986487,0.1,15.3,12620
January,BE,Bundesland,4.536290322580645,2.17442003879227,0.6,11.8,744
January,BW,Bundesland,3.7809275459847465,3.1304398423464064,0.1,23.8,17832
January,BY,Bundesland,3.5885567044365887,2.8570418862330347,0.0,24.1,30271
January,Germany,Germany,4.695705706794263,3.21851949544518,0.0,34.7,165522
January,HB,Bundesland,6.203965053763441,3.0549998273286927,0.7,17.2,1488
January,HE,Bundesland,4.481140153222172,2.934807964284563,0.3,23.2,8876
January,HH,Bundesland,8.074711080897348,4.486011459083312,0.4,22.9,1471
January,MV,Bundesland,5.5941402105606794,3.2436542340899406,0.2,21.2,12253
January,NI,Bundesland,5.039815031608523,3.0491484001113762,0.0,27.1,17084
January,NW,Bundesland,4.594939111181401,2.66454120667726,0.1,17.3,12646
January,RP,Bundesland,4.733920505871725,3.1408003709786896,0.0,22.6,6642
January,SH,Bundesland,6.145833333333333,3.795845016951538,0.2,23.5,12384
January,SL,Bundesland,4.725728597449909,2.655251068888886,0.4,13.7,2196
January,SN,Bundesland,5.303175403225805,3.3859004115679543,0.3,25.3,11904
January,ST,Bundesland,5.098986661151898,4.033022813780191,0.2,34.7,9671
January,TH,Bundesland,4.954462365591398,2.546860769285145,0.4,15.5,7440
July,BB,Bundesland,2.678786419455815,1.4901933202964002,0.1,9.6,12459
July,BE,Bundesland,2.9926075268817205,1.5174664288152222,0.3,7.3,744
July,BW,Bundesland,2.4173415591699388,1.6277119815235304,0.0,13.7,17830
July,BY,Bundesland,2.3108391954820173,1.5039690599717672,0.0,13.6,30279
July,Germany,Germany,2.9451159895823897,2.010376727969254,0.0,23.8,165489
July,HB,Bundesland,4.624949562878278,2.4991794576997,0.4,15.3,1487
July,HE,Bundesland,2.8145313745587064,1.661615626924834,0.3,12.9,8781
July,HH,Bundesland,5.638201712654615,3.277841780932271,0.4,21.7,2102
July,MV,Bundesland,3.4353703394081254,2.120901449556827,0.2,14.8,11962
July,NI,Bundesland,3.2552123552123553,2.210886497768964,0.0,23.8,17094
July,NW,Bundesland,2.891341784262138,1.6879812777261434,0.1,11.9,12543
July,RP,Bundesland,3.0382831325301205,1.775261731166796,0.1,16.6,6640
July,SH,Bundesland,4.067932155028929,2.7342641583194283,0.1,22.1,12617
July,SL,Bundesland,2.8228494623655918,1.5072147836465581,0.3,9.1,2232
July,SN,Bundesland,2.900708442270389,1.9075984075014414,0.2,16.8,11857
July,ST,Bundesland,2.9858264375132615,2.370784297854846,0.2,18.5,9426
July,TH,Bundesland,2.9486148466917697,1.6363554453829054,0.2,10.8,7436
June,BB,Bundesland,2.889883300460224,1.5126758085505951,0.1,9.5,12168
June,BE,Bundesland,3.345972222222222,1.6043093564052093,0.3,8.6,720
June,BW,Bundesland,2.8029124520404602,1.8725768457251382,0.1,17.9,17202
June,BY,Bundesland,2.67105941376585,1.7202188208751963,0.0,16.8,29101
June,Germany,Germany,3.186559484729377,2.041015815990042,0.0,20.9,160537
June,HB,Bundesland,4.423541666666666,2.288517419379788,0.5,12.2,1440
June,HE,Bundesland,3.128948893266891,1.7650265050609517,0.3,13.8,8629
June,HH,Bundesland,5.80980027868091,2.951060172275424,0.3,14.5,2153
June,MV,Bundesland,3.638193001413016,2.1351602795666094,0.2,15.5,12031
June,NI,Bundesland,3.371990291262136,2.1355951099399735,0.0,17.5,16480
June,NW,Bundesland,2.9785990935311086,1.7041038750207949,0.0,13.3,12135
June,RP,Bundesland,3.246556559675912,1.8898467632391813,0.0,17.4,6418
June,SH,Bundesland,4.211947881668442,2.5811068564468704,0.3,15.5,12203
June,SL,Bundesland,3.234166666666667,1.5557150856837818,0.2,10.0,2040
June,SN,Bundesland,3.0901487807025267,2.038741857465182,0.1,17.8,11359
June,ST,Bundesland,3.2105015506362955,2.3568960996097994,0.2,20.9,9351
June,TH,Bundesland,3.1970592373716054,1.7203001679633956,0.3,14.1,7107
March,BB,Bundesland,3.216519103453777,1.5993335026361242,0.0,12.0,12537
March,BE,Bundesland,3.497715053763441,1.5172787301863508,0.3,8.8,744
March,BW,Bundesland,3.13302156258751,2.285345584553176,0.1,17.0,17855
March,BY,Bundesland,3.004620810124914,2.186953978656174,0.0,22.2,30341
March,Germany,Germany,3.561862715125793,2.349685085767307,0.0,23.8,166821
March,HB,Bundesland,4.496102150537634,2.050560864846303,0.6,12.9,1488
March,HE,Bundesland,3.335944855413585,2.273512267377214,0.2,15.9,8922
March,HH,Bundesland,6.904840878529807,3.325937456335919,0.4,15.6,2231
March,MV,Bundesland,3.822725834519854,2.18725336386223,0.2,17.2,12642
March,NI,Bundesland,3.747006638857881,2.219145673423371,0.0,15.8,17021
March,NW,Bundesland,3.511645307649447,1.94720858201181,0.0,12.7,12563
March,RP,Bundesland,3.73087767166894,2.2378199473550198,0.0,16.8,6597
March,SH,Bundesland,4.837579063883617,2.8323927511908003,0.2,18.3,12648
March,SL,Bundesland,3.5681003584229387,1.8311083398756178,0.4,10.7,2232
March,SN,Bundesland,3.68327168796234,2.5082125061717546,0.2,18.8,11896
March,ST,Bundesland,3.4327918046357615,2.731565237573323,0.2,23.8,9664
March,TH,Bundesland,3.404529569892473,1.9179814099733021,0.3,13.0,7440
May,BB,Bundesland,3.043157894736842,1.7168630715334992,0.1,11.2,12635
May,BE,Bundesland,3.5690860215053757,1.6908147782633796,0.3,8.8,744
May,BW,Bundesland,2.881750800157224,1.875900338046319,0.0,14.8,17809
May,BY,Bundesland,2.7498163407127967,1.7432967453312265,0.0,15.3,30219
May,Germany,Germany,3.1715506979764094,2.0424274086250804,0.0,19.4,166338
May,HB,Bundesland,3.96122311827957,1.8588874064871321,0.4,13.2,1488
May,HE,Bundesland,2.8952042221202383,1.69079582970542,0.2,14.0,8716
May,HH,Bundesland,5.482718271827182,2.757720641120331,0.4,13.3,2222
May,MV,Bundesland,3.533026722702403,2.019609936546299,0.2,15.3,12611
May,NI,Bundesland,3.284321761021018,2.1270109835396815,0.0,15.0,17081
May,NW,Bundesland,2.7611311672683514,1.5102415147286257,0.2,9.0,12465
May,RP,Bundesland,3.140386648542516,1.8143511740582654,0.1,15.1,6621
May,SH,Bundesland,4.267663670352398,2.615412449649554,0.1,18.9,12571
May,SL,Bundesland,3.2325257963212204,1.452465229279218,0.2,8.1,2229
May,SN,Bundesland,3.310656221042878,2.4161919042751117,0.1,19.0,11871
May,ST,Bundesland,3.124229212083463,2.3603725304155034,0.2,19.4,9633
May,TH,Bundesland,3.0444968341640846,1.6571994397926901,0.2,12.0,7423
November,BB,Bundesland,3.4768739105171407,1.9003813303351886,0.1,11.2,12047
November,BE,Bundesland,3.4490277777777782,1.6826279695135267,0.3,9.1,720
November,BW,Bundesland,3.125412024141132,2.5631967319687923,0.0,23.9,17232
November,BY,Bundesland,2.8291863551038907,2.3453889368584377,0.0,23.9,30898
November,Germany,Germany,3.6105411854892564,2.6847494615438063,0.0,33.7,161756
November,HB,Bundesland,4.603680555555556,2.605026745624187,0.3,14.5,1440
November,HE,Bundesland,3.4655800464037116,2.4494162674039477,0.1,19.0,8620
November,HH,Bundesland,7.227276951672863,4.369592365932441,0.4,22.8,2152
November,MV,Bundesland,4.263866579249303,2.6421864025313857,0.2,18.0,12202
November,NI,Bundesland,3.563699120807555,2.2936965274264676,0.0,22.0,15355
November,NW,Bundesland,3.5375625358812433,2.3548094729896705,0.2,15.3,12193
November,RP,Bundesland,3.740953998147577,2.673314189300496,0.1,18.7,6478
November,SH,Bundesland,4.414954188481675,3.1145294045740846,0.2,20.7,12224
November,SL,Bundesland,3.9299999999999997,2.3358351791708185,0.4,12.9,2160
November,SN,Bundesland,3.9817708333333335,2.945038865183404,0.1,23.4,11520
November,ST,Bundesland,3.9229700854700855,3.5127953104943845,0.2,33.7,9360
November,TH,Bundesland,3.796869322152341,2.3606174318016295,0.3,18.5,7155
October,BB,Bundesland,3.0906200569440054,1.6632429910840272,0.1,13.7,12644
October,BE,Bundesland,3.274327956989248,1.515847050304621,0.4,9.7,744
October,BW,Bundesland,2.516442652329749,2.0220375399049813,0.0,25.9,17856
October,BY,Bundesland,2.4131696992671214,1.8272601849981656,0.0,22.7,31656
October,Germany,Germany,3.132979568909365,2.2737252904800047,0.0,27.9,167343
October,HB,Bundesland,3.948118279569892,2.027980919885797,0.3,14.3,1488
October,HE,Bundesland,3.0547461616048412,2.1283998475937143,0.1,17.9,8923
October,HH,Bundesland,6.7445094509450945,3.8812951518167518,0.3,17.1,2222
October,MV,Bundesland,3.867552392249901,2.3997929881876705,0.2,16.4,12645
October,NI,Bundesland,3.0058114374034,1.8713510097022932,0.0,16.3,16175
October,NW,Bundesland,2.999357842350297,1.9126870071392614,0.2,12.9,12458
October,RP,Bundesland,3.235991636798088,2.067050299420247,0.0,17.7,6696
October,SH,Bundesland,4.174318020083814,2.9594432724875097,0.1,19.6,12647
October,SL,Bundesland,3.179164795689268,1.6422259955193075,0.3,12.4,2227
October,SN,Bundesland,3.513896824063182,2.453064349113304,0.2,18.1,11902
October,ST,Bundesland,3.24481288981289,2.8035426618521804,0.2,27.9,9620
October,TH,Bundesland,3.206491935483871,1.8662451272682745,0.3,14.7,7440
September,BB,Bundesland,3.5329104599770833,1.8517781066701982,0.1,12.4,12218
September,BE,Bundesland,4.154381084840056,1.9334195101437228,0.5,10.1,719
September,BW,Bundesland,3.0669116795925455,2.281571325801656,0.0,20.3,17278
September,BY,Bundesland,2.9623897379559923,2.0474865481897844,0.0,24.6,30949
September,Germany,Germany,3.522121240281263,2.3923051701147076,0.0,26.5,161415
September,HB,Bundesland,4.264483985765125,2.4390895724079336,0.3,16.7,1405
September,HE,Bundesland,3.6379110699397863,2.3401623705958845,0.2,17.8,8636
September,HH,Bundesland,6.552687673772011,3.822575221231273,0.3,21.1,2158
September,MV,Bundesland,3.894910253257929,2.3316298726098235,0.2,17.1,12201
September,NI,Bundesland,3.2600896860986546,2.1159343146546403,0.0,22.2,15387
September,NW,Bundesland,3.2084465300074094,1.9802709894531576,0.2,13.4,12147
September,RP,Bundesland,3.8564045656309442,2.4001767565964927,0.1,19.9,6308
September,SH,Bundesland,4.191581528402125,2.896212609981453,0.1,20.2,12235
September,SL,Bundesland,3.9096848934198327,2.0494973303825086,0.2,11.5,2158
September,SN,Bundesland,3.764510764922108,2.611769005960672,0.2,18.6,11426
September,ST,Bundesland,3.9189897203492876,3.0306262932217365,0.2,26.5,9047
September,TH,Bundesland,3.776452470950581,2.156461161661613,0.3,13.5,7143
