Month,Region,Region_Type,Mean,Std,Min,Max,Count
April,BB,Bundesland,3.4648202614379087,1.890985396678957,0.0,12.0,12240
April,BE,Bundesland,3.6887186629526463,1.6168014283681849,0.1,10.6,1436
April,BW,Bundesland,3.462521027251318,2.5273910114300406,0.0,21.3,17834
April,BY,Bundesland,3.2361592849519742,2.4138896189609835,0.0,22.9,29984
April,Germany,Germany,3.824355587290254,2.5071014612349334,0.0,23.3,168060
April,HB,Bundesland,4.818124999999999,2.4058500825129254,0.5,14.4,1440
April,HE,Bundesland,3.8018853613609283,2.378947161310242,0.0,17.7,9229
April,HH,Bundesland,6.572536198038301,3.294783836203915,0.0,17.4,2141
April,MV,Bundesland,4.047267949609706,2.4231631830242644,0.0,17.4,12939
April,NI,Bundesland,3.9317946990116797,2.3471490485749262,0.0,18.2,17808
April,NW,Bundesland,3.88225718513903,2.1365395455481573,0.0,15.5,12839
April,RP,Bundesland,4.140709876543211,2.525913261451873,0.0,19.6,6480
April,SH,Bundesland,4.618447393786609,2.8292820448392964,0.0,17.5,13487
April,SL,Bundesland,3.877731481481482,2.142336524084558,0.2,15.0,2160
April,SN,Bundesland,3.9704780980579986,2.614122140412017,0.1,20.9,11483
April,ST,Bundesland,3.8919444444444444,3.1064260404957507,0.2,23.3,9360
April,TH,Bundesland,3.9425138888888887,2.1547047764808918,0.1,15.7,7200
August,BB,Bundesland,2.6896797437950357,1.5852212946098574,0.0,10.9,12490
August,BE,Bundesland,3.132997311827957,1.5035331248176205,0.2,9.4,1488
August,BW,Bundesland,2.313826157595451,1.6399898579844674,0.0,15.9,18465
August,BY,Bundesland,2.152039574295434,1.5496956047390997,0.0,18.1,32041
August,Germany,Germany,2.8211524090914315,2.0190226371171893,0.0,25.1,173966
August,HB,Bundesland,4.026681448632669,2.3090167352804096,0.3,13.7,1353
August,HE,Bundesland,2.7896315067046777,1.794079251455317,0.0,13.4,9471
August,HH,Bundesland,5.696314606741573,3.5142995262172656,0.1,20.9,2225
August,MV,Bundesland,3.290428813820762,2.1341395586213645,0.0,15.5,12966
August,NI,Bundesland,3.000768727510631,2.098072767470451,0.0,25.1,18342
August,NW,Bundesland,2.7925527917637334,1.7432050552207292,0.0,13.1,13307
August,RP,Bundesland,3.0234122793784888,1.815863611048158,0.0,19.1,6629
August,SH,Bundesland,3.795571012846902,2.672939504670392,0.0,20.4,14089
August,SL,Bundesland,2.7612107623318387,1.5715441096937723,0.0,9.6,2230
August,SN,Bundesland,2.711159774277773,1.8196250495405495,0.0,14.7,11873
August,ST,Bundesland,2.9401393800707303,2.3950484700638386,0.1,23.1,9614
August,TH,Bundesland,2.886550182852499,1.7541804553082883,0.2,13.9,7383
